,,,,,,,,,,,,
,Macro-economic Indicators - Fortnightly,,,,,,,,,,,
,,,,,,,,,,,,
,Period,"Non Food Credit
 (₹  Crore)","Investment In India
 (₹ Crore)","Aggregate Desposits 
(₹ Crore)","Bank Credit 
(₹ Crore)","Food Credit 
(₹ Crore)",Cash-Deposit Ratio(Including merger) (%),Cash Deposit Ratio (%),Credit-Deposit Ratio(Including merger) (%),Credit Deposit Ratio (%),"M3 
(₹ Crore)","Certificates of Deposit (Amount Outstanding) 
(₹ Crore)"
,30-Jun-2026,"21,796,315.44","7,087,253.24","26,538,493.32","21,928,364.69","132,049.25",-,-,-,-,"31,887,695.18","666,154.86"
,15-Jun-2026,"21,279,326.92","7,069,846.68","25,841,688.67","21,547,116.12","133,894.60",-,-,-,-,"31,220,737.39","667,340.90"
,31-May-2026,"21,241,391.54","7,034,653.05","26,002,105.57","21,515,402.48","137,005.47",-,-,-,-,"31,362,049.91","656,372.88"
,15-May-2026,"21,070,841.80","6,964,933.96","25,688,820.55","21,186,890.44","116,048.64",-,-,-,-,"31,023,175.70","663,329.11"
,30-Apr-2026,"21,002,867.29","6,926,908.02","25,868,584.51","21,210,697.85","103,915.28",-,-,-,-,"31,163,977.29","687,310.02"
,15-Apr-2026,"20,849,217.21","6,884,388.58","25,647,891.65","20,917,706.68","68,489.47",-,-,-,-,"30,926,590.25","684,807.17"
,31-Mar-2026,"21,219,354.32","6,961,120.30","26,228,786.78","21,359,897.02","70,271.35",-,-,-,-,"31,453,125.81","692,680.56"
,15-Mar-2026,"20,695,029.57","6,922,802.44","25,011,490.82","20,769,879.74","74,850.17",-,-,-,-,"30,193,458.66","679,391.41"
,28-Feb-2026,"20,585,921.16","6,956,052.84","25,190,144.65","20,751,207.44","82,643.14",-,-,-,-,"30,298,343.55","663,845.18"
,15-Feb-2026,"20,346,224.68","6,852,637.22","24,773,759.67","20,431,530.39","85,305.71",-,-,-,-,"29,854,739.73","662,414.76"
,31-Jan-2026,"20,296,645.70","6,816,554.58","24,881,954.39","20,475,236.50","89,295.40",-,-,-,-,"29,903,539.28","588,698.82"
,15-Jan-2026,"20,045,920.51","6,807,967.35","24,499,511.99","20,134,089.72","88,169.21",-,-,-,-,"29,502,685.31","574,586.15"
,31-Dec-2025,"20,144,842.72","6,884,983.15","24,857,492.98","20,320,787.62","87,972.45",-,-,-,-,"29,798,543.95","568,136.12"
,15-Dec-2025,"19,610,614.48","6,881,357.58","24,131,870.09","19,694,564.27","83,949.79",-,-,-,-,"29,058,340.08","554,967.84"
,28-Nov-2025,"19,369,841.28","6,886,471.97","24,260,054.93","19,529,443.34","79,801.03",3.55,-,80.50,-,"29,136,713.20","570,508.16"
,14-Nov-2025,"19,291,758.21","6,834,736.63","24,093,542.81","19,370,949.22","79,191.01",3.60,-,80.40,-,"28,945,871.48","534,617.43"
,31-Oct-2025,"19,252,912.74","6,889,909.95","24,175,756.75","19,393,655.36","70,371.31",3.85,-,80.22,-,"28,997,506.24","514,877.08"
,17-Oct-2025,"19,130,775.16","6,885,074.23","23,883,215.06","19,235,754.48","52,489.66",3.83,-,80.44,-,"28,714,437.86","502,668.21"
,03-Oct-2025,"19,176,013.50","6,876,278.22","24,098,581.25","19,261,332.10","42,659.30",4.04,-,79.93,-,"28,895,269.38","497,940.28"
,19-Sep-2025,"18,812,292.44","6,846,280.72","23,546,450.79","18,902,860.72","45,284.14",4.10,-,80.28,-,"28,350,280.90","501,817.39"
,05-Sep-2025,"18,709,524.96","6,819,997.10","23,668,815.19","18,800,685.56","45,580.30",4.27,-,79.43,-,"28,476,012.98","495,293.61"
,22-Aug-2025,"18,545,930.12","6,756,965.81","23,504,413.98","18,646,841.82","50,455.85",4.33,4.33,79.33,77.89,"28,308,501.71","494,942.79"
,08-Aug-2025,"18,501,604.06","6,750,168.11","23,472,134.03","18,606,166.74","52,281.34",4.28,4.29,79.27,77.82,"28,288,711.82","511,313.00"
,25-Jul-2025,"18,388,028.24","6,726,827.65","23,349,826.99","18,501,377.20","56,674.48",4.29,4.30,79.24,77.76,"28,139,873.48","508,451.73"
,11-Jul-2025,"18,351,906.88","6,716,247.79","23,325,705.73","18,469,892.58","58,992.85",4.35,4.36,79.18,77.70,"28,141,256.05","525,253.75"
,27-Jun-2025,"18,357,422.20","6,696,801.88","23,425,645.34","18,486,199.66","64,388.73",4.35,4.36,78.91,77.40,"28,230,455.67","517,439.00"
,13-Jun-2025,"18,178,751.59","6,691,543.95","23,069,834.88","18,313,962.71","67,605.56",-,-,-,-,"27,896,574.00","483,064.43"
