,,,,,,,,,,,,,,,,,,,,,,,
,Macro-economic Indicators - Monthly,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Period,Consumer Price Index  (2012=100),Consumer Price Index  (2024=100),Index of Industrial Production,Wholesale Price Index (2011-12=100),Consumer Price Index for Agricultural Labourer,Consumer Price Index for Rural Labourer,"Commercial Paper (Amount Outstanding) 
(₹ Crore)",Consumer Price Index for Food and Beverages,"Net Foreign Direct Investment 
(US $ Million)","Direct Investment to India 
(US $ Million)","Foreign Direct Investment By India
 (US $ Million)","Net Portfolio Investment 
(US $ Million)","Total Investment Inflows 
(US $ Million)","FCNR(B)-Foreign Currency Non-Resident (Banks) 
(US $ Million)","External Commercial Borrowings – Registrations
(US $ Million)","Foreign Trade Exports Total 
(US $ Million)","Foreign Trade Imports Total 
(US $ Million)","Foreign Trade Balance Total 
(US $ Million)","Total Retail Payments 
(₹ Crore)","Total Digital Payments 
(₹ Crore)","Market Borrowing SG Gross Amount Raised 
(₹ Crore)",Exchange Rate of Indian Rupee vis-à-vis US Dollar (Month End)
,Jun-2026,-,107.00,-,-,-,-,"541,805.35",-,-,-,-,-,-,-,-,-,-,-,-,-,-,94.60
,May-2026,-,105.91,-,-,138.52,138.37,"536,186.35",-,-,-,-,-,-,-,-,-,-,-,-,-,-,95.38
,Apr-2026,-,105.12,-,167.00,137.30,137.22,"560,941.15",-,"6,574.69","11,395.84","4,821.15","-7,255.03",-680.34,"33,921.62","3,765.00","43,723.96","71,933.03","-28,209.07","9,437,738.82","27,993,138.73","62,105.13",95.24
,Mar-2026,-,104.84,173.20,160.80,136.99,136.95,"460,151.55",-,916.76,"3,473.00","2,556.24","-14,309.42","-13,392.65","33,755.91","5,433.00","38,918.61","59,588.70","-20,670.09","10,855,125.70","33,922,161.60","243,640.87",94.65
,Feb-2026,-,104.57,158.80,158.40,136.57,136.51,"478,434.45",-,"2,971.10","5,564.09","2,592.99","3,147.26","6,118.36","33,720.39","4,631.00","36,619.66","63,709.08","-27,089.41","8,845,088.34","27,124,723.44","171,220.31",90.95
,Jan-2026,-,104.45,169.90,157.60,137.07,136.90,"438,787.05",-,320.93,"2,556.64","2,235.71","-2,313.92","-1,992.99","33,753.63","5,335.00","36,474.16","71,226.63","-34,752.47","9,185,108.30","27,760,396.74","108,215.00",91.90
,Dec-2025,198.00,104.10,170.70,157.20,137.12,137.03,"451,053.35",202.10,-505.53,"2,610.54","3,116.07","-4,219.66","-4,725.18","34,851.15","4,436.00","38,238.33","64,476.04","-26,237.71","9,218,135.12","30,567,264.10","129,724.09",89.92
,Nov-2025,197.90,104.01,158.70,156.20,137.40,137.30,"501,649.20",202.60,-710.98,763.72,"1,474.70",622.11,-88.87,"34,672.16","2,402.00","37,879.71","62,981.18","-25,101.46","8,357,745.91","24,669,099.54","65,827.20",89.46
