,,,,,
,Macro-economic Indicators - Quarterly,,,,
,,,,,
,Period,"Overall Balance of Payments Net 
(US $ Million)","International Investment Position Net
(US $ Million)","India's External Debt - Gross Total 
 (US $ Million) ","Gross External Debt
Position"
,Mar-2026,"7,219.42","-209,950.30","762,765.56",-
,Dec-2025,"-24,408.69","-262,254.85","767,426.04",-
,Sep-2025,"-10,917.02","-271,076.60","747,222.54","8,525,069.52"
,Jun-2025,"4,507.55","-312,517.30","746,813.74","8,605,364.53"
,Mar-2025,"8,788.58","-329,124.09","736,419.41","8,817,534.15"
,Dec-2024,"-37,660.49","-363,967.79","718,633.43","8,502,371.93"
,Sep-2024,"18,613.51","-353,251.27","713,202.11","7,840,345.08"
,Jun-2024,"5,225.98","-366,966.08","681,635.08","7,907,894.21"
,Mar-2024,"30,753.60","-361,296.09","668,856.95","7,960,965.70"
,Dec-2023,"5,998.17","-368,195.06","648,617.35","7,709,665.37"
,Sep-2023,"2,518.58","-382,054.91","637,063.85","7,240,697.12"
,Jun-2023,"24,431.59","-378,870.00","628,762.74","7,211,627.74"
,Mar-2023,"5,579.42","-367,015.47","624,059.94","7,105,079.90"
,Dec-2022,"11,068.89","-372,941.98","611,849.65","6,827,505.43"
,Sep-2022,"-30,378.84","-386,323.86","605,641.16","6,458,024.66"
,Jun-2022,"4,595.40","-355,616.53","612,836.49","6,499,862.59"
,Mar-2022,"-16,023.61","-358,079.88","619,075.53","6,523,590.76"
,Dec-2021,465.39,"-352,520.18","613,149.37","6,268,323.17"
,Sep-2021,"31,188.78","-334,578.38","602,900.39","5,627,314.53"
,Jun-2021,"31,870.19","-330,354.30","575,261.36","5,178,170.07"
,Mar-2021,"3,389.08","-354,941.36","573,663.12","5,757,700.77"
,Dec-2020,"32,482.71","-345,222.59",-,"5,474,171.37"
,Sep-2020,"31,568.45","-337,783.71",-,"4,728,281.28"
,Jun-2020,"19,846.21","-347,044.97",-,"3,893,942.58"
,Mar-2020,"18,794.36","-375,407.96",-,"5,148,732.82"
,Dec-2019,"21,601.23","-425,168.99",-,"5,135,344.64"
,Sep-2019,"5,118.49","-436,979.28",-,"4,868,137.04"
,Jun-2019,"13,983.99","-451,808.04",-,"4,951,378.35"
,Mar-2019,"14,162.49","-437,021.29",-,"4,801,283.99"
,Dec-2018,"-4,295.64","-426,900.30",-,"4,872,998.34"
,Sep-2018,"-1,867.78","-387,338.91",-,"4,656,017.01"
,Jun-2018,"-11,338.43","-407,554.06",-,"4,569,369.11"
,Mar-2018,"13,236.75","-418,521.47",-,"4,584,686.00"
,Dec-2017,"9,434.48","-421,544.61",-,"4,339,193.52"
