Date,CPI_Combined_Index,CPI_Inflation_Rate
2012-01-01,114.0,8.25335892514395
2012-02-01,114.6,9.450337512054
2012-03-01,115.5,10.2983638113571
2012-04-01,117.1,11.1004784688995
2012-05-01,118.2,11.5238095238095
2012-06-01,119.6,10.4380242311277
2012-07-01,121.4,10.1010101010101
2012-08-01,122.9,10.1910828025478
2012-09-01,124.0,9.72097209720973
2012-10-01,124.9,9.46428571428571
2012-11-01,125.4,9.68888888888889
2012-12-01,125.6,10.4185218165628
2013-01-01,126.3,10.7269503546099
2013-02-01,127.1,10.8370044052863
2013-03-01,127.5,10.3839441535777
2013-04-01,128.1,9.73298880275625
2013-05-01,129.2,9.64987190435526
2013-06-01,131.4,10.126582278481
2013-07-01,133.1,10.1751459549625
2013-08-01,134.6,10.3220478943022
2013-09-01,136.2,9.9261689909762
2013-10-01,137.6,10.1957585644372
2013-11-01,139.4,10.5348460291734
2013-12-01,138.0,9.11290322580646
2014-01-01,137.4,8.08646917534027
2014-02-01,137.3,7.55166931637521
2014-03-01,138.1,7.5098814229249
2014-04-01,139.1,7.69230769230768
2014-05-01,139.9,7.55451713395638
2014-06-01,141.2,6.81992337164751
2014-07-01,143.7,7.41862225586678
2014-08-01,145.0,7.03592814371258
2014-09-01,145.0,6.34328358208955
2014-10-01,145.2,5.62546262028127
2014-11-01,145.5,4.69208211143695
2014-12-01,144.8,5.32150776053214
2015-01-01,119.5,4.96
2015-02-01,119.7,4.95
2015-03-01,120.2,4.75
2015-04-01,120.7,4.36
2015-05-01,121.6,4.41
2015-06-01,123.0,4.55
2015-07-01,123.6,2.94
2015-08-01,124.8,2.75
2015-09-01,125.4,3.61
2015-10-01,126.1,4.28
2015-11-01,126.6,4.71
2015-12-01,126.1,4.73
2016-01-01,126.3,4.81
2016-02-01,126.0,4.3
2016-03-01,126.0,3.95
2016-04-01,127.3,4.68
2016-05-01,128.6,4.89
2016-06-01,130.1,5.26
2016-07-01,131.1,5.39
2016-08-01,131.1,4.22
2016-09-01,130.9,3.64
2016-10-01,131.4,3.54
2016-11-01,131.2,3.13
2016-12-01,130.4,2.9
2017-01-01,130.3,2.9
2017-02-01,130.6,3.55
2017-03-01,130.9,3.96
2017-04-01,131.1,3.03
2017-05-01,131.4,2.13
2017-06-01,132.0,1.41
2017-07-01,134.2,2.17
2017-08-01,135.4,3.35
2017-09-01,135.2,3.44
2017-10-01,136.1,3.81
2017-11-01,137.6,4.9
2017-12-01,137.2,5.09
2018-01-01,136.9,4.93
2018-02-01,136.4,4.52
2018-03-01,136.5,4.12
2018-04-01,137.1,4.42
2018-05-01,137.8,4.72
2018-06-01,138.5,4.85
2018-07-01,139.8,4.32
2018-08-01,140.4,3.99
2018-09-01,140.2,4.31
2018-10-01,140.7,4.04
2018-11-01,140.8,3.12
2018-12-01,140.1,2.91
2019-01-01,139.6,2.91
2019-02-01,139.9,3.43
2019-03-01,140.4,4.1
2019-04-01,141.2,4.3
2019-05-01,142.0,4.51
2019-06-01,142.9,4.33
2019-07-01,144.2,4.22
2019-08-01,145.0,4.49
2019-09-01,145.8,4.78
2019-10-01,147.2,5.11
2019-11-01,148.6,5.76
2019-12-01,150.4,7.46
2020-01-01,150.2,7.39
2020-02-01,149.1,6.57
2020-03-01,148.6,5.59
2020-04-01,151.4,7.33
2020-05-01,150.9,6.43
2020-06-01,151.8,6.12
2020-07-01,153.9,6.7
2020-08-01,154.7,6.8
2020-09-01,156.4,7.26
2020-10-01,158.4,7.33
2020-11-01,158.9,6.73
2020-12-01,157.3,5.19
2021-01-01,156.3,5.13
2021-02-01,156.6,5.96
2021-03-01,156.8,6.52
2021-04-01,157.8,4.71
2021-05-01,160.4,5.91
2021-06-01,161.3,6.37
2021-07-01,162.5,5.82
2021-08-01,162.9,5.32
2021-09-01,163.2,4.57
2021-10-01,165.5,5.04
2021-11-01,166.7,5.54
2021-12-01,166.2,5.9
2022-01-01,165.7,5.91
2022-02-01,166.1,5.75
2022-03-01,167.7,6.12
2022-04-01,170.1,7.09
2022-05-01,171.7,7.08
2022-06-01,172.6,6.86
2022-07-01,173.4,6.49
2022-08-01,174.3,6.72
2022-09-01,175.3,7.27
2022-10-01,176.7,6.5
2022-11-01,176.5,5.68
2022-12-01,175.7,5.39
2023-01-01,176.5,6.0
2023-02-01,176.8,6.1
2023-03-01,177.2,5.89
2023-04-01,178.1,4.85
2023-05-01,179.1,4.33
2023-06-01,181.0,4.96
2023-07-01,186.3,7.2
2023-08-01,186.2,6.59
2023-09-01,184.1,4.65
2023-10-01,185.3,4.62
2023-11-01,186.3,5.26
2023-12-01,185.7,5.46
2024-01-01,185.5,4.92
2024-02-01,185.8,4.78
2024-03-01,185.8,4.14
2024-04-01,186.7,4.11
2024-05-01,187.7,4.21
2024-06-01,190.2,4.39
2024-07-01,193.0,3.03
2024-08-01,193.0,3.14
2024-09-01,194.2,5.05
2024-10-01,196.8,5.62
2024-11-01,196.5,4.89
2024-12-01,195.4,4.58
2025-01-01,193.4,3.87
2025-02-01,192.5,3.32
2025-03-01,192.0,3.43
2025-04-01,192.6,3.36
2025-05-01,193.0,3.12
2025-06-01,194.2,2.56
2025-07-01,196.1,2.1
2025-08-01,197.0,2.47
2025-09-01,197.0,1.83
2025-10-01,197.3,0.88
2026-01-01,104.45,2.75
2026-02-01,104.57,3.02
2026-03-01,104.84,3.1
2026-04-01,105.12,3.16
