Company,Ticker,Sector,Year,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit Before Tax,Tax,Net Profit,EPS,Equity,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets,CFO,CFI,CFF,Net Cash Flow,Free Cash Flow,Debtor Days,Inventory Days,Days Payable,Cash Conversion Cycle,Working Capital Days,CPI_Combined_Index,CPI_Inflation_Rate,WPI,Repo_Rate,Reverse_Repo_Rate,oil_price,exchange_rate
Tata Steel,TATASTEEL,Metals & Mining,Mar 2018,123249,101816,21433,17%,10898,5455,5742,21135.0,16%,17743,11.93,1145.0,59726.0,92147.0,55704.0,208722.0,96105.0,16614.0,17899.0,78103.0,208722.0,8023.0,-11730.0,6640.0,2933.0,724.0,37.0,224.0,161.0,99.0,-31.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Lupin,LUPIN,Pharmaceuticals,Mar 2018,15797,12649,3148,20%,-1310,204,1086,547.0,53%,258,5.56,90.0,13487.0,7143.0,5300.0,26020.0,10362.0,2598.0,262.0,12798.0,26020.0,1751.0,470.0,-1492.0,729.0,261.0,120.0,253.0,178.0,195.0,126.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Allcargo Logistics,ALLCARGO,Ports & Infrastructure,Mar 2018,1199,1038,161,13%,-6,23,102,30.0,5%,29,0.29,49.0,1268.0,279.0,235.0,1830.0,875.0,10.0,480.0,465.0,1830.0,158.0,6.0,-163.0,0.0,158.0,77.0,,,77.0,-10.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Chennai Petroleum,CHENNPETRO,Oil & Gas,Mar 2018,32370,30288,2082,6%,52,322,340,1473.0,37%,927,62.27,149.0,3848.0,4491.0,5851.0,14339.0,5914.0,1410.0,153.0,6863.0,14339.0,2757.0,-969.0,-1788.0,0.0,1766.0,18.0,60.0,56.0,22.0,-26.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Petronet LNG,PETRONET,Oil & Gas,Mar 2018,30599,27285,3314,11%,349,163,412,3088.0,32%,2110,14.07,1500.0,8311.0,1453.0,4480.0,15745.0,8030.0,220.0,4213.0,3282.0,15745.0,2996.0,-1278.0,-1335.0,383.0,2820.0,19.0,7.0,21.0,4.0,-8.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Dhanuka Agritech,DHANUKA,Agriculture,Mar 2018,963,796,166,17%,16,1,14,167.0,24%,126,25.71,10.0,624.0,5.0,185.0,823.0,131.0,0.0,182.0,510.0,823.0,138.0,-111.0,-20.0,7.0,131.0,79.0,147.0,60.0,166.0,122.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Godrej Consumer Products,GODREJCP,FMCG,Mar 2018,9847,7763,2084,21%,283,173,156,2039.0,20%,1634,15.99,68.0,6190.0,3508.0,4098.0,13864.0,8315.0,84.0,997.0,4468.0,13864.0,1723.0,-336.0,-1384.0,3.0,1412.0,46.0,135.0,201.0,-20.0,-31.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
KEC International,KEC,Ports & Infrastructure,Mar 2018,10053,8957,1095,11%,22,318,110,689.0,33%,460,17.91,51.0,1946.0,1766.0,6749.0,10512.0,1112.0,78.0,39.0,9283.0,10512.0,660.0,-4.0,-638.0,17.0,524.0,183.0,45.0,331.0,-103.0,33.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
Britannia,BRITANNIA,FMCG,Mar 2018,9914,8413,1501,15%,166,8,142,1518.0,34%,1004,41.83,24.0,3382.0,201.0,1581.0,5188.0,1346.0,203.0,1079.0,2560.0,5188.0,1249.0,-957.0,-232.0,60.0,828.0,11.0,39.0,59.0,-9.0,17.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
KRBL,KRBL,Agriculture,Mar 2018,3246,2472,774,24%,18,69,68,655.0,34%,434,18.46,24.0,2264.0,1245.0,324.0,3858.0,982.0,2.0,9.0,2864.0,3858.0,61.0,-49.0,25.0,37.0,24.0,28.0,415.0,19.0,424.0,155.0,138.76666666666668,4.1875,118.60833333333332,6.25,6.0,71.55534213068422,68.44299193763757
