iter	RMSE
0	18521.7791
1	16444.0666
2	14576.32413
3	12987.52339
4	11656.74103
5	10454.86004
6	9407.064786
7	8542.498502
8	7718.537294
9	7068.093683
10	6512.096251
11	6045.758332
12	5636.37968
13	5266.381832
14	4974.290963
15	4748.828871
16	4537.771412
17	4383.873912
18	4252.328848
19	4132.312981
20	4049.128599
21	3975.376825
22	3913.711602
23	3858.895716
24	3812.612891
25	3765.725006
26	3733.22709
27	3686.8252
28	3661.299121
29	3629.941973
30	3607.335598
31	3584.370755
32	3562.020257
33	3533.198693
34	3515.585585
35	3502.250487
36	3478.727834
37	3465.951187
38	3444.69829
39	3428.304124
40	3403.494579
41	3390.446769
42	3378.148903
43	3367.220511
44	3353.005702
45	3335.718444
46	3323.075729
47	3311.655654
48	3303.856526
49	3288.512395
50	3273.798459
51	3259.468964
52	3247.548309
53	3240.291544
54	3233.472682
55	3224.732757
56	3207.791047
57	3198.049069
58	3191.920917
59	3181.569003
60	3170.766911
61	3151.245516
62	3141.79081
63	3130.139567
64	3115.666827
65	3110.491009
66	3101.471384
67	3090.104026
68	3078.42537
69	3072.590939
70	3059.835093
71	3048.76831
72	3033.219829
73	3022.894394
74	3016.870935
75	3005.498844
76	2995.61023
77	2984.175623
78	2976.898003
79	2965.830762
80	2953.776355
81	2940.095939
82	2922.561754
83	2910.522377
84	2903.600993
85	2894.76748
86	2874.745231
87	2858.803549
88	2847.12276
89	2838.77589
90	2831.774165
91	2820.338146
92	2813.044745
93	2805.620701
94	2795.692131
95	2778.532568
96	2764.840043
97	2749.888186
98	2736.85085
99	2730.786085
100	2724.508069
101	2714.28874
102	2699.871344
103	2686.074563
104	2676.428418
105	2664.340143
106	2655.807668
107	2647.405342
108	2634.88063
109	2628.791401
110	2623.826291
111	2609.427917
112	2600.738687
113	2590.861654
114	2584.070109
115	2577.970089
116	2566.52404
117	2560.61565
118	2546.285372
119	2535.597903
120	2527.494943
121	2516.010948
122	2506.456974
123	2493.457443
124	2480.969775
125	2474.222746
126	2465.221225
127	2461.804894
128	2452.996805
129	2441.841076
130	2433.12412
131	2426.629152
132	2415.402709
133	2407.61397
134	2400.07047
135	2393.850336
136	2389.694212
137	2384.665837
138	2378.033013
139	2373.652681
140	2366.237161
141	2361.039382
142	2351.049075
143	2344.962015
144	2341.399355
145	2334.629809
146	2330.465913
147	2319.819306
148	2308.282064
149	2303.924264
150	2298.293342
151	2291.444171
152	2283.354335
153	2280.651696
154	2277.090183
155	2271.485398
156	2268.331702
157	2264.767113
158	2260.480304
159	2253.95381
160	2250.87926
161	2245.622226
162	2236.742757
163	2231.777909
164	2228.442789
165	2222.851297
166	2218.949189
167	2212.897096
168	2205.074102
169	2199.279565
170	2190.242027
171	2186.272878
172	2183.447437
173	2175.899081
174	2166.140391
175	2155.928082
176	2150.181531
177	2144.795462
178	2138.460309
179	2129.311925
180	2119.825504
181	2115.322956
182	2109.650747
183	2105.542417
184	2098.015487
185	2091.796307
186	2083.683623
187	2076.877742
188	2073.19387
189	2065.046672
190	2061.437186
191	2056.226587
192	2048.267437
193	2045.061035
194	2040.199035
195	2036.131969
196	2034.194935
197	2030.912614
198	2025.088918
199	2023.23685
200	2018.617879
201	2013.176624
202	2007.037402
203	2003.422757
204	1997.342125
205	1994.510769
206	1992.147529
207	1987.349068
208	1982.8841
209	1979.098368
210	1972.128489
211	1966.649639
212	1965.160363
213	1959.566224
214	1954.995327
215	1946.569256
216	1940.674708
217	1933.082225
218	1930.114873
219	1926.113754
220	1921.431877
221	1918.638849
222	1912.006667
223	1905.551123
224	1898.020397
225	1895.443887
226	1891.87851
227	1888.845536
228	1885.418988
229	1880.379538
230	1875.226601
231	1870.954699
232	1868.735646
233	1863.680814
234	1859.425841
235	1853.436864
236	1849.063136
237	1844.79753
238	1842.063127
239	1837.309246
240	1829.945673
241	1826.746427
242	1823.263933
243	1821.814293
244	1816.49158
245	1814.418914
246	1810.07822
247	1806.307606
248	1803.281787
249	1799.536786
250	1791.304917
251	1788.143578
252	1784.142769
253	1779.240258
254	1773.201906
255	1766.947422
256	1765.616226
257	1761.926893
258	1758.292704
259	1752.406796
260	1748.344752
261	1746.494951
262	1742.965493
263	1742.188305
264	1738.578757
265	1731.510623
266	1728.790989
267	1723.940708
268	1720.691872
269	1718.614937
270	1715.648368
271	1712.12767
272	1709.248775
273	1705.996434
274	1700.989169
275	1699.017614
276	1697.003095
277	1693.682153
278	1690.630482
279	1687.034003
280	1684.322893
281	1680.79407
282	1677.031991
283	1672.376874
284	1668.066597
285	1662.777434
286	1661.750131
287	1659.061859
288	1654.850262
289	1652.65991
290	1646.378846
291	1641.674957
292	1638.921802
293	1635.893353
294	1632.786959
295	1631.196428
296	1629.30076
297	1627.311503
298	1624.895117
299	1622.23895
