iter	Passed	Remaining
0	7	2349
1	14	2132
2	21	2096
3	28	2111
4	34	2062
5	41	2044
6	48	2018
7	54	2005
8	62	2017
9	69	2004
10	75	1991
11	82	1983
12	88	1963
13	95	1959
14	102	1939
15	108	1932
16	116	1931
17	123	1928
18	129	1919
19	136	1915
20	143	1907
21	150	1895
22	157	1891
23	163	1883
24	170	1874
25	177	1866
26	183	1857
27	190	1847
28	197	1841
29	203	1833
30	209	1821
31	216	1815
32	223	1804
33	229	1795
34	236	1791
35	242	1780
36	248	1769
37	255	1759
38	261	1748
39	267	1737
40	273	1724
41	279	1715
42	285	1709
43	292	1703
44	298	1690
45	304	1679
46	310	1670
47	316	1659
48	321	1649
49	327	1639
50	333	1629
51	339	1620
52	345	1611
53	351	1602
54	357	1594
55	364	1586
56	369	1576
57	375	1567
58	381	1557
59	387	1549
60	393	1542
61	399	1533
62	405	1526
63	412	1520
64	419	1516
65	425	1508
66	432	1503
67	438	1496
68	444	1489
69	450	1481
70	457	1474
71	462	1466
72	468	1458
73	474	1450
74	480	1442
75	487	1436
76	493	1429
77	499	1422
78	505	1414
79	511	1407
80	517	1399
81	523	1391
82	531	1389
83	537	1382
84	544	1376
85	553	1377
86	565	1384
87	572	1379
88	580	1375
89	588	1372
90	596	1368
91	603	1364
92	611	1360
93	619	1357
94	627	1354
95	635	1351
96	643	1346
97	651	1342
98	658	1337
99	666	1332
100	674	1328
101	683	1327
102	692	1323
103	701	1322
104	709	1317
105	717	1313
106	725	1308
107	733	1304
108	741	1299
109	749	1295
110	757	1289
111	765	1284
112	773	1279
113	781	1274
114	789	1269
115	797	1264
116	804	1258
117	812	1253
118	820	1247
119	828	1242
120	835	1235
121	842	1229
122	850	1223
123	858	1218
124	865	1211
125	872	1204
126	880	1199
127	888	1193
128	894	1186
129	902	1179
130	909	1172
131	916	1166
132	923	1159
133	930	1152
134	937	1145
135	945	1139
136	952	1132
137	959	1126
138	966	1120
139	974	1113
140	982	1108
141	989	1101
142	997	1094
143	1004	1088
144	1011	1081
145	1018	1074
146	1025	1067
147	1033	1061
148	1041	1055
149	1048	1048
150	1057	1043
151	1068	1040
152	1076	1034
153	1085	1028
154	1095	1024
155	1104	1019
156	1114	1015
157	1124	1010
158	1133	1005
159	1142	999
160	1150	992
161	1165	993
162	1173	986
163	1180	978
164	1188	972
165	1196	965
166	1204	958
167	1212	952
168	1220	946
169	1228	939
170	1236	932
171	1245	926
172	1253	920
173	1262	913
174	1270	907
175	1279	901
176	1288	895
177	1296	888
178	1304	881
179	1312	874
180	1321	868
181	1329	862
182	1338	855
183	1346	848
184	1354	841
185	1362	834
186	1370	828
187	1379	821
188	1387	815
189	1395	807
190	1402	800
191	1409	792
192	1417	785
193	1424	778
194	1432	771
195	1439	764
196	1447	757
197	1455	749
198	1462	742
199	1470	735
200	1477	727
201	1484	720
202	1492	713
203	1499	705
204	1506	698
205	1513	690
206	1520	683
207	1528	675
208	1535	668
209	1544	661
210	1552	654
211	1562	648
212	1570	641
213	1578	634
214	1585	626
215	1593	619
216	1625	621
217	1648	619
218	1672	618
219	1693	615
220	1716	613
221	1740	611
222	1762	608
223	1783	605
224	1801	600
225	1816	594
226	1831	588
227	1846	583
228	1861	577
229	1877	571
230	1892	565
231	1907	559
232	1924	553
233	1940	547
234	1955	540
235	1971	534
236	1986	528
237	2002	521
238	2018	515
239	2034	508
240	2050	501
241	2067	495
242	2082	488
243	2098	481
244	2116	475
245	2132	468
246	2148	460
247	2165	454
248	2181	446
249	2196	439
250	2211	431
251	2227	424
252	2244	416
253	2260	409
254	2276	401
255	2291	393
256	2306	385
257	2321	377
258	2336	369
259	2351	361
260	2366	353
261	2382	345
262	2396	337
263	2410	328
264	2424	320
265	2438	311
266	2454	303
267	2475	295
268	2491	287
269	2507	278
270	2522	269
271	2537	261
272	2551	252
273	2565	243
274	2580	234
275	2594	225
276	2610	216
277	2624	207
278	2638	198
279	2653	189
280	2668	180
281	2683	171
282	2698	162
283	2713	152
284	2728	143
285	2744	134
286	2759	125
287	2774	115
288	2788	106
289	2802	96
290	2816	87
291	2830	77
292	2845	67
293	2860	58
294	2874	48
295	2889	39
296	2905	29
297	2920	19
298	2935	9
299	2950	0
