Company,Ticker,Sector,Year,Quarter,Period,quarter_num,time_index,source,Sales,Expenses,Operating Profit,Net Profit,Total Assets,Equity,Borrowings,Total Liabilities,CFO,CFI,CFF,Net Cash Flow
HDFC Bank,HDFCBANK,Banking,2024,Q1,Q1 2024,1,8096,mock,71849.6,51189.78,20659.82,15494.87,289886.98,144943.49,86966.1,144943.49,21292.61,-12775.56,-4258.52,4258.52
HDFC Bank,HDFCBANK,Banking,2024,Q2,Q2 2024,2,8097,mock,74117.14,52537.08,21580.05,16185.04,298747.28,149373.64,89624.18,149373.64,22159.98,-13295.99,-4432.0,4432.0
HDFC Bank,HDFCBANK,Banking,2024,Q3,Q3 2024,3,8098,mock,75728.91,53875.79,21853.11,16389.83,308334.59,154167.3,92500.38,154167.3,22556.53,-13533.92,-4511.31,4511.31
HDFC Bank,HDFCBANK,Banking,2024,Q4,Q4 2024,4,8099,mock,78517.51,54111.87,24405.64,18304.23,330618.43,165309.22,99185.53,165309.22,24916.6,-14949.96,-4983.32,4983.32
HDFC Bank,HDFCBANK,Banking,2025,Q1,Q1 2025,1,8100,mock,76842.73,54510.56,22332.17,16749.13,315286.25,157643.13,94585.88,157643.13,23054.85,-13832.91,-4610.97,4610.97
HDFC Bank,HDFCBANK,Banking,2025,Q2,Q2 2025,2,8101,mock,79564.0,55285.01,24278.99,18209.25,379563.76,189781.88,113869.13,189781.88,25800.52,-15480.31,-5160.1,5160.1
HDFC Bank,HDFCBANK,Banking,2025,Q3,Q3 2025,3,8102,mock,82517.95,56825.52,25692.43,19269.32,345816.27,172908.13,103744.88,172908.13,26185.65,-15711.39,-5237.13,5237.13
HDFC Bank,HDFCBANK,Banking,2025,Q4,Q4 2025,4,8103,mock,85780.86,60317.04,25463.82,19097.86,356144.43,178072.22,106843.33,178072.22,26220.75,-15732.45,-5244.15,5244.15
Hindustan Unilever,HINDUNILVR,FMCG,2024,Q1,Q1 2024,1,8096,mock,15454.63,12636.17,2818.45,2113.84,62820.23,31410.12,18846.07,31410.12,3370.25,-2022.15,-674.05,674.05
Hindustan Unilever,HINDUNILVR,FMCG,2024,Q2,Q2 2024,2,8097,mock,15585.18,12573.64,3011.54,2258.65,64247.34,32123.67,19274.2,32123.67,3543.6,-2126.16,-708.72,708.72
Hindustan Unilever,HINDUNILVR,FMCG,2024,Q3,Q3 2024,3,8098,mock,16378.93,12950.61,3428.32,2571.24,62766.64,31383.32,18829.99,31383.32,3826.57,-2295.94,-765.31,765.31
Hindustan Unilever,HINDUNILVR,FMCG,2024,Q4,Q4 2024,4,8099,mock,16554.58,13188.82,3365.75,2524.32,69448.25,34724.13,20834.48,34724.13,3913.28,-2347.97,-782.66,782.66
Hindustan Unilever,HINDUNILVR,FMCG,2025,Q1,Q1 2025,1,8100,mock,16647.69,13349.06,3298.63,2473.97,62907.18,31453.59,18872.16,31453.59,3732.12,-2239.27,-746.42,746.42
Hindustan Unilever,HINDUNILVR,FMCG,2025,Q2,Q2 2025,2,8101,mock,16383.22,12973.46,3409.76,2557.32,69976.81,34988.41,20993.04,34988.41,3956.86,-2374.11,-791.37,791.37
Hindustan Unilever,HINDUNILVR,FMCG,2025,Q3,Q3 2025,3,8102,mock,16675.5,13173.05,3502.44,2626.83,67908.07,33954.04,20372.42,33954.04,3984.99,-2391.0,-797.0,797.0
Hindustan Unilever,HINDUNILVR,FMCG,2025,Q4,Q4 2025,4,8103,mock,16686.27,13288.72,3397.56,2548.17,71877.92,35938.96,21563.38,35938.96,3985.73,-2391.44,-797.15,797.15
ICICI Bank,ICICIBANK,Banking,2024,Q1,Q1 2024,1,8096,mock,49840.76,36003.38,13837.38,10378.04,194524.87,97262.44,58357.46,97262.44,14268.53,-8561.12,-2853.71,2853.71
ICICI Bank,ICICIBANK,Banking,2024,Q2,Q2 2024,2,8097,mock,50960.0,35511.65,15448.35,11586.26,184808.82,92404.41,55442.65,92404.41,15282.44,-9169.46,-3056.49,3056.49
ICICI Bank,ICICIBANK,Banking,2024,Q3,Q3 2024,3,8098,mock,53028.35,39035.61,13992.74,10494.56,207108.25,103554.13,62132.48,103554.13,14636.72,-8782.03,-2927.34,2927.34
ICICI Bank,ICICIBANK,Banking,2024,Q4,Q4 2024,4,8099,mock,55821.28,40155.44,15665.84,11749.38,211252.89,105626.44,63375.87,105626.44,15974.44,-9584.66,-3194.89,3194.89
ICICI Bank,ICICIBANK,Banking,2025,Q1,Q1 2025,1,8100,mock,55739.83,39753.87,15985.96,11989.47,214817.21,107408.6,64445.16,107408.6,16285.81,-9771.49,-3257.16,3257.16
ICICI Bank,ICICIBANK,Banking,2025,Q2,Q2 2025,2,8101,mock,57216.58,41169.87,16046.72,12035.04,221409.87,110704.93,66422.96,110704.93,16463.24,-9877.94,-3292.65,3292.65
ICICI Bank,ICICIBANK,Banking,2025,Q3,Q3 2025,3,8102,mock,62040.99,44276.22,17764.77,13323.58,223035.59,111517.8,66910.68,111517.8,17784.29,-10670.57,-3556.86,3556.86
ICICI Bank,ICICIBANK,Banking,2025,Q4,Q4 2025,4,8103,mock,63628.85,46233.86,17394.99,13046.24,265363.25,132681.63,79608.98,132681.63,18353.51,-11012.1,-3670.7,3670.7
