# DEVELOPMENT-ONLY SYNTHETIC PLACEHOLDER — NOT REAL DATA. For pipeline validation only. Safe to delete/replace.
Year,Quarter,Period,quarter_num,time_index,Company,Ticker,Sector,source,Sales,Expenses,Operating Profit,Net Profit,Total Assets,Equity,Borrowings,Total Liabilities,CFO,CFI,CFF,Net Cash Flow,is_synthetic_company
2024,Q1,Q1 2024,1,8096,SYN Auto 01,SYNAUT01,Auto,synthetic,76466.91,67388.32,9078.59,6939.21,258209.09,129104.54,77462.73,129104.55,11497.4,-6898.44,-2299.48,2299.48,True
2024,Q2,Q2 2024,2,8097,SYN Auto 01,SYNAUT01,Auto,synthetic,76008.14,66988.56,9019.57,6719.77,266073.26,134756.07,78520.97,131317.19,11502.22,-6961.19,-2403.61,2137.41,True
2024,Q3,Q3 2024,3,8098,SYN Auto 01,SYNAUT01,Auto,synthetic,77966.22,68951.06,9015.16,6969.13,271662.44,146426.65,72997.16,125235.79,11536.84,-7114.37,-2348.23,2074.24,True
2024,Q4,Q4 2024,4,8099,SYN Auto 01,SYNAUT01,Auto,synthetic,81583.45,71901.16,9682.29,7082.69,280613.41,149407.12,74585.61,131206.29,12471.86,-7354.76,-2612.28,2504.81,True
2025,Q1,Q1 2025,1,8100,SYN Auto 01,SYNAUT01,Auto,synthetic,80312.51,70558.65,9753.86,7156.09,273323.66,143289.5,75362.05,130034.16,12892.51,-7529.91,-2564.06,2798.54,True
2025,Q2,Q2 2025,2,8101,SYN Auto 01,SYNAUT01,Auto,synthetic,77875.53,68398.9,9476.63,6928.56,269262.35,137714.19,77939.45,131548.16,12610.09,-7261.04,-2482.7,2866.36,True
2025,Q3,Q3 2025,3,8102,SYN Auto 01,SYNAUT01,Auto,synthetic,77721.66,67943.92,9777.74,6876.52,271676.5,141516.6,78373.53,130159.9,13275.77,-7497.83,-2626.52,3151.43,True
2025,Q4,Q4 2025,4,8103,SYN Auto 01,SYNAUT01,Auto,synthetic,77807.62,67881.77,9925.84,6743.5,275344.59,148285.08,74979.21,127059.52,13504.18,-7563.87,-2718.69,3221.61,True
2024,Q1,Q1 2024,1,8096,SYN Auto 02,SYNAUT02,Auto,synthetic,88158.51,77691.82,10466.68,8000.2,297688.61,148844.3,89306.59,148844.31,13255.32,-7953.19,-2651.06,2651.06,True
2024,Q2,Q2 2024,2,8097,SYN Auto 02,SYNAUT02,Auto,synthetic,91670.19,81086.78,10583.4,8241.68,305187.59,152228.85,90734.06,152958.74,13266.82,-7977.31,-2667.63,2621.87,True
2024,Q3,Q3 2024,3,8098,SYN Auto 02,SYNAUT02,Auto,synthetic,93613.48,82644.52,10968.95,8531.72,311773.99,147642.04,101156.79,164131.95,14096.75,-8341.71,-2853.22,2901.82,True
2024,Q4,Q4 2024,4,8099,SYN Auto 02,SYNAUT02,Auto,synthetic,94459.79,83344.39,11115.41,8437.9,319129.78,144564.55,106437.09,174565.23,13544.73,-8071.0,-2853.28,2620.46,True
2025,Q1,Q1 2025,1,8100,SYN Auto 02,SYNAUT02,Auto,synthetic,97857.48,86103.72,11753.76,8646.2,335037.59,145748.31,117968.34,189289.28,14509.26,-8651.41,-3133.03,2724.82,True
2025,Q2,Q2 2025,2,8101,SYN Auto 02,SYNAUT02,Auto,synthetic,100127.99,88255.67,11872.32,8745.5,349654.25,147556.22,122423.27,202098.03,14760.14,-9223.92,-3221.33,2314.89,True
2025,Q3,Q3 2025,3,8102,SYN Auto 02,SYNAUT02,Auto,synthetic,99097.57,87291.54,11806.03,8344.98,345033.5,147352.52,119009.57,197680.98,14416.1,-8944.23,-3284.36,2187.51,True
2025,Q4,Q4 2025,4,8103,SYN Auto 02,SYNAUT02,Auto,synthetic,96770.99,85025.77,11745.22,8268.11,332654.21,138206.61,113726.62,194447.61,13719.67,-8250.78,-3014.23,2454.67,True
