# DEVELOPMENT-ONLY SYNTHETIC PLACEHOLDER — NOT REAL DATA. For pipeline validation only. Safe to delete/replace.
Year,Quarter,Period,quarter_num,time_index,Company,Ticker,Sector,Sales,Expenses,Operating Profit,Net Profit,Total Assets,Equity,Borrowings,Total Liabilities,CFO,CFI,CFF,Net Cash Flow,is_synthetic_company,source
2024,Q1,Q1 2024,1,8096,SYN Auto 001,SYNAUT001,Auto,108934.57,97591.0,11343.58,8552.18,454390.47,198951.83,129648.7,255438.63,17636.61,-10581.97,-3527.32,3527.32,True,synthetic
2024,Q2,Q2 2024,2,8097,SYN Auto 001,SYNAUT001,Auto,109390.21,97644.47,11745.74,8739.82,538813.62,219178.07,163830.64,319635.55,19235.42,-12385.11,-3589.34,3260.96,True,synthetic
2024,Q3,Q3 2024,3,8098,SYN Auto 001,SYNAUT001,Auto,113780.74,102578.32,11202.42,8046.59,531275.82,202391.61,171407.08,328884.22,16063.16,-9448.82,-3124.29,3490.06,True,synthetic
2024,Q4,Q4 2024,4,8099,SYN Auto 001,SYNAUT001,Auto,119036.38,106295.63,12740.74,8934.02,525444.24,217293.6,171481.03,308150.64,17965.2,-12131.23,-3649.34,2184.63,True,synthetic
2025,Q1,Q1 2025,1,8100,SYN Auto 001,SYNAUT001,Auto,122018.99,109065.66,12953.32,9624.48,499187.15,221973.13,154887.32,277214.03,17746.16,-12084.09,-3339.35,2322.72,True,synthetic
2025,Q2,Q2 2025,2,8101,SYN Auto 001,SYNAUT001,Auto,127366.53,114091.28,13275.25,10194.27,550231.33,255157.73,171187.27,295073.6,17441.56,-11521.08,-3369.33,2551.15,True,synthetic
2025,Q3,Q3 2025,3,8102,SYN Auto 001,SYNAUT001,Auto,131012.36,118143.49,12868.87,10193.35,615157.09,267740.07,198777.4,347417.02,16907.82,-10512.74,-3647.81,2747.27,True,synthetic
2025,Q4,Q4 2025,4,8103,SYN Auto 001,SYNAUT001,Auto,129261.89,115060.82,14201.07,11556.79,591585.99,262790.36,189011.21,328795.63,21958.68,-12790.19,-5105.95,4062.54,True,synthetic
2024,Q1,Q1 2024,1,8096,SYN Auto 002,SYNAUT002,Auto,38703.17,33734.21,4968.96,3726.72,148143.63,74071.81,44443.09,74071.82,7430.81,-4458.49,-1486.16,1486.16,True,synthetic
2024,Q2,Q2 2024,2,8097,SYN Auto 002,SYNAUT002,Auto,39056.68,33838.76,5217.92,3435.2,144999.11,61924.29,50824.28,83074.82,8698.74,-5391.05,-1616.61,1691.07,True,synthetic
