Company,Ticker,Sector,Year,Quarter,Period,Sales,Expenses,Operating Profit,Net Profit,Total Assets,Equity,Borrowings,Total Liabilities,CFO,CFI,CFF,Net Cash Flow
TCS,TCS,Tech,2024,Q1,Q1 2024,62094.09,46656.42,15437.67,11578.25,256419.87,128209.93,76925.96,128209.93,16706.65,-10023.99,-3341.33,3341.33
TCS,TCS,Tech,2024,Q2,Q2 2024,66173.1,49784.77,16388.33,12291.25,261593.69,130796.85,78478.11,130796.85,17523.12,-10513.87,-3504.62,3504.62
TCS,TCS,Tech,2024,Q3,Q3 2024,70631.61,52431.65,18199.95,13649.96,275894.48,137947.24,82768.34,137947.24,19167.85,-11500.71,-3833.57,3833.57
TCS,TCS,Tech,2024,Q4,Q4 2024,73193.89,55234.61,17959.28,13469.46,285957.86,142978.93,85787.36,142978.93,19188.62,-11513.17,-3837.72,3837.72
TCS,TCS,Tech,2025,Q1,Q1 2025,75189.08,57830.39,17358.69,13019.02,274817.31,137408.66,82445.19,137408.66,18515.36,-11109.22,-3703.07,3703.07
TCS,TCS,Tech,2025,Q2,Q2 2025,75424.52,57332.31,18092.21,13569.16,306438.48,153219.24,91931.54,153219.24,19697.93,-11818.76,-3939.59,3939.59
TCS,TCS,Tech,2025,Q3,Q3 2025,74878.39,57216.31,17662.09,13246.57,321462.66,160731.33,96438.8,160731.33,19675.82,-11805.49,-3935.16,3935.16
TCS,TCS,Tech,2025,Q4,Q4 2025,75868.79,56850.36,19018.43,14263.82,281856.37,140928.19,84556.91,140928.19,19900.95,-11940.57,-3980.19,3980.19
Infosys,INFY,Tech,2024,Q1,Q1 2024,40146.74,31269.93,8876.81,6657.61,151345.23,75672.62,45403.57,75672.62,9684.52,-5810.71,-1936.9,1936.9
Infosys,INFY,Tech,2024,Q2,Q2 2024,41402.17,32542.37,8859.8,6644.85,163193.32,81596.66,48958.0,81596.66,9908.72,-5945.23,-1981.74,1981.74
Infosys,INFY,Tech,2024,Q3,Q3 2024,41482.85,31588.25,9894.61,7420.95,165819.43,82909.71,49745.83,82909.71,10737.34,-6442.41,-2147.47,2147.47
Infosys,INFY,Tech,2024,Q4,Q4 2024,40996.2,31639.83,9356.38,7017.28,153974.82,76987.41,46192.45,76987.41,10096.78,-6058.07,-2019.36,2019.36
Infosys,INFY,Tech,2025,Q1,Q1 2025,42073.01,33641.44,8431.57,6323.68,157115.87,78557.93,47134.76,78557.93,9465.99,-5679.6,-1893.2,1893.2
Infosys,INFY,Tech,2025,Q2,Q2 2025,43162.94,33348.35,9814.59,7360.94,174131.12,87065.56,52239.34,87065.56,10843.57,-6506.14,-2168.71,2168.71
Infosys,INFY,Tech,2025,Q3,Q3 2025,43876.45,34355.74,9520.71,7140.53,162531.34,81265.67,48759.4,81265.67,10391.16,-6234.69,-2078.23,2078.23
Infosys,INFY,Tech,2025,Q4,Q4 2025,43806.45,34370.82,9435.63,7076.72,184487.56,92243.78,55346.27,92243.78,10766.47,-6459.88,-2153.29,2153.29
Hindustan Unilever,HINDUNILVR,FMCG,2024,Q1,Q1 2024,15454.63,12636.17,2818.45,2113.84,62820.23,31410.12,18846.07,31410.12,3370.25,-2022.15,-674.05,674.05
Hindustan Unilever,HINDUNILVR,FMCG,2024,Q2,Q2 2024,15585.18,12573.64,3011.54,2258.65,64247.34,32123.67,19274.2,32123.67,3543.6,-2126.16,-708.72,708.72
Hindustan Unilever,HINDUNILVR,FMCG,2024,Q3,Q3 2024,16378.93,12950.61,3428.32,2571.24,62766.64,31383.32,18829.99,31383.32,3826.57,-2295.94,-765.31,765.31
Hindustan Unilever,HINDUNILVR,FMCG,2024,Q4,Q4 2024,16554.58,13188.82,3365.75,2524.32,69448.25,34724.13,20834.48,34724.13,3913.28,-2347.97,-782.66,782.66
Hindustan Unilever,HINDUNILVR,FMCG,2025,Q1,Q1 2025,16647.69,13349.06,3298.63,2473.97,62907.18,31453.59,18872.16,31453.59,3732.12,-2239.27,-746.42,746.42
Hindustan Unilever,HINDUNILVR,FMCG,2025,Q2,Q2 2025,16383.22,12973.46,3409.76,2557.32,69976.81,34988.41,20993.04,34988.41,3956.86,-2374.11,-791.37,791.37
