Company,Ticker,Sector,Year,Quarter,Period,Sales (INR Cr),Expenses (INR Cr),Operating Profit (INR Cr),Net Profit (INR Cr),Total Assets (INR Cr),Equity (INR Cr),Borrowings (INR Cr),Total Liabilities (INR Cr),CFO (INR Cr),CFI (INR Cr),CFF (INR Cr),Net Cash Flow (INR Cr)
TCS,TCS,Tech,2024,Q1,Q1 2024,59625.71,43363.92,16261.78,12299.93,147208.39,64520.31,35078.75,73604.2,14508.05,-6056.02,-3964.11,4487.92
TCS,TCS,Tech,2024,Q2,Q2 2024,62403.32,44818.81,17584.51,12524.34,147244.58,62848.27,33382.34,73622.29,14733.0,-7237.92,-3019.55,4475.53
TCS,TCS,Tech,2024,Q3,Q3 2024,61186.56,44758.53,16428.03,12113.9,148364.77,60028.21,26614.39,74182.39,14339.37,-7697.68,-3685.72,2955.97
TCS,TCS,Tech,2024,Q4,Q4 2024,62187.0,46026.7,16160.3,12457.63,149515.66,58677.47,40187.55,74757.83,14700.36,-6167.03,-4259.83,4273.5
TCS,TCS,Tech,2025,Q1,Q1 2025,62372.76,45457.47,16915.29,12476.96,153593.24,69013.3,30275.45,76796.62,14780.86,-6064.83,-4166.19,4549.84
TCS,TCS,Tech,2025,Q2,Q2 2025,64334.44,47484.91,16849.53,13130.11,149266.4,57257.2,38785.84,74633.2,15369.11,-10618.14,-3919.53,831.44
TCS,TCS,Tech,2025,Q3,Q3 2025,66249.64,47976.17,18273.46,13413.49,153237.2,57628.51,32793.96,76618.6,15712.05,-10191.17,-2692.27,2828.61
TCS,TCS,Tech,2025,Q4,Q4 2025,67698.67,50335.09,17363.58,13855.72,154552.54,64317.64,43364.94,77276.27,16174.01,-6496.4,-4255.26,5422.36
Infosys,INFY,Tech,2024,Q1,Q1 2024,37310.13,26378.38,10931.75,7683.66,124613.48,58140.06,37231.68,62306.74,9552.86,-4769.45,-1076.72,3706.69
Infosys,INFY,Tech,2024,Q2,Q2 2024,37044.23,26978.5,10065.73,7934.84,127962.25,57122.28,38411.28,63981.13,9854.27,-4295.26,-2391.13,3167.88
Infosys,INFY,Tech,2024,Q3,Q3 2024,37867.64,26542.78,11324.86,7950.58,129494.92,41310.53,37695.34,64747.46,9893.01,-4032.64,-1202.77,4657.59
Infosys,INFY,Tech,2024,Q4,Q4 2024,38501.58,27694.42,10807.16,8108.25,126191.01,55399.92,33800.97,63095.5,10001.11,-5231.73,-2511.38,2258.0
Infosys,INFY,Tech,2025,Q1,Q1 2025,38456.54,27739.99,10716.55,8257.13,130427.38,55237.56,35954.05,65213.69,10213.54,-6820.27,-2123.07,1270.2
Infosys,INFY,Tech,2025,Q2,Q2 2025,38493.42,27699.58,10793.84,8013.4,129329.14,60112.96,34020.39,64664.57,9953.33,-4002.09,-2012.06,3939.18
