feature,importance,kind
repo_x_borrowings,31.34265883606425,native_importance
Borrowings,16.003717548670238,native_importance
Total Liabilities,13.97123573246087,native_importance
Total Assets,8.263681024540604,native_importance
Total Liabilities_lag1,3.533629622995338,native_importance
Expenses,3.166609570859535,native_importance
cpi_infl_x_sales,2.8827234043865833,native_importance
Total Assets_roll4_mean,2.2299920681836114,native_importance
Sales_lag1,1.9408460086313204,native_importance
Sector_Energy,1.8112033906293414,native_importance
Borrowings_lag1,1.6175421865593063,native_importance
Equity_lag1,0.6172848423467042,native_importance
Sales,0.5939509236429649,native_importance
CFO,0.5315114260236449,native_importance
Borrowings_qoq_growth,0.4711898214679262,native_importance
repo_x_total_assets,0.4643249511000262,native_importance
oil_x_sales,0.4278140449282406,native_importance
CFI,0.41513193572675067,native_importance
CFF,0.3601727294199044,native_importance
Net Profit_roll4_std,0.34818089695826065,native_importance
Equity,0.3469867080990758,native_importance
Operating Profit,0.3410563752434676,native_importance
Borrowings_roll4_median,0.3390028996894999,native_importance
Net Cash Flow,0.3236933470271726,native_importance
Borrowings_roll4_mean,0.28335564343647834,native_importance
Sales_roll4_std,0.2742686487619545,native_importance
Total Assets_roll4_median,0.25949055812548444,native_importance
Operating Profit_roll4_median,0.2570500184430298,native_importance
Sales_qoq_growth_lag1,0.2426135073876694,native_importance
Total Assets_lag4,0.23340954342392078,native_importance
Borrowings_roll4_std,0.2280645851159308,native_importance
CFO_qoq_growth,0.22736749642999204,native_importance
Operating Profit_lag1,0.22062862004887912,native_importance
Sales_qoq_growth,0.220141975309264,native_importance
Borrowings_lag4,0.21854835227420444,native_importance
Operating Profit_qoq_growth,0.21466184709843847,native_importance
CPI_Combined_Index_lag1,0.18037905740386606,native_importance
WPI,0.15171362395965282,native_importance
WPI_lag4,0.15146340702326494,native_importance
Total Assets_roll4_std,0.15095016112041099,native_importance
Repo_Rate,0.14248465293411888,native_importance
Reverse_Repo_Rate,0.13843410532202616,native_importance
Net Profit_qoq_growth_lag1,0.13180827823325578,native_importance
Borrowings_lag2,0.12827780309478332,native_importance
CFO_lag2,0.12770609425071622,native_importance
CFO_qoq_growth_lag1,0.12399236240845318,native_importance
fx_x_sales,0.12396286910310275,native_importance
CFI_lag1,0.11903703413215212,native_importance
Operating Profit_roll4_std,0.11860062750481291,native_importance
Sales_lag2,0.11452856311992966,native_importance
CFO_lag1,0.11131612163912709,native_importance
Net Profit_qoq_growth,0.11122723308028887,native_importance
Operating Profit_qoq_growth_lag1,0.10699781875680343,native_importance
Total Assets_lag1,0.09774984820274729,native_importance
Total Assets_qoq_growth_lag1,0.09696919606646967,native_importance
CFF_lag1,0.09430010607315814,native_importance
Expenses_lag1,0.09346069848276436,native_importance
Total Assets_qoq_growth,0.09307720075464952,native_importance
CFO_lag4,0.0905141117197217,native_importance
Net Profit,0.0876810130832297,native_importance
