feature,importance,kind
repo_x_borrowings,0.9614133690800662,native_importance
Borrowings,0.02013598135805755,native_importance
Total Assets,0.002970916031235576,native_importance
Borrowings_qoq_growth,0.0011208432864749317,native_importance
Net Profit_qoq_growth_lag1,0.0008583421200704136,native_importance
Operating Profit_qoq_growth,0.0008378742452711317,native_importance
cpi_infl_x_sales,0.0008285795690676381,native_importance
Borrowings_roll4_mean,0.000686484316224841,native_importance
Equity_lag1,0.0006841742703867845,native_importance
repo_x_total_assets,0.0006355782832327747,native_importance
Operating Profit,0.0006217878916789553,native_importance
Borrowings_lag1,0.0005501140272768182,native_importance
Expenses,0.0005116013344200793,native_importance
Sales_roll4_std,0.00047657468303502276,native_importance
CFF,0.0004496395995209453,native_importance
Sales_qoq_growth_lag1,0.00038075398465587507,native_importance
CFO_yoy_growth,0.00037831996750957745,native_importance
Total Liabilities,0.00034623686441318056,native_importance
CFO_qoq_growth,0.00032739003370705244,native_importance
Equity,0.0003260295741082774,native_importance
Borrowings_lag2,0.000300385216639918,native_importance
CFO_lag4,0.0002696456885488155,native_importance
Borrowings_roll4_std,0.00026116725249843983,native_importance
CFI,0.00025773164261771325,native_importance
CFI_lag2,0.0002493774887143952,native_importance
CFI_lag1,0.00021586947478914988,native_importance
Sales_lag1,0.00021117296287182115,native_importance
Net Profit_lag4,0.00020394733946637504,native_importance
CFO_qoq_growth_lag1,0.00019115186915148004,native_importance
Net Cash Flow,0.00018927370615939293,native_importance
CFO_roll4_std,0.00017979845766879514,native_importance
Operating Profit_roll4_growth,0.00017273918067363682,native_importance
oil_x_sales,0.0001546045117085125,native_importance
CFO_lag1,0.0001537921793027709,native_importance
Total Assets_qoq_growth,0.0001386722488809341,native_importance
Net Profit,0.00013694732971482353,native_importance
Net Cash Flow_lag1,0.00010739217026591772,native_importance
Total Liabilities_lag1,9.52382579410161e-05,native_importance
Net Profit_lag1,8.850550861068195e-05,native_importance
Total Assets_roll4_std,8.617172871238056e-05,native_importance
Sales_qoq_growth,8.499573092220471e-05,native_importance
oil_price,8.082212269834564e-05,native_importance
Net Profit_roll4_median,7.22914318008188e-05,native_importance
Sales_lag2,6.506861996514516e-05,native_importance
Borrowings_yoy_growth,6.225077161045986e-05,native_importance
Repo_Rate_lag4,5.9645847423584344e-05,native_importance
exchange_rate,5.851332720434858e-05,native_importance
Total Assets_lag2,5.838377316857618e-05,native_importance
fx_x_sales,5.801866339508696e-05,native_importance
Repo_Rate_lag1,5.549203448897449e-05,native_importance
Total Liabilities_lag4,4.87331410929908e-05,native_importance
Sales_roll4_growth,4.872408076806312e-05,native_importance
Borrowings_qoq_growth_lag1,4.725032192963619e-05,native_importance
CFF_lag1,4.693130954771079e-05,native_importance
CFO,4.65983130067683e-05,native_importance
Net Cash Flow_lag2,4.569753019502122e-05,native_importance
Sales_lag4,4.3358380069790006e-05,native_importance
Total Assets_yoy_growth,4.1038875736200715e-05,native_importance
Net Profit_qoq_growth,4.077340579011506e-05,native_importance
Operating Profit_lag2,3.9897499091537e-05,native_importance
Operating Profit_roll4_std,3.648694771789938e-05,native_importance
Net Profit_roll4_growth,3.253348384453648e-05,native_importance
Sales_roll4_median,3.127927744245563e-05,native_importance
Net Profit_roll4_mean,3.074632539288681e-05,native_importance
Total Assets_lag1,3.004840792124417e-05,native_importance
Operating Profit_qoq_growth_lag1,2.950060636582541e-05,native_importance
Quarter_Q2,2.7847497580934503e-05,native_importance
Sales_yoy_growth,2.7766979181412837e-05,native_importance
exchange_rate_lag4,2.7735785711995345e-05,native_importance
Borrowings_roll4_median,2.4887779043108077e-05,native_importance
Net Profit_roll4_std,2.4310585442028416e-05,native_importance
CPI_Inflation_Rate,2.2812287908441673e-05,native_importance
Expenses_lag1,2.2434973107942454e-05,native_importance
Sales_roll4_mean,1.8886478467638805e-05,native_importance
Sales,1.8359006777090003e-05,native_importance
oil_price_lag1,1.8042682159902504e-05,native_importance
Equity_lag4,1.785608108401646e-05,native_importance
