feature,importance,kind
repo_x_borrowings,158980.51320238903,standardized_coefficient_abs
Borrowings,149027.81123498728,standardized_coefficient_abs
Borrowings_lag1,39965.684140964164,standardized_coefficient_abs
Total Liabilities,37283.54483709182,standardized_coefficient_abs
repo_x_total_assets,23365.352656894756,standardized_coefficient_abs
Borrowings_roll4_mean,18898.475061382178,standardized_coefficient_abs
Total Assets,17235.30170458328,standardized_coefficient_abs
Total Assets_lag1,15320.830310310332,standardized_coefficient_abs
Total Liabilities_lag1,13516.102719221622,standardized_coefficient_abs
Total Assets_roll4_median,13465.097684488313,standardized_coefficient_abs
CFI,12414.504552227943,standardized_coefficient_abs
Equity_lag2,12330.062835001332,standardized_coefficient_abs
Total Liabilities_lag2,11589.798343231232,standardized_coefficient_abs
Net Profit_roll4_median,10999.05788836054,standardized_coefficient_abs
Borrowings_lag4,10809.083102333421,standardized_coefficient_abs
Equity_lag1,9503.128184947269,standardized_coefficient_abs
Net Cash Flow_lag2,9092.213880829631,standardized_coefficient_abs
CFF_lag4,7569.592905424899,standardized_coefficient_abs
Total Liabilities_lag4,7139.335477685505,standardized_coefficient_abs
Total Assets_roll4_mean,6774.051472459844,standardized_coefficient_abs
Operating Profit_lag1,6662.687781254095,standardized_coefficient_abs
CFF_lag2,6498.867805457223,standardized_coefficient_abs
Net Cash Flow,6156.494675579038,standardized_coefficient_abs
Equity_lag4,6023.46637669027,standardized_coefficient_abs
Net Profit_roll4_mean,5775.5995400796955,standardized_coefficient_abs
CFO,5232.549752668608,standardized_coefficient_abs
Net Cash Flow_lag4,4970.789802251724,standardized_coefficient_abs
Expenses,4924.724496060951,standardized_coefficient_abs
Equity,4866.532627772737,standardized_coefficient_abs
Net Profit_lag1,4483.3383735711695,standardized_coefficient_abs
Borrowings_roll4_std,4446.133667619074,standardized_coefficient_abs
Sales,4364.186230762487,standardized_coefficient_abs
Borrowings_roll4_growth,4287.688388976065,standardized_coefficient_abs
CFI_lag1,4223.862536550059,standardized_coefficient_abs
Net Profit_lag4,3965.073045597964,standardized_coefficient_abs
Operating Profit_roll4_growth,3795.339632155444,standardized_coefficient_abs
fx_x_sales,3758.273164036556,standardized_coefficient_abs
Net Profit_roll4_std,3706.317091331498,standardized_coefficient_abs
Operating Profit_lag4,3546.1196078365756,standardized_coefficient_abs
