feature,importance,kind
Borrowings,0.287407316335785,native_importance
repo_x_borrowings,0.2813805738278691,native_importance
repo_x_total_assets,0.1284358078913394,native_importance
Total Liabilities,0.11330825305783974,native_importance
Total Assets,0.09280596945237606,native_importance
Total Liabilities_lag1,0.021991480158826546,native_importance
Borrowings_lag1,0.019858402628285643,native_importance
Equity,0.015481602557612327,native_importance
Borrowings_lag2,0.006502312670576415,native_importance
Total Assets_lag1,0.006202575307452435,native_importance
Borrowings_roll4_median,0.002223818006267328,native_importance
Borrowings_roll4_mean,0.0017778651734386335,native_importance
Sector_Energy,0.001432000403904629,native_importance
oil_x_sales,0.0011571906786126986,native_importance
Sector_Banking,0.0011525539449349378,native_importance
Expenses,0.0010354269165561765,native_importance
fx_x_sales,0.0009788401061168437,native_importance
Sales,0.000943995015150121,native_importance
cpi_infl_x_sales,0.0007366283226785009,native_importance
Total Liabilities_lag2,0.0005224525945060063,native_importance
CFO,0.0004352795571457288,native_importance
Net Cash Flow,0.0003945418121427859,native_importance
CFI,0.0003501038217808644,native_importance
Sales_qoq_growth,0.00034573411822508423,native_importance
Operating Profit,0.00033238281860775986,native_importance
Borrowings_roll4_growth,0.0003297767651702233,native_importance
Operating Profit_qoq_growth,0.000311187112858609,native_importance
Borrowings_qoq_growth,0.00030007485624669567,native_importance
CFF,0.00029322324930556497,native_importance
Net Profit,0.0002917059251558068,native_importance
Total Assets_qoq_growth_lag1,0.00026695021351274,native_importance
Equity_lag1,0.00026156089196823195,native_importance
Expenses_lag1,0.00025724388200477525,native_importance
Net Cash Flow_lag1,0.0002525475426414173,native_importance
Sales_roll4_std,0.00023813208748390795,native_importance
Total Assets_qoq_growth,0.00023155455086556177,native_importance
Net Profit_qoq_growth,0.0002252420125117129,native_importance
Operating Profit_roll4_std,0.00021740190939187082,native_importance
CFO_qoq_growth,0.00020729306002199052,native_importance
Sales_qoq_growth_lag1,0.000204894890625082,native_importance
CFF_lag2,0.00020473934867899115,native_importance
Total Assets_yoy_growth,0.0002031254778021357,native_importance
Total Assets_roll4_mean,0.00020141115715956723,native_importance
Net Profit_qoq_growth_lag1,0.00019629699224307578,native_importance
Net Profit_roll4_std,0.00019385077618954693,native_importance
Borrowings_roll4_std,0.00018035010979344302,native_importance
Total Assets_roll4_std,0.00018012541068233214,native_importance
Total Assets_roll4_median,0.00017887750746534896,native_importance
CFO_lag2,0.00017510433657777285,native_importance
CFI_lag2,0.00017109781671705997,native_importance
Net Profit_lag1,0.00016859016296251226,native_importance
CFO_roll4_growth,0.0001671223554177399,native_importance
Borrowings_qoq_growth_lag1,0.0001611431415491171,native_importance
CFF_lag1,0.00015856444293098107,native_importance
Operating Profit_lag1,0.00015198252417724083,native_importance
Operating Profit_qoq_growth_lag1,0.0001497166326048486,native_importance
Net Cash Flow_lag2,0.00014789471909709028,native_importance
Operating Profit_lag2,0.00014630652290598033,native_importance
CFO_yoy_growth,0.00014587098351655968,native_importance
Equity_lag2,0.00014517808570956134,native_importance
CFO_qoq_growth_lag1,0.00013892488621479427,native_importance
Operating Profit_roll4_growth,0.00013216567911958772,native_importance
CFO_roll4_mean,0.0001313990570159232,native_importance
CFO_roll4_median,0.00013053497551436882,native_importance
CPI_Inflation_Rate,0.0001303781418119365,native_importance
Total Assets_roll4_growth,0.00012942713067574325,native_importance
CFO_roll4_std,0.00012872740473496552,native_importance
Net Profit_roll4_median,0.00012864265575891483,native_importance
Borrowings_yoy_growth,0.00012833365498020924,native_importance
Net Profit_lag4,0.00012588367583907744,native_importance
Sales_yoy_growth,0.00012557302083250705,native_importance
CFI_lag1,0.00012312950974305035,native_importance
Operating Profit_yoy_growth,0.0001169463217720908,native_importance
Sales_lag1,0.00011686814605756197,native_importance
Net Profit_lag2,0.00011584588316503935,native_importance
CFO_lag1,0.00011559698553355095,native_importance
Borrowings_lag4,0.00011364821947323716,native_importance
Quarter_Q3,0.00010964693800171295,native_importance
Operating Profit_roll4_mean,0.00010800425517455116,native_importance
Total Assets_lag2,0.00010788244577383208,native_importance
Reverse_Repo_Rate,0.00010300984957609645,native_importance
Sales_roll4_growth,0.00010291600296485316,native_importance
Net Profit_roll4_mean,0.00010165014676366287,native_importance
Net Profit_roll4_growth,0.00010123378257709496,native_importance
Quarter_Q1,0.00010121735328281559,native_importance
Operating Profit_roll4_median,9.723884695437806e-05,native_importance
Net Cash Flow_lag4,9.676173023960196e-05,native_importance
CFF_lag4,9.484927643247931e-05,native_importance
Net Profit_yoy_growth,9.43758759446626e-05,native_importance
Repo_Rate_lag1,9.423417989798185e-05,native_importance
oil_price,9.056977405830513e-05,native_importance
WPI,8.988082785412327e-05,native_importance
Total Liabilities_lag4,8.596812589681243e-05,native_importance
Reverse_Repo_Rate_lag1,8.542354991746265e-05,native_importance
Expenses_lag2,8.542068562573966e-05,native_importance
Operating Profit_lag4,8.386934288054379e-05,native_importance
exchange_rate_lag1,7.836933442441677e-05,native_importance
CPI_Inflation_Rate_lag1,7.752982499293197e-05,native_importance
