feature,importance,kind
repo_x_borrowings,412158.91553287016,standardized_coefficient_abs
Borrowings_roll4_mean,168876.33968849835,standardized_coefficient_abs
fx_x_sales,143058.76876045796,standardized_coefficient_abs
Borrowings_roll4_median,117618.14660288405,standardized_coefficient_abs
Sales_roll4_median,117209.80749172479,standardized_coefficient_abs
Sales,94929.00279536628,standardized_coefficient_abs
Total Assets,92921.14836847922,standardized_coefficient_abs
repo_x_total_assets,80383.74679795417,standardized_coefficient_abs
Net Profit_roll4_mean,72382.17531687304,standardized_coefficient_abs
oil_x_sales,69950.8796629055,standardized_coefficient_abs
Total Assets_lag2,67802.24892887525,standardized_coefficient_abs
Net Profit_roll4_median,66526.19039258937,standardized_coefficient_abs
Borrowings,60382.862407097215,standardized_coefficient_abs
Total Assets_roll4_median,58066.37786756449,standardized_coefficient_abs
Sales_roll4_mean,46648.096209073214,standardized_coefficient_abs
Sales_lag1,43263.83237741984,standardized_coefficient_abs
Borrowings_lag2,42843.18468858405,standardized_coefficient_abs
Sales_lag2,38587.19058714751,standardized_coefficient_abs
Expenses_lag1,38480.1593798995,standardized_coefficient_abs
Expenses_lag2,35122.159556618324,standardized_coefficient_abs
Operating Profit_roll4_median,31128.57152402545,standardized_coefficient_abs
cpi_infl_x_sales,29805.882454979877,standardized_coefficient_abs
Borrowings_lag1,24999.83985837802,standardized_coefficient_abs
Total Liabilities,22780.05929972071,standardized_coefficient_abs
Operating Profit_lag1,19207.004725566152,standardized_coefficient_abs
Operating Profit_roll4_mean,18188.374561030356,standardized_coefficient_abs
Equity_lag4,16991.521494675573,standardized_coefficient_abs
Total Liabilities_lag4,16605.943448947568,standardized_coefficient_abs
Total Assets_lag4,16530.112982833005,standardized_coefficient_abs
Borrowings_lag4,13510.799877582762,standardized_coefficient_abs
Total Assets_lag1,13279.774472161616,standardized_coefficient_abs
CFO_roll4_mean,13208.57055926793,standardized_coefficient_abs
Total Liabilities_lag1,13000.139827384814,standardized_coefficient_abs
CPI_Combined_Index,12800.487454485054,standardized_coefficient_abs
CFO,12725.327737582158,standardized_coefficient_abs
Total Assets_roll4_mean,12514.02258619276,standardized_coefficient_abs
CPI_Combined_Index_lag1,12325.000868856934,standardized_coefficient_abs
CFF_lag4,11368.995317831592,standardized_coefficient_abs
Net Cash Flow_lag2,10771.175678379823,standardized_coefficient_abs
Net Cash Flow,10024.788715743394,standardized_coefficient_abs
Net Profit_lag4,9068.655203187329,standardized_coefficient_abs
CFF_lag2,8120.505357503155,standardized_coefficient_abs
Total Liabilities_lag2,8010.704472729671,standardized_coefficient_abs
CPI_Inflation_Rate,7864.346713383659,standardized_coefficient_abs
Operating Profit_lag4,7614.503692527702,standardized_coefficient_abs
Quarter_Q2,7552.059243267518,standardized_coefficient_abs
Equity,7266.762628413627,standardized_coefficient_abs
Equity_lag2,7185.877831930381,standardized_coefficient_abs
CPI_Inflation_Rate_lag1,6974.966952965465,standardized_coefficient_abs
Borrowings_roll4_std,6086.947672037527,standardized_coefficient_abs
oil_price_lag1,5905.091401383396,standardized_coefficient_abs
Net Profit_lag1,5783.169019148827,standardized_coefficient_abs
oil_price,5582.442291300666,standardized_coefficient_abs
Operating Profit,5254.958973295947,standardized_coefficient_abs
Net Cash Flow_lag4,4999.51196979938,standardized_coefficient_abs
CPI_Combined_Index_lag4,4794.277887246445,standardized_coefficient_abs
