feature,importance,kind
Borrowings,481.0,native_importance
Equity,392.0,native_importance
Total Liabilities,385.0,native_importance
repo_x_borrowings,375.0,native_importance
CFO,329.0,native_importance
Total Assets,296.0,native_importance
Net Cash Flow,261.0,native_importance
CFF,259.0,native_importance
CFI,255.0,native_importance
Borrowings_lag1,249.0,native_importance
repo_x_total_assets,242.0,native_importance
Total Liabilities_lag1,204.0,native_importance
Equity_lag1,170.0,native_importance
Sales_qoq_growth,155.0,native_importance
Equity_lag2,141.0,native_importance
Total Assets_lag1,140.0,native_importance
Operating Profit,135.0,native_importance
Net Profit,135.0,native_importance
Borrowings_roll4_std,131.0,native_importance
Operating Profit_qoq_growth,126.0,native_importance
Total Assets_roll4_std,113.0,native_importance
CFO_lag1,110.0,native_importance
Borrowings_qoq_growth,108.0,native_importance
CFO_lag2,106.0,native_importance
Borrowings_qoq_growth_lag1,101.0,native_importance
CFI_lag1,95.0,native_importance
CFO_qoq_growth,94.0,native_importance
Net Profit_roll4_std,93.0,native_importance
Net Cash Flow_lag1,93.0,native_importance
Total Assets_qoq_growth,92.0,native_importance
Borrowings_lag2,90.0,native_importance
Expenses,89.0,native_importance
Total Liabilities_lag4,88.0,native_importance
cpi_infl_x_sales,88.0,native_importance
Borrowings_roll4_mean,86.0,native_importance
Sales_roll4_std,86.0,native_importance
Net Profit_qoq_growth,84.0,native_importance
Operating Profit_lag1,83.0,native_importance
Equity_lag4,83.0,native_importance
Total Assets_lag2,82.0,native_importance
CFI_lag2,80.0,native_importance
Total Assets_qoq_growth_lag1,78.0,native_importance
CFF_lag1,78.0,native_importance
Total Liabilities_lag2,75.0,native_importance
Net Profit_qoq_growth_lag1,74.0,native_importance
Borrowings_roll4_median,74.0,native_importance
Net Cash Flow_lag2,73.0,native_importance
Sales_qoq_growth_lag1,72.0,native_importance
CFO_roll4_std,70.0,native_importance
Net Profit_lag1,69.0,native_importance
oil_x_sales,66.0,native_importance
Operating Profit_roll4_std,64.0,native_importance
CFO_qoq_growth_lag1,63.0,native_importance
Operating Profit_qoq_growth_lag1,61.0,native_importance
Total Assets_lag4,60.0,native_importance
Borrowings_lag4,60.0,native_importance
Sales,57.0,native_importance
CFO_roll4_median,54.0,native_importance
CFF_lag2,53.0,native_importance
CFO_lag4,47.0,native_importance
CFF_lag4,47.0,native_importance
Total Assets_roll4_median,47.0,native_importance
Total Assets_roll4_mean,44.0,native_importance
CFO_roll4_mean,43.0,native_importance
Borrowings_yoy_growth,41.0,native_importance
Net Cash Flow_lag4,39.0,native_importance
Operating Profit_lag2,38.0,native_importance
Sales_yoy_growth,37.0,native_importance
Net Profit_lag2,33.0,native_importance
CFO_yoy_growth,31.0,native_importance
Operating Profit_yoy_growth,30.0,native_importance
Expenses_lag1,28.0,native_importance
Sales_lag1,26.0,native_importance
fx_x_sales,25.0,native_importance
Total Assets_yoy_growth,25.0,native_importance
Operating Profit_lag4,25.0,native_importance
Borrowings_roll4_growth,24.0,native_importance
Net Profit_yoy_growth,23.0,native_importance
CFO_roll4_growth,22.0,native_importance
Net Profit_roll4_growth,22.0,native_importance
CFI_lag4,21.0,native_importance
Expenses_lag2,20.0,native_importance
Sales_roll4_growth,19.0,native_importance
Total Assets_roll4_growth,18.0,native_importance
Net Profit_roll4_mean,18.0,native_importance
Operating Profit_roll4_growth,18.0,native_importance
Repo_Rate_lag1,18.0,native_importance
Net Profit_lag4,17.0,native_importance
Sales_lag4,16.0,native_importance
Sales_lag2,15.0,native_importance
Sales_roll4_mean,15.0,native_importance
Operating Profit_roll4_median,13.0,native_importance
Net Profit_roll4_median,13.0,native_importance
CPI_Inflation_Rate,11.0,native_importance
Operating Profit_roll4_mean,10.0,native_importance
Expenses_lag4,9.0,native_importance
Repo_Rate,6.0,native_importance
Sector_Banking,6.0,native_importance
CPI_Inflation_Rate_lag1,6.0,native_importance
Reverse_Repo_Rate,5.0,native_importance
Sales_roll4_median,5.0,native_importance
oil_price_lag1,4.0,native_importance
oil_price,4.0,native_importance
CPI_Combined_Index_lag1,3.0,native_importance
exchange_rate_lag1,3.0,native_importance
Sector_Auto,1.0,native_importance
Reverse_Repo_Rate_lag1,1.0,native_importance
Quarter_Q2,1.0,native_importance
CPI_Combined_Index,1.0,native_importance
CPI_Combined_Index_lag4,0.0,native_importance
exchange_rate,0.0,native_importance
Quarter_Q3,0.0,native_importance
WPI,0.0,native_importance
Quarter_Q1,0.0,native_importance
Quarter_Q4,0.0,native_importance
oil_price_lag4,0.0,native_importance
Repo_Rate_lag4,0.0,native_importance
CPI_Inflation_Rate_lag4,0.0,native_importance
Reverse_Repo_Rate_lag4,0.0,native_importance
WPI_lag1,0.0,native_importance
WPI_lag4,0.0,native_importance
exchange_rate_lag4,0.0,native_importance
Sector_Energy,0.0,native_importance
Sector_FMCG,0.0,native_importance
Sector_Tech,0.0,native_importance
