feature,importance,kind
Sales_lag4,9412327607.12848,standardized_coefficient_abs
Expenses_lag4,8541237356.854905,standardized_coefficient_abs
Sales_lag1,5017442555.170044,standardized_coefficient_abs
Expenses_lag1,4502173775.059666,standardized_coefficient_abs
CFO_lag4,4334917799.899033,standardized_coefficient_abs
Sales_lag2,3732789675.8457985,standardized_coefficient_abs
Expenses_lag2,3361635454.9853983,standardized_coefficient_abs
CFO_lag1,2730352748.216604,standardized_coefficient_abs
Sales,2615379423.0752177,standardized_coefficient_abs
CFI_lag4,2467447045.5713205,standardized_coefficient_abs
Expenses,2340646377.1437755,standardized_coefficient_abs
CFO_lag2,2283359641.128242,standardized_coefficient_abs
CFI_lag1,1566258795.3340003,standardized_coefficient_abs
CFI_lag2,1300771012.0987334,standardized_coefficient_abs
Net Cash Flow_lag4,1213846672.5118527,standardized_coefficient_abs
Operating Profit_lag4,1190924969.1145427,standardized_coefficient_abs
CFF_lag4,976822062.6696439,standardized_coefficient_abs
Net Cash Flow_lag1,781007165.1044707,standardized_coefficient_abs
Operating Profit_lag1,662383778.1507577,standardized_coefficient_abs
Net Cash Flow_lag2,655111621.1754699,standardized_coefficient_abs
CFO,622616235.7640207,standardized_coefficient_abs
CFF_lag1,617793204.437191,standardized_coefficient_abs
CFF_lag2,517703749.4231927,standardized_coefficient_abs
Operating Profit_lag2,485853891.0844581,standardized_coefficient_abs
CFI,358047206.5292841,standardized_coefficient_abs
Operating Profit,350395960.7924701,standardized_coefficient_abs
Net Cash Flow,178413697.49628177,standardized_coefficient_abs
CFF,140716065.17700726,standardized_coefficient_abs
CPI_Combined_Index,68874534.07764432,standardized_coefficient_abs
exchange_rate,68801854.46862464,standardized_coefficient_abs
WPI,67299566.53864835,standardized_coefficient_abs
exchange_rate_lag4,52858009.337750435,standardized_coefficient_abs
CPI_Combined_Index_lag1,51805169.23539424,standardized_coefficient_abs
WPI_lag1,49546935.174542665,standardized_coefficient_abs
oil_price_lag4,49196494.86586285,standardized_coefficient_abs
oil_price_lag1,47352673.50707483,standardized_coefficient_abs
exchange_rate_lag1,35832300.28681636,standardized_coefficient_abs
CPI_Inflation_Rate,31344361.52366376,standardized_coefficient_abs
Quarter_Q4,26146687.418937974,standardized_coefficient_abs
Quarter_Q2,24239224.596017122,standardized_coefficient_abs
Reverse_Repo_Rate_lag1,23226766.197930664,standardized_coefficient_abs
Reverse_Repo_Rate,15163582.602786839,standardized_coefficient_abs
CPI_Inflation_Rate_lag4,12111907.413184643,standardized_coefficient_abs
oil_price,11911399.811846688,standardized_coefficient_abs
Reverse_Repo_Rate_lag4,11808035.174956322,standardized_coefficient_abs
Repo_Rate_lag1,11446395.132297993,standardized_coefficient_abs
Quarter_Q3,10859192.664943606,standardized_coefficient_abs
CPI_Combined_Index_lag4,8899785.98537451,standardized_coefficient_abs
Repo_Rate_lag4,8692908.621686935,standardized_coefficient_abs
WPI_lag4,7074443.987221956,standardized_coefficient_abs
Quarter_Q1,6873101.86629492,standardized_coefficient_abs
Repo_Rate,3607367.5669635236,standardized_coefficient_abs
CPI_Inflation_Rate_lag1,2925435.4011917114,standardized_coefficient_abs
fx_x_sales,2404455.740552187,standardized_coefficient_abs
repo_x_borrowings,861758.0129704475,standardized_coefficient_abs
Total Assets,532106.3699287772,standardized_coefficient_abs
Borrowings,510081.2706669867,standardized_coefficient_abs
repo_x_total_assets,493629.24637007713,standardized_coefficient_abs
Sales_roll4_median,271717.9783924222,standardized_coefficient_abs
oil_x_sales,227197.88043165207,standardized_coefficient_abs
Sales_roll4_mean,190787.23197805882,standardized_coefficient_abs
Borrowings_roll4_mean,169092.61969560385,standardized_coefficient_abs
Borrowings_roll4_median,118422.23936843872,standardized_coefficient_abs
cpi_infl_x_sales,107970.38710451126,standardized_coefficient_abs
Total Assets_lag2,69073.37672953308,standardized_coefficient_abs
Net Profit_roll4_mean,65595.97300219536,standardized_coefficient_abs
Net Profit_roll4_median,62243.40117549896,standardized_coefficient_abs
Total Assets_roll4_median,45923.257404103875,standardized_coefficient_abs
Borrowings_lag2,37408.83321225643,standardized_coefficient_abs
Total Assets_lag1,36557.732791662216,standardized_coefficient_abs
Operating Profit_roll4_median,32593.996524751186,standardized_coefficient_abs
Total Assets_roll4_mean,24167.936415359378,standardized_coefficient_abs
Borrowings_lag1,21638.37336373329,standardized_coefficient_abs
Operating Profit_roll4_mean,20704.343641102314,standardized_coefficient_abs
Equity_lag4,18676.519839406013,standardized_coefficient_abs
CFO_roll4_mean,18534.053494989872,standardized_coefficient_abs
Total Assets_lag4,14246.2833609581,standardized_coefficient_abs
Total Liabilities_lag2,13343.917633891106,standardized_coefficient_abs
Borrowings_lag4,12120.478877305984,standardized_coefficient_abs
Total Liabilities_lag4,11373.855571746826,standardized_coefficient_abs
Net Profit_lag4,8949.687573432922,standardized_coefficient_abs
Equity_lag1,7338.766561031342,standardized_coefficient_abs
Total Liabilities,6765.138456970453,standardized_coefficient_abs
Net Profit_lag1,6596.565903276205,standardized_coefficient_abs
Equity_lag2,6189.100393474102,standardized_coefficient_abs
Borrowings_roll4_std,5978.304874897003,standardized_coefficient_abs
Operating Profit_roll4_growth,4531.1217403411865,standardized_coefficient_abs
Net Profit_roll4_std,3742.057341337204,standardized_coefficient_abs
Borrowings_roll4_growth,3718.2406688928604,standardized_coefficient_abs
Total Liabilities_lag1,3416.7299757003784,standardized_coefficient_abs
Net Profit_lag2,3306.473045706749,standardized_coefficient_abs
Equity,2926.161775112152,standardized_coefficient_abs
Total Assets_yoy_growth,2861.8437947183847,standardized_coefficient_abs
Sector_Banking,2793.680315256119,standardized_coefficient_abs
Net Profit_roll4_growth,2494.0374512672424,standardized_coefficient_abs
Operating Profit_roll4_std,2391.2187266349792,standardized_coefficient_abs
Sales_qoq_growth,2046.7600667476654,standardized_coefficient_abs
Operating Profit_qoq_growth,2016.3828860521317,standardized_coefficient_abs
Net Profit_qoq_growth,1837.216745376587,standardized_coefficient_abs
CFO_roll4_std,1827.4725677967072,standardized_coefficient_abs
Borrowings_qoq_growth,1641.148785829544,standardized_coefficient_abs
Sector_FMCG,1579.6475148200989,standardized_coefficient_abs
Total Assets_qoq_growth,1376.300672531128,standardized_coefficient_abs
Borrowings_qoq_growth_lag1,1304.0265221595764,standardized_coefficient_abs
Borrowings_yoy_growth,1287.6311168670654,standardized_coefficient_abs
CFO_roll4_median,1233.5153837800026,standardized_coefficient_abs
CFO_qoq_growth,1139.546122431755,standardized_coefficient_abs
Net Profit,1058.6406846046448,standardized_coefficient_abs
Sales_roll4_growth,946.9222707748413,standardized_coefficient_abs
Total Assets_roll4_std,908.4853935241699,standardized_coefficient_abs
Sector_Energy,899.4957638978958,standardized_coefficient_abs
Operating Profit_yoy_growth,828.2525017261505,standardized_coefficient_abs
CFO_yoy_growth,775.6865615844727,standardized_coefficient_abs
Net Profit_qoq_growth_lag1,740.9633030891418,standardized_coefficient_abs
CFO_qoq_growth_lag1,645.630411863327,standardized_coefficient_abs
CFO_roll4_growth,636.3517628908157,standardized_coefficient_abs
Net Profit_yoy_growth,509.1521215438843,standardized_coefficient_abs
Sales_roll4_std,444.10808750987053,standardized_coefficient_abs
Sector_Auto,403.61770367622375,standardized_coefficient_abs
Operating Profit_qoq_growth_lag1,341.5792827606201,standardized_coefficient_abs
Sales_qoq_growth_lag1,273.13197660446167,standardized_coefficient_abs
Sales_yoy_growth,91.40804076194763,standardized_coefficient_abs
Sector_Tech,90.5162603855133,standardized_coefficient_abs
Total Assets_qoq_growth_lag1,65.56384229660034,standardized_coefficient_abs
Total Assets_roll4_growth,9.418778419494629,standardized_coefficient_abs
