feature,importance,kind
repo_x_borrowings,0.5408705139569729,native_importance
Borrowings,0.4382283588440497,native_importance
Total Liabilities,0.004714892068301161,native_importance
Total Assets,0.000818091451502253,native_importance
repo_x_total_assets,0.0005907524780941188,native_importance
Borrowings_qoq_growth,0.0005857561537282643,native_importance
Borrowings_lag1,0.0005319014854049576,native_importance
Total Liabilities_lag1,0.00047584318474927956,native_importance
Borrowings_roll4_mean,0.0004285332567688289,native_importance
Net Cash Flow,0.00039829187420723346,native_importance
Operating Profit,0.0003871605633827311,native_importance
Equity,0.0003773469700004084,native_importance
CFO,0.00035819524424406514,native_importance
Operating Profit_qoq_growth,0.00033258873791850346,native_importance
Equity_lag1,0.00032729530422169234,native_importance
Sales_qoq_growth,0.00030823715783108354,native_importance
Net Profit,0.00028780463920819447,native_importance
CFF,0.00028774962248534236,native_importance
CFI,0.0002793868868611382,native_importance
Expenses,0.00026732353216935494,native_importance
CFO_qoq_growth,0.00025239411467696126,native_importance
Total Assets_qoq_growth,0.00025116659098518385,native_importance
Operating Profit_roll4_std,0.00024094342619277934,native_importance
Net Profit_roll4_std,0.00024091499669598682,native_importance
Total Assets_qoq_growth_lag1,0.0002247084632826554,native_importance
Sales_roll4_std,0.00022110812711937175,native_importance
Borrowings_qoq_growth_lag1,0.00022067728134979382,native_importance
Net Profit_qoq_growth,0.00021723268055014072,native_importance
cpi_infl_x_sales,0.0002098940815284827,native_importance
Borrowings_roll4_median,0.00020540671073329106,native_importance
Total Assets_lag1,0.00020142242946486337,native_importance
Total Assets_roll4_median,0.00020130568404286848,native_importance
Borrowings_lag2,0.00019138747549228915,native_importance
Total Assets_roll4_std,0.0001858304311746949,native_importance
Sales_qoq_growth_lag1,0.00017799937937806184,native_importance
Equity_lag2,0.00017770213430059277,native_importance
Borrowings_roll4_std,0.00017018340829276458,native_importance
Net Cash Flow_lag1,0.00016689153348164293,native_importance
oil_x_sales,0.00016085376740255616,native_importance
Total Assets_yoy_growth,0.00015411769007778138,native_importance
Net Profit_qoq_growth_lag1,0.0001529502976248021,native_importance
CFI_lag1,0.0001511114402146218,native_importance
CFO_qoq_growth_lag1,0.0001365039245791946,native_importance
Net Profit_lag1,0.0001340173289067659,native_importance
CFO_roll4_std,0.00013296743087291612,native_importance
CFF_lag1,0.00012780505846335234,native_importance
Operating Profit_qoq_growth_lag1,0.00012748541849684177,native_importance
CFI_lag2,0.00012492173545925012,native_importance
CFO_lag2,0.00012454516827320174,native_importance
Borrowings_roll4_growth,0.00012367076522599096,native_importance
CFO_lag1,0.00012098216204417581,native_importance
Operating Profit_lag1,0.00011660892512105724,native_importance
Operating Profit_yoy_growth,0.00011592121624963795,native_importance
Operating Profit_lag2,0.00011552045473718929,native_importance
Net Cash Flow_lag2,0.00011174196312926344,native_importance
Expenses_lag2,0.00010892042536842621,native_importance
CFF_lag2,0.00010825186438767072,native_importance
fx_x_sales,0.00010787157740359583,native_importance
oil_price,9.451864424553064e-05,native_importance
Net Profit_roll4_median,9.379781452091442e-05,native_importance
Expenses_lag1,8.92652809863293e-05,native_importance
Total Assets_lag2,8.834502858419658e-05,native_importance
Sales,8.677191635665626e-05,native_importance
Net Profit_lag4,8.660991067508299e-05,native_importance
CFO_yoy_growth,8.348614727228984e-05,native_importance
Total Assets_roll4_mean,8.345223486955622e-05,native_importance
Sales_lag1,8.26565692405762e-05,native_importance
Net Profit_roll4_mean,8.264486917030141e-05,native_importance
Borrowings_yoy_growth,8.178067727108991e-05,native_importance
Net Profit_lag2,8.025254498297822e-05,native_importance
Operating Profit_roll4_mean,7.499718920881675e-05,native_importance
Borrowings_lag4,7.371981654490777e-05,native_importance
Sales_yoy_growth,7.151434410214548e-05,native_importance
Total Liabilities_lag2,6.84380681632053e-05,native_importance
CFO_roll4_median,6.717413829822758e-05,native_importance
Operating Profit_roll4_median,6.602355192368295e-05,native_importance
CPI_Inflation_Rate,6.591847970175317e-05,native_importance
Net Cash Flow_lag4,5.832521087021011e-05,native_importance
CPI_Inflation_Rate_lag1,5.678205786151667e-05,native_importance
oil_price_lag1,5.6539176673889984e-05,native_importance
CFO_roll4_mean,5.415611252297117e-05,native_importance
CFO_lag4,5.093929716939389e-05,native_importance
Total Liabilities_lag4,4.7989191258339865e-05,native_importance
Reverse_Repo_Rate,4.7125470837763e-05,native_importance
Sales_roll4_mean,4.6629888703591204e-05,native_importance
CFF_lag4,4.505574409050657e-05,native_importance
Sales_roll4_growth,4.402879595135172e-05,native_importance
Total Assets_roll4_growth,4.3994202278177694e-05,native_importance
Sales_roll4_median,4.306503639500445e-05,native_importance
Repo_Rate,4.086297096614165e-05,native_importance
Net Profit_roll4_growth,3.994571060983102e-05,native_importance
Equity_lag4,3.767087663608586e-05,native_importance
Net Profit_yoy_growth,3.738797858369622e-05,native_importance
CFI_lag4,3.6050290302462796e-05,native_importance
Sales_lag2,3.593648772138363e-05,native_importance
Reverse_Repo_Rate_lag1,3.518974304721825e-05,native_importance
Operating Profit_lag4,3.448610439455735e-05,native_importance
CPI_Combined_Index_lag1,3.430704120378098e-05,native_importance
Expenses_lag4,3.372282777033665e-05,native_importance
Repo_Rate_lag1,3.0505305232964294e-05,native_importance
Operating Profit_roll4_growth,3.0443138179307697e-05,native_importance
exchange_rate_lag1,2.9560968859025517e-05,native_importance
CFO_roll4_growth,2.923551744339905e-05,native_importance
CPI_Combined_Index,2.8593262259703607e-05,native_importance
Total Assets_lag4,2.6691295539930242e-05,native_importance
WPI_lag1,2.540610945838534e-05,native_importance
Quarter_Q1,2.4006844852021767e-05,native_importance
Sales_lag4,2.1125824570893863e-05,native_importance
exchange_rate,1.733503564450556e-05,native_importance
WPI,1.6830734568316025e-05,native_importance
Quarter_Q4,8.681779945590453e-06,native_importance
Quarter_Q2,7.769707711772379e-06,native_importance
Quarter_Q3,7.659980745502958e-06,native_importance
Repo_Rate_lag4,7.569679393990854e-06,native_importance
Reverse_Repo_Rate_lag4,6.694054984211955e-06,native_importance
CPI_Combined_Index_lag4,6.451774941405308e-06,native_importance
oil_price_lag4,6.026100398159456e-06,native_importance
CPI_Inflation_Rate_lag4,5.41085499288611e-06,native_importance
WPI_lag4,3.788967146601829e-06,native_importance
exchange_rate_lag4,3.6628183312928303e-06,native_importance
Sector_Banking,2.2248304009013583e-06,native_importance
Sector_Auto,1.266745152264336e-06,native_importance
Sector_Energy,1.2256031863100855e-06,native_importance
Sector_Tech,3.0291721972668284e-07,native_importance
Sector_FMCG,1.173199251108587e-08,native_importance
