feature,importance,kind
repo_x_borrowings,230261.54348889523,standardized_coefficient_abs
Borrowings,122312.3937555096,standardized_coefficient_abs
Borrowings_roll4_mean,93441.80442568428,standardized_coefficient_abs
Borrowings_roll4_median,65024.969547651155,standardized_coefficient_abs
oil_x_sales,50141.28893260588,standardized_coefficient_abs
Net Profit_roll4_median,48832.30170969405,standardized_coefficient_abs
Total Assets_roll4_median,46105.43560328832,standardized_coefficient_abs
Net Profit_roll4_mean,43828.80402518545,standardized_coefficient_abs
repo_x_total_assets,38855.85172671106,standardized_coefficient_abs
Sales_roll4_median,38543.856298912826,standardized_coefficient_abs
Borrowings_lag1,28604.399100614843,standardized_coefficient_abs
Total Assets_lag2,28074.061804183326,standardized_coefficient_abs
Borrowings_lag2,27656.73988989317,standardized_coefficient_abs
Expenses,26300.122565634323,standardized_coefficient_abs
Sales,23243.82165925483,standardized_coefficient_abs
Total Assets_lag1,19525.397622526943,standardized_coefficient_abs
Equity_lag2,18207.229812576414,standardized_coefficient_abs
Operating Profit_lag1,16617.40318878702,standardized_coefficient_abs
Operating Profit_roll4_median,15736.474578069456,standardized_coefficient_abs
Total Liabilities_lag4,15576.939382797207,standardized_coefficient_abs
Expenses_lag2,15286.912214280885,standardized_coefficient_abs
Borrowings_lag4,15085.662496427603,standardized_coefficient_abs
Equity_lag4,15047.562067492863,standardized_coefficient_abs
Sales_lag2,13311.723302184271,standardized_coefficient_abs
Sales_roll4_mean,12960.499821806925,standardized_coefficient_abs
Total Assets_lag4,11770.63962306841,standardized_coefficient_abs
fx_x_sales,11188.476346154339,standardized_coefficient_abs
Net Cash Flow_lag2,10764.53661199946,standardized_coefficient_abs
CFF_lag4,10741.145619484765,standardized_coefficient_abs
Net Profit_lag1,10482.629159483704,standardized_coefficient_abs
CFI,10198.041282491171,standardized_coefficient_abs
Total Liabilities,9965.902637371271,standardized_coefficient_abs
CFF_lag2,8811.530971715882,standardized_coefficient_abs
CFO_roll4_mean,8223.009699784563,standardized_coefficient_abs
Total Liabilities_lag1,8051.8337454567145,standardized_coefficient_abs
Net Cash Flow,7830.815186166176,standardized_coefficient_abs
Net Profit_lag4,6614.44427274614,standardized_coefficient_abs
Borrowings_roll4_std,6134.070291086218,standardized_coefficient_abs
Total Assets,5841.270003223444,standardized_coefficient_abs
Operating Profit_lag4,5705.137647288608,standardized_coefficient_abs
Net Cash Flow_lag4,5527.130514469223,standardized_coefficient_abs
CFF_lag1,4955.837876605187,standardized_coefficient_abs
cpi_infl_x_sales,4911.817459995207,standardized_coefficient_abs
Net Cash Flow_lag1,4524.259832363587,standardized_coefficient_abs
Borrowings_roll4_growth,4414.726596928563,standardized_coefficient_abs
Operating Profit_roll4_growth,4337.0227763996445,standardized_coefficient_abs
Equity_lag1,4336.534667231535,standardized_coefficient_abs
Net Profit_roll4_std,4193.663653382641,standardized_coefficient_abs
CFI_lag4,3709.548366106661,standardized_coefficient_abs
CFI_lag1,3709.4205562877987,standardized_coefficient_abs
Operating Profit_lag2,3582.3332889294397,standardized_coefficient_abs
CFO,3276.8183507368794,standardized_coefficient_abs
Expenses_lag1,2800.5855126571746,standardized_coefficient_abs
Total Assets_yoy_growth,2597.276165085828,standardized_coefficient_abs
Sector_Banking,2512.07734556083,standardized_coefficient_abs
CFO_roll4_median,2452.4544871782023,standardized_coefficient_abs
Net Profit_roll4_growth,2298.888907354574,standardized_coefficient_abs
Total Assets_roll4_mean,2116.5700455387714,standardized_coefficient_abs
Operating Profit,2039.1155003453227,standardized_coefficient_abs
Operating Profit_roll4_std,1979.1695802970835,standardized_coefficient_abs
Sector_FMCG,1943.5881503495625,standardized_coefficient_abs
Sales_lag4,1785.2840314601249,standardized_coefficient_abs
Operating Profit_qoq_growth,1736.1190619356787,standardized_coefficient_abs
Borrowings_qoq_growth,1670.1022674185497,standardized_coefficient_abs
Sales_qoq_growth,1612.7937140529805,standardized_coefficient_abs
CFO_lag2,1563.749194653996,standardized_coefficient_abs
CFF,1519.2815988903526,standardized_coefficient_abs
Net Profit_lag2,1499.7561713074408,standardized_coefficient_abs
Operating Profit_roll4_mean,1480.044792636069,standardized_coefficient_abs
CFO_roll4_std,1471.8596169269933,standardized_coefficient_abs
Total Assets_qoq_growth,1379.8392662932101,standardized_coefficient_abs
Total Assets_roll4_std,1347.375331602047,standardized_coefficient_abs
Sales_yoy_growth,1347.2852734881772,standardized_coefficient_abs
Net Profit_qoq_growth,1321.5129637734167,standardized_coefficient_abs
CFO_lag4,1239.2658683224786,standardized_coefficient_abs
Net Profit,1231.748894656319,standardized_coefficient_abs
Expenses_lag4,1171.4799102675374,standardized_coefficient_abs
CFO_qoq_growth_lag1,1143.7658794752708,standardized_coefficient_abs
CFO_qoq_growth,1142.370555272026,standardized_coefficient_abs
Borrowings_qoq_growth_lag1,1079.454422941071,standardized_coefficient_abs
Equity,1036.4719017305686,standardized_coefficient_abs
Borrowings_yoy_growth,1004.9114900891519,standardized_coefficient_abs
Operating Profit_yoy_growth,852.4097888858646,standardized_coefficient_abs
CFI_lag2,796.0376998938535,standardized_coefficient_abs
Sales_roll4_std,756.9843596714713,standardized_coefficient_abs
Sales_qoq_growth_lag1,693.0135511271188,standardized_coefficient_abs
Total Liabilities_lag2,664.3006825901838,standardized_coefficient_abs
CFO_yoy_growth,639.736308839202,standardized_coefficient_abs
Sales_roll4_growth,580.6822386733762,standardized_coefficient_abs
Quarter_Q4,550.6856881290461,standardized_coefficient_abs
Quarter_Q1,537.0901150689205,standardized_coefficient_abs
Total Assets_roll4_growth,536.6526552969503,standardized_coefficient_abs
Total Assets_qoq_growth_lag1,466.10061202715053,standardized_coefficient_abs
CPI_Inflation_Rate_lag1,400.4981871922888,standardized_coefficient_abs
CPI_Inflation_Rate,390.8152397045816,standardized_coefficient_abs
oil_price,386.243327149682,standardized_coefficient_abs
WPI,365.1169823184681,standardized_coefficient_abs
Reverse_Repo_Rate,335.3123155181488,standardized_coefficient_abs
Sales_lag1,328.65547672266973,standardized_coefficient_abs
CPI_Combined_Index,325.4791545894038,standardized_coefficient_abs
WPI_lag4,312.7649834207964,standardized_coefficient_abs
CPI_Combined_Index_lag4,311.8079799999691,standardized_coefficient_abs
Repo_Rate,305.13798333994674,standardized_coefficient_abs
CFO_lag1,304.9661408901953,standardized_coefficient_abs
CFO_roll4_growth,302.73498868421825,standardized_coefficient_abs
oil_price_lag1,275.42092048705604,standardized_coefficient_abs
Sector_Energy,269.10050181773744,standardized_coefficient_abs
CPI_Combined_Index_lag1,254.93668383467775,standardized_coefficient_abs
WPI_lag1,250.23558741828114,standardized_coefficient_abs
Reverse_Repo_Rate_lag4,248.9249809019832,standardized_coefficient_abs
Repo_Rate_lag4,240.76187821232898,standardized_coefficient_abs
Operating Profit_qoq_growth_lag1,223.7770111594931,standardized_coefficient_abs
Net Profit_yoy_growth,222.1677319836301,standardized_coefficient_abs
exchange_rate_lag4,213.19159367506788,standardized_coefficient_abs
Sector_Auto,203.19806453506533,standardized_coefficient_abs
Net Profit_qoq_growth_lag1,189.7711117305471,standardized_coefficient_abs
oil_price_lag4,182.3144569720059,standardized_coefficient_abs
exchange_rate_lag1,176.4503199106758,standardized_coefficient_abs
exchange_rate,114.12060047157682,standardized_coefficient_abs
Sector_Tech,96.1906279907418,standardized_coefficient_abs
Quarter_Q3,58.1022454535359,standardized_coefficient_abs
Quarter_Q2,52.42856980948383,standardized_coefficient_abs
CPI_Inflation_Rate_lag4,50.99914829307544,standardized_coefficient_abs
Repo_Rate_lag1,30.788863382667206,standardized_coefficient_abs
Reverse_Repo_Rate_lag1,8.865510337216433,standardized_coefficient_abs
