feature,importance,kind
CFO,40.617848170008685,native_importance
CFI,22.964877186278837,native_importance
Net Profit,3.690406552057238,native_importance
CFO_lag1,2.951769143903185,native_importance
cpi_infl_x_sales,2.887135510115992,native_importance
Total Assets,2.553364589539587,native_importance
CFF,2.404142925715135,native_importance
CFO_roll4_mean,2.309771177418341,native_importance
Net Cash Flow_lag1,1.8434337106207885,native_importance
Net Cash Flow,1.626850608904662,native_importance
Expenses_lag1,1.137246559988603,native_importance
CFI_lag1,0.8777391273608631,native_importance
oil_x_sales,0.8545018205224284,native_importance
Borrowings,0.6203122625252729,native_importance
Borrowings_lag1,0.5455566409376418,native_importance
Operating Profit,0.5399671362571958,native_importance
CFO_roll4_median,0.5134755788147877,native_importance
Sales_qoq_growth,0.4382030364459619,native_importance
repo_x_total_assets,0.41038790277811854,native_importance
Net Profit_lag1,0.39801748167306716,native_importance
Sales_lag1,0.36499197778507964,native_importance
Net Profit_qoq_growth,0.3632670669659983,native_importance
Total Assets_roll4_median,0.3361843173845959,native_importance
Total Liabilities,0.29777426620159564,native_importance
Operating Profit_qoq_growth,0.2821270237651386,native_importance
CFF_lag1,0.28079353955647857,native_importance
Equity_lag1,0.2581503993389098,native_importance
Sales_qoq_growth_lag1,0.25140052265432705,native_importance
Operating Profit_roll4_std,0.22751724038627316,native_importance
WPI_lag4,0.22033877948348068,native_importance
Operating Profit_qoq_growth_lag1,0.2197731939964032,native_importance
CFO_qoq_growth,0.21336288529712785,native_importance
Total Assets_qoq_growth,0.2047832622229426,native_importance
CFO_roll4_std,0.20359100015488613,native_importance
Operating Profit_lag1,0.19656928798163878,native_importance
CFO_lag4,0.18597592412370528,native_importance
Sales_lag2,0.18316529582661908,native_importance
Total Liabilities_lag1,0.17996632953001698,native_importance
Borrowings_roll4_std,0.17057189063417802,native_importance
Borrowings_qoq_growth,0.16661682214685333,native_importance
CFF_lag2,0.16024317271627211,native_importance
Sales_roll4_std,0.15806476779534917,native_importance
repo_x_borrowings,0.15770295923021332,native_importance
Net Cash Flow_lag2,0.1550134941451822,native_importance
Borrowings_qoq_growth_lag1,0.1513331798495052,native_importance
Operating Profit_roll4_mean,0.1508048023858426,native_importance
Net Profit_qoq_growth_lag1,0.14977077048924214,native_importance
CFO_qoq_growth_lag1,0.14659329456248435,native_importance
Sales,0.14544860013636357,native_importance
Operating Profit_roll4_median,0.1441427544317502,native_importance
Equity,0.14238804138714758,native_importance
Expenses,0.13879597433065222,native_importance
Total Liabilities_lag2,0.12890215127922672,native_importance
CFO_lag2,0.1270102590678833,native_importance
Net Cash Flow_lag4,0.1233084569148928,native_importance
WPI,0.12090051916619204,native_importance
Net Profit_lag2,0.11404962883973437,native_importance
Operating Profit_lag4,0.11396464150301211,native_importance
Total Assets_yoy_growth,0.11151509825216238,native_importance
Net Profit_roll4_mean,0.10899706317809091,native_importance
CPI_Combined_Index_lag1,0.10840824278919008,native_importance
Net Profit_roll4_std,0.09518303619123,native_importance
Sales_yoy_growth,0.09357649262870742,native_importance
Expenses_lag2,0.09049359580537862,native_importance
Total Assets_roll4_std,0.08415192389201,native_importance
Total Assets_qoq_growth_lag1,0.08126211620726471,native_importance
fx_x_sales,0.07672970100422502,native_importance
Net Profit_lag4,0.07272010539866154,native_importance
Borrowings_yoy_growth,0.06978190494630138,native_importance
CFO_yoy_growth,0.06764532764154245,native_importance
Repo_Rate,0.0659310365040929,native_importance
Operating Profit_yoy_growth,0.0655412881549265,native_importance
CPI_Combined_Index,0.06383195120816208,native_importance
CFI_lag2,0.06324134565267282,native_importance
Expenses_lag4,0.06261648426406494,native_importance
Net Profit_roll4_median,0.05613134705015294,native_importance
Operating Profit_lag2,0.0526811486696009,native_importance
Sales_lag4,0.052432707639791826,native_importance
CFI_lag4,0.05173945794685026,native_importance
Equity_lag4,0.0502853861967284,native_importance
CFO_roll4_growth,0.05005547004002854,native_importance
Sector_Banking,0.04497851064474981,native_importance
Borrowings_lag4,0.03871401129830114,native_importance
Borrowings_roll4_mean,0.035993959116377885,native_importance
CPI_Inflation_Rate_lag1,0.035064755911493745,native_importance
Reverse_Repo_Rate_lag4,0.034450641704919766,native_importance
Operating Profit_roll4_growth,0.03415244902014987,native_importance
Sales_roll4_median,0.03411124333614987,native_importance
Total Assets_lag4,0.03375672480973251,native_importance
oil_price_lag4,0.03297272293471543,native_importance
Sales_roll4_growth,0.03282653308830651,native_importance
Net Profit_roll4_growth,0.03187161545049432,native_importance
Net Profit_yoy_growth,0.03136213763817241,native_importance
Sales_roll4_mean,0.030786549313806377,native_importance
Equity_lag2,0.029899275081388333,native_importance
oil_price,0.02921894719280763,native_importance
Total Liabilities_lag4,0.028776047686723705,native_importance
Total Assets_roll4_growth,0.028682806038461586,native_importance
oil_price_lag1,0.027862708743955505,native_importance
Borrowings_roll4_median,0.027576455406386098,native_importance
Borrowings_roll4_growth,0.025584983995147876,native_importance
Reverse_Repo_Rate,0.024972564655946224,native_importance
CFF_lag4,0.02030110150718235,native_importance
Borrowings_lag2,0.016435954805607732,native_importance
Quarter_Q1,0.01568585203398474,native_importance
Total Assets_lag2,0.010497587413355094,native_importance
Total Assets_lag1,0.009881861969828733,native_importance
exchange_rate,0.00934104859798874,native_importance
Sector_Auto,0.006411057315707412,native_importance
CPI_Inflation_Rate,0.0052551432076144424,native_importance
exchange_rate_lag4,0.004068861703751263,native_importance
Repo_Rate_lag1,0.003941155780315838,native_importance
Quarter_Q4,0.003909721505656773,native_importance
CPI_Inflation_Rate_lag4,0.0027293703306705145,native_importance
Total Assets_roll4_mean,0.0026077939647244698,native_importance
Quarter_Q2,0.0,native_importance
Quarter_Q3,0.0,native_importance
CPI_Combined_Index_lag4,0.0,native_importance
Repo_Rate_lag4,0.0,native_importance
WPI_lag1,0.0,native_importance
exchange_rate_lag1,0.0,native_importance
Reverse_Repo_Rate_lag1,0.0,native_importance
Sector_Energy,0.0,native_importance
Sector_FMCG,0.0,native_importance
Sector_Tech,0.0,native_importance
