feature,importance,kind
CFO,0.9724838871327774,native_importance
CFF,0.0011588053443484098,native_importance
Borrowings_lag1,0.0010352257081610529,native_importance
Total Assets,0.0009827182934500495,native_importance
CFI_lag1,0.0008977836425849154,native_importance
Operating Profit_qoq_growth,0.0007931381547657964,native_importance
Sales_qoq_growth,0.0007882545109820029,native_importance
CFI,0.0007874082160791301,native_importance
Equity_lag1,0.0007517232673894383,native_importance
Net Profit_qoq_growth,0.0007456342361175224,native_importance
cpi_infl_x_sales,0.0006889051044800204,native_importance
Net Profit_lag1,0.0006049571344889337,native_importance
Total Assets_qoq_growth,0.0005956158190826714,native_importance
Sales_qoq_growth_lag1,0.0005874601950208324,native_importance
Borrowings_qoq_growth,0.000579745462276847,native_importance
Net Profit_lag2,0.0005099696240419688,native_importance
Net Profit_roll4_median,0.0004880457613463806,native_importance
CFF_lag1,0.00047978096102376395,native_importance
Borrowings,0.0004773149473314361,native_importance
CFO_roll4_std,0.0004665153655853009,native_importance
Borrowings_qoq_growth_lag1,0.0004608865747870175,native_importance
Net Cash Flow_lag4,0.0004480492114477163,native_importance
Net Profit,0.00044547537757987234,native_importance
Net Cash Flow_lag1,0.00043917454194030824,native_importance
Total Liabilities_lag2,0.0004359052563125058,native_importance
Sales,0.0004043866414870178,native_importance
CFI_lag2,0.0003984914631096121,native_importance
Net Profit_qoq_growth_lag1,0.00038865299078214775,native_importance
oil_x_sales,0.00037802296200971277,native_importance
Operating Profit_lag2,0.00036241721874916735,native_importance
Borrowings_roll4_std,0.0003565131621010461,native_importance
Equity,0.0003516167445766338,native_importance
CFO_lag1,0.00034482733891069917,native_importance
CFO_roll4_growth,0.0003442644605556375,native_importance
Borrowings_yoy_growth,0.00033388870640342145,native_importance
repo_x_total_assets,0.0003309930867162466,native_importance
Net Cash Flow,0.0003152024246276997,native_importance
Expenses_lag4,0.0003114738337392305,native_importance
Operating Profit,0.00030662351195906835,native_importance
Expenses,0.0003044616694561915,native_importance
oil_price_lag1,0.00030252339878809875,native_importance
fx_x_sales,0.0002926137490187856,native_importance
Total Liabilities,0.00025205392013131486,native_importance
CFF_lag2,0.00024254772086788935,native_importance
CFO_qoq_growth,0.00022863765837811002,native_importance
Operating Profit_qoq_growth_lag1,0.00022717068115144727,native_importance
Total Assets_yoy_growth,0.00022683704148944716,native_importance
Reverse_Repo_Rate,0.00022166706267834617,native_importance
repo_x_borrowings,0.00021055705330392738,native_importance
Operating Profit_roll4_std,0.000207113879132525,native_importance
Sales_roll4_std,0.00019318549213328626,native_importance
Operating Profit_lag1,0.0001896419984131071,native_importance
Operating Profit_roll4_growth,0.00018878698091666235,native_importance
CFO_yoy_growth,0.00018566978205257901,native_importance
Net Profit_roll4_std,0.00017667641797313818,native_importance
Net Profit_yoy_growth,0.00017281147040859978,native_importance
Total Assets_qoq_growth_lag1,0.00017206482892217486,native_importance
Net Cash Flow_lag2,0.00017029147668889982,native_importance
Sales_yoy_growth,0.00016491287913249897,native_importance
CFO_lag2,0.0001503324836813762,native_importance
Sales_lag1,0.000146134677512144,native_importance
Sales_roll4_growth,0.0001399682439923164,native_importance
Total Assets_roll4_std,0.00013011009345817847,native_importance
Total Assets_lag1,0.00012580546016143082,native_importance
Borrowings_lag4,0.0001232272661584723,native_importance
Expenses_lag1,0.00011284796492659757,native_importance
CFO_lag4,0.00011220112445809512,native_importance
CFO_qoq_growth_lag1,0.00010563055467115055,native_importance
Sales_lag2,0.00010401271333678841,native_importance
CFI_lag4,8.938798872449604e-05,native_importance
CPI_Inflation_Rate_lag1,8.818268494754958e-05,native_importance
Expenses_lag2,8.285480782998387e-05,native_importance
Borrowings_roll4_growth,8.106804538224286e-05,native_importance
CFO_roll4_mean,7.618775239934615e-05,native_importance
Total Liabilities_lag1,7.537914065446965e-05,native_importance
oil_price,7.478472337059503e-05,native_importance
Net Profit_lag4,7.239902765629592e-05,native_importance
Total Assets_lag2,6.465662739836866e-05,native_importance
Net Profit_roll4_mean,6.41894308165542e-05,native_importance
CFO_roll4_median,5.87554489741306e-05,native_importance
Operating Profit_lag4,5.013219883337672e-05,native_importance
Borrowings_roll4_mean,4.586266555978258e-05,native_importance
Operating Profit_roll4_median,3.3995011609280535e-05,native_importance
Reverse_Repo_Rate_lag1,2.918297356324612e-05,native_importance
CPI_Combined_Index_lag1,2.898333774904059e-05,native_importance
CPI_Inflation_Rate,2.6625786595016387e-05,native_importance
Operating Profit_roll4_mean,2.639785361575901e-05,native_importance
Total Liabilities_lag4,2.5727567897898543e-05,native_importance
Sales_roll4_mean,2.5442315247936684e-05,native_importance
Net Profit_roll4_growth,2.4387984189941792e-05,native_importance
Borrowings_roll4_median,2.395165857531703e-05,native_importance
CFF_lag4,1.9860793956276883e-05,native_importance
Borrowings_lag2,1.9429224801529832e-05,native_importance
Equity_lag2,1.7389723138453387e-05,native_importance
Total Assets_lag4,1.4653389314685726e-05,native_importance
Total Assets_roll4_median,1.4437453614689155e-05,native_importance
Repo_Rate_lag4,1.2677187878942241e-05,native_importance
Equity_lag4,1.1341449009548467e-05,native_importance
exchange_rate,9.177030129838734e-06,native_importance
WPI_lag1,8.784341777295978e-06,native_importance
Operating Profit_yoy_growth,8.708809355054238e-06,native_importance
Total Assets_roll4_mean,6.636356708613716e-06,native_importance
Quarter_Q3,5.753282575947001e-06,native_importance
WPI,5.7380052258911055e-06,native_importance
Quarter_Q4,5.271617590378782e-06,native_importance
exchange_rate_lag1,5.104829572002422e-06,native_importance
Sector_Energy,4.85846595164923e-06,native_importance
CPI_Combined_Index_lag4,4.010920892108799e-06,native_importance
Sales_lag4,2.704070005124873e-06,native_importance
Repo_Rate_lag1,2.5049895171764507e-06,native_importance
Sector_Banking,2.3155460750597748e-06,native_importance
Quarter_Q2,1.7460061854168207e-06,native_importance
CPI_Combined_Index,1.1961979034528433e-06,native_importance
Reverse_Repo_Rate_lag4,1.1798464147312545e-06,native_importance
Sector_Auto,1.1731536401314002e-06,native_importance
Total Assets_roll4_growth,9.506024358959198e-07,native_importance
Sales_roll4_median,9.353281311707496e-07,native_importance
CPI_Inflation_Rate_lag4,6.518629160774396e-07,native_importance
Repo_Rate,6.2778361903552e-07,native_importance
WPI_lag4,5.924459252610862e-07,native_importance
Sector_Tech,3.4107700478702095e-07,native_importance
exchange_rate_lag4,2.088445089162455e-07,native_importance
oil_price_lag4,1.4515679583792322e-07,native_importance
Quarter_Q1,1.0904331608982931e-07,native_importance
Sector_FMCG,0.0,native_importance
