feature,importance,kind
CFI,6839.3936516735785,standardized_coefficient_abs
CFO,5706.96321261214,standardized_coefficient_abs
Net Cash Flow,3830.95298470077,standardized_coefficient_abs
CFF,2991.108030723845,standardized_coefficient_abs
CFI_lag1,1046.2394263571491,standardized_coefficient_abs
Total Liabilities_lag1,1043.366835323929,standardized_coefficient_abs
Net Profit_lag2,700.1399762227263,standardized_coefficient_abs
Operating Profit_lag4,675.5227931303048,standardized_coefficient_abs
Operating Profit_roll4_median,619.3178371599864,standardized_coefficient_abs
repo_x_total_assets,613.4984493155557,standardized_coefficient_abs
Borrowings_lag2,603.6652127640004,standardized_coefficient_abs
CFF_lag2,584.5694532548736,standardized_coefficient_abs
Operating Profit_lag1,576.8170756426065,standardized_coefficient_abs
Borrowings_roll4_mean,566.9523623230583,standardized_coefficient_abs
Equity_lag1,565.3596573613141,standardized_coefficient_abs
CFI_lag4,484.70795732408516,standardized_coefficient_abs
CFO_lag1,476.9950762613044,standardized_coefficient_abs
Total Liabilities_lag4,470.80288477647963,standardized_coefficient_abs
repo_x_borrowings,457.1299061571026,standardized_coefficient_abs
Total Liabilities_lag2,431.3424714998504,standardized_coefficient_abs
Net Profit,430.19561832158263,standardized_coefficient_abs
Sector_Banking,424.6038052934734,standardized_coefficient_abs
Equity_lag2,410.410133083349,standardized_coefficient_abs
Borrowings_lag1,397.78688631018764,standardized_coefficient_abs
CFO_roll4_median,391.3205486464356,standardized_coefficient_abs
Total Assets,382.371403079986,standardized_coefficient_abs
Equity_lag4,382.2815777640076,standardized_coefficient_abs
Sector_Energy,346.32567672773473,standardized_coefficient_abs
CFI_lag2,344.1274754553465,standardized_coefficient_abs
cpi_infl_x_sales,342.06806514352087,standardized_coefficient_abs
Net Profit_roll4_median,341.11507169473396,standardized_coefficient_abs
CFF_lag1,327.1493815709322,standardized_coefficient_abs
Total Assets_roll4_median,300.14323088217213,standardized_coefficient_abs
Borrowings_roll4_std,294.9045984859497,standardized_coefficient_abs
CFO_lag4,286.59782566096317,standardized_coefficient_abs
Expenses_lag2,272.207983443552,standardized_coefficient_abs
Sales_roll4_mean,270.70020194191227,standardized_coefficient_abs
Total Assets_lag1,262.69636894647,standardized_coefficient_abs
CFO_roll4_growth,261.42416279760727,standardized_coefficient_abs
Borrowings,260.1080718236095,standardized_coefficient_abs
Net Profit_lag4,258.0076786712638,standardized_coefficient_abs
Borrowings_lag4,231.5625631432491,standardized_coefficient_abs
Total Assets_roll4_std,228.14599532122122,standardized_coefficient_abs
Sales_roll4_median,228.01207980488826,standardized_coefficient_abs
CFO_roll4_mean,224.2360208849602,standardized_coefficient_abs
CFO_roll4_std,221.68231774604115,standardized_coefficient_abs
Operating Profit,217.51326793538024,standardized_coefficient_abs
Sales_lag2,216.80501141766584,standardized_coefficient_abs
Operating Profit_lag2,215.411318167809,standardized_coefficient_abs
Operating Profit_qoq_growth_lag1,210.86949498917676,standardized_coefficient_abs
Total Assets_roll4_mean,204.95359265945825,standardized_coefficient_abs
Net Profit_roll4_std,195.2345462049262,standardized_coefficient_abs
Sales_qoq_growth,183.37282508335454,standardized_coefficient_abs
Operating Profit_roll4_mean,180.96863580204777,standardized_coefficient_abs
Operating Profit_roll4_std,178.73708513129407,standardized_coefficient_abs
Net Cash Flow_lag4,172.6863199956767,standardized_coefficient_abs
Net Cash Flow_lag1,167.893807012799,standardized_coefficient_abs
CFF_lag4,166.01220323542998,standardized_coefficient_abs
Sector_Auto,164.74013639361397,standardized_coefficient_abs
Net Cash Flow_lag2,150.0984457801493,standardized_coefficient_abs
Net Profit_roll4_mean,148.90551915568471,standardized_coefficient_abs
Expenses_lag1,145.69874358439603,standardized_coefficient_abs
Net Profit_lag1,138.04601929935168,standardized_coefficient_abs
CFO_qoq_growth,129.5069010586726,standardized_coefficient_abs
Borrowings_yoy_growth,122.92709539682046,standardized_coefficient_abs
Borrowings_roll4_median,118.88503297851435,standardized_coefficient_abs
Net Profit_qoq_growth_lag1,114.648575414652,standardized_coefficient_abs
CFO_lag2,107.38731582149529,standardized_coefficient_abs
Net Profit_roll4_growth,107.28961437111218,standardized_coefficient_abs
Total Assets_lag2,95.29076099723277,standardized_coefficient_abs
Sales,93.01146513968878,standardized_coefficient_abs
Sales_lag4,92.72849292617859,standardized_coefficient_abs
Operating Profit_roll4_growth,90.20910154870911,standardized_coefficient_abs
Sector_FMCG,80.91278288970243,standardized_coefficient_abs
Net Profit_qoq_growth,75.26775981591412,standardized_coefficient_abs
Expenses,71.43952912523427,standardized_coefficient_abs
fx_x_sales,68.13796960554549,standardized_coefficient_abs
Total Assets_qoq_growth,60.4950308935369,standardized_coefficient_abs
Total Assets_lag4,58.98664599297184,standardized_coefficient_abs
Total Liabilities,57.38089557360326,standardized_coefficient_abs
Borrowings_roll4_growth,57.267162516163424,standardized_coefficient_abs
Borrowings_qoq_growth_lag1,56.8525710349635,standardized_coefficient_abs
Sales_roll4_growth,56.46164043183467,standardized_coefficient_abs
Operating Profit_qoq_growth,55.4694496237177,standardized_coefficient_abs
Sales_lag1,54.74683251635578,standardized_coefficient_abs
Equity,50.15507952812909,standardized_coefficient_abs
Total Assets_roll4_growth,43.31132557155891,standardized_coefficient_abs
oil_x_sales,42.898332792448244,standardized_coefficient_abs
oil_price_lag1,42.37651289582413,standardized_coefficient_abs
CFO_yoy_growth,39.49797631785478,standardized_coefficient_abs
Total Assets_yoy_growth,37.53369440889335,standardized_coefficient_abs
CFO_qoq_growth_lag1,30.450096282844978,standardized_coefficient_abs
Total Assets_qoq_growth_lag1,26.500114573437422,standardized_coefficient_abs
Sales_qoq_growth_lag1,22.94426692601992,standardized_coefficient_abs
Borrowings_qoq_growth,22.530009796610397,standardized_coefficient_abs
Operating Profit_yoy_growth,21.21048849432952,standardized_coefficient_abs
Repo_Rate_lag1,20.9857277866523,standardized_coefficient_abs
Reverse_Repo_Rate_lag4,20.730393556415383,standardized_coefficient_abs
Repo_Rate_lag4,20.451050973895487,standardized_coefficient_abs
Quarter_Q3,19.835136086966873,standardized_coefficient_abs
Quarter_Q2,18.8435677141733,standardized_coefficient_abs
CPI_Inflation_Rate_lag1,17.642161871533343,standardized_coefficient_abs
Reverse_Repo_Rate_lag1,16.427788128984847,standardized_coefficient_abs
oil_price_lag4,15.273976042545229,standardized_coefficient_abs
Reverse_Repo_Rate,14.533104872281221,standardized_coefficient_abs
CPI_Inflation_Rate_lag4,14.453565923866664,standardized_coefficient_abs
exchange_rate_lag4,12.943012933976414,standardized_coefficient_abs
Sales_yoy_growth,11.917343495425285,standardized_coefficient_abs
Net Profit_yoy_growth,11.817777970356818,standardized_coefficient_abs
exchange_rate,11.4555585761564,standardized_coefficient_abs
Quarter_Q4,10.378069911170327,standardized_coefficient_abs
CPI_Inflation_Rate,9.913538208823695,standardized_coefficient_abs
Quarter_Q1,8.799269278858256,standardized_coefficient_abs
Expenses_lag4,8.792818696771821,standardized_coefficient_abs
Repo_Rate,8.206319095042096,standardized_coefficient_abs
Sales_roll4_std,8.128997741878297,standardized_coefficient_abs
oil_price,4.9790783276251105,standardized_coefficient_abs
Sector_Tech,4.549085283499869,standardized_coefficient_abs
WPI_lag4,3.5773070945605094,standardized_coefficient_abs
CPI_Combined_Index_lag1,3.1048613458785908,standardized_coefficient_abs
CPI_Combined_Index,3.064700593889831,standardized_coefficient_abs
CPI_Combined_Index_lag4,2.949761703263676,standardized_coefficient_abs
exchange_rate_lag1,2.8516920924327276,standardized_coefficient_abs
WPI_lag1,1.5693306630064017,standardized_coefficient_abs
WPI,1.5355600309104591,standardized_coefficient_abs
