feature,importance,kind
CFO,19101.93537639334,standardized_coefficient_abs
Sales,13430.641486215156,standardized_coefficient_abs
Sales_roll4_mean,12682.907409091595,standardized_coefficient_abs
Borrowings_roll4_mean,8697.234397741357,standardized_coefficient_abs
oil_x_sales,7948.018874325923,standardized_coefficient_abs
Sales_lag2,6544.303766938092,standardized_coefficient_abs
Sales_lag1,6528.605245635025,standardized_coefficient_abs
Expenses_lag1,6438.545154361316,standardized_coefficient_abs
Borrowings_roll4_median,6216.365403365054,standardized_coefficient_abs
Expenses_lag2,6029.755219010747,standardized_coefficient_abs
fx_x_sales,5865.126151229334,standardized_coefficient_abs
Total Assets_lag2,5284.405374323463,standardized_coefficient_abs
Operating Profit_roll4_mean,4488.700052461827,standardized_coefficient_abs
Total Assets_roll4_mean,4121.090070156974,standardized_coefficient_abs
Operating Profit_roll4_median,3855.8423958713133,standardized_coefficient_abs
Net Profit_roll4_mean,2797.910673683237,standardized_coefficient_abs
Net Profit_roll4_median,2392.1134273675193,standardized_coefficient_abs
Total Liabilities_lag2,2333.575957458977,standardized_coefficient_abs
Equity_lag1,2262.588787226834,standardized_coefficient_abs
Equity_lag2,2175.6854510688604,standardized_coefficient_abs
Total Assets_lag1,2102.461898139404,standardized_coefficient_abs
repo_x_borrowings,2097.85319382822,standardized_coefficient_abs
Borrowings,2033.8446048330597,standardized_coefficient_abs
Net Profit_lag2,1813.5973117996866,standardized_coefficient_abs
Operating Profit_lag2,1527.306121215866,standardized_coefficient_abs
Total Assets,1371.0599489936624,standardized_coefficient_abs
CPI_Combined_Index_lag1,1295.6216654553373,standardized_coefficient_abs
CPI_Combined_Index,1053.3235916869648,standardized_coefficient_abs
CFF_lag2,1028.1652752346665,standardized_coefficient_abs
CFI_lag2,993.803176957897,standardized_coefficient_abs
Operating Profit_lag4,987.1763741616203,standardized_coefficient_abs
CFF_lag1,733.3741211959808,standardized_coefficient_abs
CFO_lag1,723.6689863752895,standardized_coefficient_abs
Borrowings_lag1,717.6594453494548,standardized_coefficient_abs
Equity_lag4,716.3005894164623,standardized_coefficient_abs
CFI_lag1,706.0434887694083,standardized_coefficient_abs
Borrowings_lag4,665.4731402442466,standardized_coefficient_abs
CPI_Inflation_Rate_lag1,648.9858075205659,standardized_coefficient_abs
CPI_Inflation_Rate,606.8900209775021,standardized_coefficient_abs
Equity,604.8316573267653,standardized_coefficient_abs
cpi_infl_x_sales,604.7871522860247,standardized_coefficient_abs
Quarter_Q2,557.8791022546887,standardized_coefficient_abs
Net Profit_lag4,539.3509978095785,standardized_coefficient_abs
oil_price,532.8000698743524,standardized_coefficient_abs
Sector_Energy,497.7691359369962,standardized_coefficient_abs
oil_price_lag1,486.9267805897438,standardized_coefficient_abs
CFO_roll4_mean,482.4800075537353,standardized_coefficient_abs
Sales_roll4_median,475.6237865237988,standardized_coefficient_abs
CFO_roll4_median,463.8792070344606,standardized_coefficient_abs
CFI_lag4,435.5461499413422,standardized_coefficient_abs
Net Cash Flow_lag1,411.34560661915424,standardized_coefficient_abs
CFO_lag4,409.6923972514065,standardized_coefficient_abs
Net Profit,401.31855825768776,standardized_coefficient_abs
CFO_lag2,376.75986695898507,standardized_coefficient_abs
CPI_Combined_Index_lag4,371.9885227310002,standardized_coefficient_abs
Total Assets_roll4_median,369.93141066414034,standardized_coefficient_abs
Net Cash Flow_lag2,353.94712483700005,standardized_coefficient_abs
Net Profit_lag1,349.9242525175661,standardized_coefficient_abs
Sector_Banking,345.96218178997646,standardized_coefficient_abs
Borrowings_roll4_std,325.69855201911224,standardized_coefficient_abs
Net Cash Flow,309.3261803559194,standardized_coefficient_abs
repo_x_total_assets,293.16243082365116,standardized_coefficient_abs
CPI_Inflation_Rate_lag4,264.573668561739,standardized_coefficient_abs
CFO_qoq_growth,248.79383343388028,standardized_coefficient_abs
Operating Profit,246.9794574576661,standardized_coefficient_abs
CFO_roll4_growth,238.6528327695025,standardized_coefficient_abs
Total Liabilities_lag1,235.88454386096055,standardized_coefficient_abs
WPI_lag1,228.77872069574258,standardized_coefficient_abs
CFF_lag4,224.31287808897284,standardized_coefficient_abs
Total Assets_roll4_std,220.33521828555607,standardized_coefficient_abs
Quarter_Q4,215.9283326403568,standardized_coefficient_abs
Total Liabilities,214.75134734904535,standardized_coefficient_abs
Net Profit_roll4_std,203.65533231511708,standardized_coefficient_abs
Sector_Auto,197.3179766409221,standardized_coefficient_abs
Borrowings_lag2,194.31271480019294,standardized_coefficient_abs
Net Cash Flow_lag4,192.46037311298613,standardized_coefficient_abs
CFO_roll4_std,189.71648928510882,standardized_coefficient_abs
Operating Profit_roll4_std,181.97934248018657,standardized_coefficient_abs
Total Assets_lag4,179.3485400522249,standardized_coefficient_abs
Sales_qoq_growth,153.62905791663889,standardized_coefficient_abs
Sales_qoq_growth_lag1,150.53786425076467,standardized_coefficient_abs
Repo_Rate_lag1,150.22638437156203,standardized_coefficient_abs
Operating Profit_qoq_growth,147.00461975582246,standardized_coefficient_abs
Operating Profit_lag1,146.91432601322867,standardized_coefficient_abs
CFF,132.67920948721107,standardized_coefficient_abs
WPI_lag4,117.7849738845053,standardized_coefficient_abs
Operating Profit_roll4_growth,116.95120288155735,standardized_coefficient_abs
Total Liabilities_lag4,114.10894842123659,standardized_coefficient_abs
Net Profit_roll4_growth,114.04599598184528,standardized_coefficient_abs
Operating Profit_yoy_growth,113.89179670080654,standardized_coefficient_abs
Net Profit_qoq_growth,107.26483948937067,standardized_coefficient_abs
Borrowings_yoy_growth,104.11336540016718,standardized_coefficient_abs
Sales_yoy_growth,101.10078944962152,standardized_coefficient_abs
Quarter_Q3,100.08762331637672,standardized_coefficient_abs
Sector_FMCG,90.60029423171092,standardized_coefficient_abs
exchange_rate_lag1,88.11309351719589,standardized_coefficient_abs
Net Profit_yoy_growth,81.20403928080303,standardized_coefficient_abs
Sales_lag4,77.04763744729951,standardized_coefficient_abs
Borrowings_qoq_growth_lag1,65.25538998153549,standardized_coefficient_abs
Expenses,60.29466089639492,standardized_coefficient_abs
Borrowings_roll4_growth,57.37963487771181,standardized_coefficient_abs
exchange_rate_lag4,57.06703629039016,standardized_coefficient_abs
Total Assets_roll4_growth,55.94822096242506,standardized_coefficient_abs
Net Profit_qoq_growth_lag1,50.79234495127919,standardized_coefficient_abs
