feature,importance,kind
CFO,470.0,native_importance
Net Cash Flow,335.0,native_importance
CFF,309.0,native_importance
CFI,273.0,native_importance
Sales_qoq_growth,250.0,native_importance
Net Profit,243.0,native_importance
Equity,218.0,native_importance
Operating Profit,218.0,native_importance
Total Assets_qoq_growth,195.0,native_importance
Borrowings,192.0,native_importance
Operating Profit_qoq_growth,185.0,native_importance
Borrowings_qoq_growth,185.0,native_importance
Net Profit_qoq_growth,185.0,native_importance
CFO_qoq_growth,185.0,native_importance
Net Cash Flow_lag1,167.0,native_importance
Operating Profit_roll4_std,165.0,native_importance
Sales_qoq_growth_lag1,156.0,native_importance
Total Assets,151.0,native_importance
Total Liabilities,147.0,native_importance
CFO_lag1,137.0,native_importance
Total Assets_qoq_growth_lag1,131.0,native_importance
CFF_lag1,130.0,native_importance
Sales_roll4_std,129.0,native_importance
Operating Profit_qoq_growth_lag1,127.0,native_importance
Net Profit_roll4_std,127.0,native_importance
CFO_roll4_std,124.0,native_importance
CFO_qoq_growth_lag1,123.0,native_importance
CFI_lag1,119.0,native_importance
Net Cash Flow_lag2,117.0,native_importance
Total Assets_roll4_std,116.0,native_importance
repo_x_borrowings,116.0,native_importance
Borrowings_qoq_growth_lag1,115.0,native_importance
Borrowings_roll4_std,113.0,native_importance
Net Profit_qoq_growth_lag1,104.0,native_importance
Operating Profit_lag1,101.0,native_importance
Expenses,100.0,native_importance
cpi_infl_x_sales,96.0,native_importance
CFF_lag2,94.0,native_importance
Borrowings_lag1,90.0,native_importance
Net Profit_lag1,89.0,native_importance
repo_x_total_assets,87.0,native_importance
Sales,84.0,native_importance
Equity_lag1,83.0,native_importance
Sales_yoy_growth,80.0,native_importance
Total Liabilities_lag1,79.0,native_importance
CFI_lag2,75.0,native_importance
oil_x_sales,72.0,native_importance
Operating Profit_yoy_growth,68.0,native_importance
Total Assets_yoy_growth,66.0,native_importance
CFO_roll4_growth,61.0,native_importance
Total Assets_lag1,60.0,native_importance
Equity_lag2,60.0,native_importance
Borrowings_yoy_growth,56.0,native_importance
Operating Profit_lag2,54.0,native_importance
CFO_lag2,52.0,native_importance
Net Profit_lag2,51.0,native_importance
Net Cash Flow_lag4,49.0,native_importance
CFO_yoy_growth,49.0,native_importance
CFO_roll4_median,48.0,native_importance
CFO_roll4_mean,47.0,native_importance
Net Profit_yoy_growth,46.0,native_importance
CFF_lag4,45.0,native_importance
Operating Profit_roll4_growth,44.0,native_importance
Total Liabilities_lag2,43.0,native_importance
Expenses_lag1,41.0,native_importance
Borrowings_lag2,41.0,native_importance
Borrowings_roll4_growth,40.0,native_importance
CFI_lag4,39.0,native_importance
Net Profit_roll4_growth,36.0,native_importance
Net Profit_roll4_mean,35.0,native_importance
fx_x_sales,33.0,native_importance
Total Assets_roll4_growth,32.0,native_importance
Net Profit_lag4,31.0,native_importance
Expenses_lag2,31.0,native_importance
Net Profit_roll4_median,31.0,native_importance
Operating Profit_roll4_median,30.0,native_importance
Sales_roll4_growth,28.0,native_importance
Sales_lag1,28.0,native_importance
Sales_lag4,27.0,native_importance
Total Assets_lag2,27.0,native_importance
Operating Profit_roll4_mean,26.0,native_importance
CFO_lag4,26.0,native_importance
Total Liabilities_lag4,26.0,native_importance
Sales_lag2,23.0,native_importance
Total Assets_roll4_mean,22.0,native_importance
Operating Profit_lag4,21.0,native_importance
Borrowings_lag4,21.0,native_importance
Borrowings_roll4_median,20.0,native_importance
Expenses_lag4,20.0,native_importance
Total Assets_roll4_median,18.0,native_importance
Borrowings_roll4_mean,17.0,native_importance
Equity_lag4,17.0,native_importance
Sales_roll4_median,16.0,native_importance
Sales_roll4_mean,15.0,native_importance
Sector_Banking,11.0,native_importance
Repo_Rate_lag1,9.0,native_importance
oil_price_lag1,9.0,native_importance
CPI_Combined_Index,9.0,native_importance
CPI_Inflation_Rate,8.0,native_importance
Total Assets_lag4,8.0,native_importance
Repo_Rate,7.0,native_importance
CPI_Inflation_Rate_lag1,6.0,native_importance
Reverse_Repo_Rate,5.0,native_importance
Sector_Auto,5.0,native_importance
oil_price,4.0,native_importance
exchange_rate_lag1,3.0,native_importance
exchange_rate,3.0,native_importance
Quarter_Q2,2.0,native_importance
CPI_Combined_Index_lag1,2.0,native_importance
CPI_Inflation_Rate_lag4,2.0,native_importance
Sector_Tech,2.0,native_importance
Reverse_Repo_Rate_lag1,1.0,native_importance
CPI_Combined_Index_lag4,0.0,native_importance
Quarter_Q1,0.0,native_importance
WPI,0.0,native_importance
Quarter_Q3,0.0,native_importance
Quarter_Q4,0.0,native_importance
Reverse_Repo_Rate_lag4,0.0,native_importance
Repo_Rate_lag4,0.0,native_importance
WPI_lag1,0.0,native_importance
WPI_lag4,0.0,native_importance
exchange_rate_lag4,0.0,native_importance
oil_price_lag4,0.0,native_importance
Sector_Energy,0.0,native_importance
Sector_FMCG,0.0,native_importance
