feature,importance,kind
Sales_lag1,642813838.70991,standardized_coefficient_abs
Sales_lag2,627381249.9300519,standardized_coefficient_abs
Expenses_lag1,576795941.2090197,standardized_coefficient_abs
Expenses_lag2,565000165.0696582,standardized_coefficient_abs
Sales,412402713.51331896,standardized_coefficient_abs
Expenses,369070400.14366037,standardized_coefficient_abs
Sales_lag4,343561513.0666313,standardized_coefficient_abs
Expenses_lag4,311768107.0448128,standardized_coefficient_abs
CFO,223523062.1092365,standardized_coefficient_abs
CFO_lag2,213806312.49215207,standardized_coefficient_abs
CFO_lag4,186428787.59192324,standardized_coefficient_abs
CFO_lag1,176352596.28454792,standardized_coefficient_abs
CFI,128526114.16167781,standardized_coefficient_abs
CFI_lag2,121799075.15777288,standardized_coefficient_abs
CFI_lag4,106115340.17316774,standardized_coefficient_abs
CFI_lag1,101162870.44182241,standardized_coefficient_abs
Operating Profit_lag1,84862416.80078773,standardized_coefficient_abs
Operating Profit_lag2,81657408.86482291,standardized_coefficient_abs
Net Cash Flow,64047930.523239076,standardized_coefficient_abs
Net Cash Flow_lag2,61343081.868172646,standardized_coefficient_abs
Operating Profit,55250461.99624005,standardized_coefficient_abs
Net Cash Flow_lag4,52202978.701527,standardized_coefficient_abs
CFF,50514105.124679536,standardized_coefficient_abs
Net Cash Flow_lag1,50445497.43266077,standardized_coefficient_abs
CFF_lag2,48476246.21141492,standardized_coefficient_abs
Operating Profit_lag4,43469351.63087666,standardized_coefficient_abs
CFF_lag4,42009131.18761045,standardized_coefficient_abs
CFF_lag1,39903974.723865956,standardized_coefficient_abs
oil_price_lag1,1381358.0315375328,standardized_coefficient_abs
Quarter_Q2,1000722.6287269648,standardized_coefficient_abs
oil_price,836564.822936222,standardized_coefficient_abs
Quarter_Q4,709667.1809978448,standardized_coefficient_abs
exchange_rate,484159.4603786245,standardized_coefficient_abs
fx_x_sales,398781.8118598908,standardized_coefficient_abs
oil_price_lag4,388134.4596352875,standardized_coefficient_abs
Reverse_Repo_Rate_lag4,380337.39590349793,standardized_coefficient_abs
Repo_Rate_lag4,369982.10716694593,standardized_coefficient_abs
exchange_rate_lag4,357616.16063877195,standardized_coefficient_abs
WPI_lag1,356512.3455873132,standardized_coefficient_abs
exchange_rate_lag1,328982.3939243108,standardized_coefficient_abs
Reverse_Repo_Rate,283019.98869657144,standardized_coefficient_abs
CPI_Inflation_Rate,281496.4520933889,standardized_coefficient_abs
CPI_Combined_Index_lag1,273552.5579652414,standardized_coefficient_abs
CPI_Inflation_Rate_lag1,264257.5901933722,standardized_coefficient_abs
