feature,importance,kind
CFI,7442.24798175582,standardized_coefficient_abs
CFO,6063.254349948232,standardized_coefficient_abs
Borrowings_roll4_mean,4340.694908143792,standardized_coefficient_abs
Net Cash Flow,4013.6666128561674,standardized_coefficient_abs
Sales_roll4_mean,3402.955894663134,standardized_coefficient_abs
Borrowings_roll4_median,3157.6472313118084,standardized_coefficient_abs
Expenses_lag2,3153.7943487028374,standardized_coefficient_abs
CFF,2802.282820206173,standardized_coefficient_abs
Sales_roll4_median,2769.865389828215,standardized_coefficient_abs
Sales_lag2,2714.9752655343877,standardized_coefficient_abs
Operating Profit_roll4_median,2314.5537397279236,standardized_coefficient_abs
repo_x_total_assets,2023.5753221680634,standardized_coefficient_abs
Operating Profit_roll4_mean,1684.1053832278687,standardized_coefficient_abs
Total Assets_lag2,1645.4542263636706,standardized_coefficient_abs
Equity_lag1,1638.9553675327938,standardized_coefficient_abs
Net Profit_roll4_median,1566.5496378347523,standardized_coefficient_abs
cpi_infl_x_sales,1560.206603424877,standardized_coefficient_abs
Net Profit_lag2,1448.3310039855603,standardized_coefficient_abs
Net Profit_roll4_mean,1289.5241913529576,standardized_coefficient_abs
Total Assets_lag1,1264.82604578219,standardized_coefficient_abs
Total Liabilities_lag2,1207.6280649030164,standardized_coefficient_abs
Equity_lag2,1173.5813298931578,standardized_coefficient_abs
Operating Profit_lag4,1058.7373644759352,standardized_coefficient_abs
Operating Profit_lag1,971.1657648009968,standardized_coefficient_abs
Operating Profit_lag2,969.3207869700133,standardized_coefficient_abs
CFF_lag2,937.461431382466,standardized_coefficient_abs
repo_x_borrowings,909.7136586062251,standardized_coefficient_abs
CFI_lag1,888.2879214273954,standardized_coefficient_abs
CFI_lag2,874.1848676737143,standardized_coefficient_abs
Borrowings_lag2,864.6481182593085,standardized_coefficient_abs
Total Assets_roll4_mean,845.6025685432212,standardized_coefficient_abs
Total Assets_roll4_median,772.7128450898789,standardized_coefficient_abs
Total Liabilities_lag1,751.3155557529989,standardized_coefficient_abs
Borrowings,712.5819270907743,standardized_coefficient_abs
Equity,680.931735393539,standardized_coefficient_abs
CFO_roll4_median,665.4039567143894,standardized_coefficient_abs
oil_x_sales,664.1181016597429,standardized_coefficient_abs
Net Profit_lag4,611.3539804613371,standardized_coefficient_abs
Equity_lag4,537.9523303226321,standardized_coefficient_abs
CFF_lag1,535.1346318346414,standardized_coefficient_abs
Net Profit_lag1,527.8626472578273,standardized_coefficient_abs
CFI_lag4,520.9176996291601,standardized_coefficient_abs
Borrowings_lag4,512.7152586141466,standardized_coefficient_abs
Borrowings_lag1,461.05431516604835,standardized_coefficient_abs
Sector_Energy,423.66734339072025,standardized_coefficient_abs
Net Profit,410.3111741054616,standardized_coefficient_abs
Sector_Banking,397.4575184468066,standardized_coefficient_abs
CFO_lag2,370.6969231329198,standardized_coefficient_abs
fx_x_sales,323.89626384760925,standardized_coefficient_abs
Borrowings_roll4_std,322.81861935224043,standardized_coefficient_abs
CFO_lag1,303.9046361980804,standardized_coefficient_abs
CFO_lag4,303.0425680732184,standardized_coefficient_abs
Net Cash Flow_lag1,293.66399159857315,standardized_coefficient_abs
Net Cash Flow_lag2,291.09203690244095,standardized_coefficient_abs
Total Liabilities_lag4,286.210763016971,standardized_coefficient_abs
CFO_roll4_mean,275.38810055573884,standardized_coefficient_abs
Expenses_lag1,269.9510805450569,standardized_coefficient_abs
CFO_roll4_growth,246.95262540265932,standardized_coefficient_abs
CFO_qoq_growth,242.4391584882594,standardized_coefficient_abs
Total Assets_roll4_std,230.87145124060382,standardized_coefficient_abs
CFF_lag4,224.92097350260244,standardized_coefficient_abs
Operating Profit,215.60072818284786,standardized_coefficient_abs
Net Cash Flow_lag4,203.23972418382732,standardized_coefficient_abs
CFO_roll4_std,200.1300386967738,standardized_coefficient_abs
Net Profit_roll4_std,196.06250775792972,standardized_coefficient_abs
Operating Profit_roll4_std,180.46552397382968,standardized_coefficient_abs
Sales_qoq_growth,172.00487622274093,standardized_coefficient_abs
Sector_Auto,150.23888547732557,standardized_coefficient_abs
Sales_lag4,134.4872902549387,standardized_coefficient_abs
Sector_FMCG,129.77396788874648,standardized_coefficient_abs
Borrowings_yoy_growth,127.22328019606596,standardized_coefficient_abs
Operating Profit_qoq_growth,125.99794648793701,standardized_coefficient_abs
Sales_lag1,113.63933145970498,standardized_coefficient_abs
Net Profit_roll4_growth,103.52784770545858,standardized_coefficient_abs
Operating Profit_roll4_growth,99.2833199189007,standardized_coefficient_abs
Net Profit_qoq_growth,97.43912185139473,standardized_coefficient_abs
Total Liabilities,88.61832680634812,standardized_coefficient_abs
Borrowings_qoq_growth_lag1,82.1775706683832,standardized_coefficient_abs
Operating Profit_yoy_growth,69.00121927356324,standardized_coefficient_abs
Total Assets,67.87981857550189,standardized_coefficient_abs
Operating Profit_qoq_growth_lag1,65.85267609210833,standardized_coefficient_abs
Net Profit_yoy_growth,64.839733378651,standardized_coefficient_abs
oil_price_lag1,57.231534638470144,standardized_coefficient_abs
Borrowings_roll4_growth,56.45106566047908,standardized_coefficient_abs
Total Assets_roll4_growth,50.20971470355668,standardized_coefficient_abs
Total Assets_yoy_growth,47.621809439570846,standardized_coefficient_abs
Total Assets_qoq_growth,47.493958590919405,standardized_coefficient_abs
Sector_Tech,46.67474248866236,standardized_coefficient_abs
CFO_yoy_growth,43.31859243401833,standardized_coefficient_abs
Sales_qoq_growth_lag1,43.11049913615102,standardized_coefficient_abs
Quarter_Q4,41.62821903056738,standardized_coefficient_abs
Sales,37.57924093166667,standardized_coefficient_abs
Sales_roll4_growth,36.32027818721523,standardized_coefficient_abs
Quarter_Q1,34.90651527468962,standardized_coefficient_abs
Sales_yoy_growth,31.33174347744934,standardized_coefficient_abs
Total Assets_lag4,26.86505140840234,standardized_coefficient_abs
Net Profit_qoq_growth_lag1,25.734291177088263,standardized_coefficient_abs
