feature,importance,kind
Net Profit,0.9569488406645137,native_importance
Operating Profit,0.0019021543192228219,native_importance
Total Liabilities,0.0016270734794623942,native_importance
Borrowings_lag1,0.0013695019196391805,native_importance
Net Cash Flow,0.0012052184421684803,native_importance
Sales_qoq_growth,0.0011380450277106533,native_importance
CFF,0.0010770499700141695,native_importance
Expenses,0.0010413411247131733,native_importance
Total Liabilities_lag4,0.0010398496868685827,native_importance
Net Profit_lag4,0.0009848999487231508,native_importance
CFO_qoq_growth_lag1,0.0009562294373252476,native_importance
Sales_roll4_median,0.0008702634026483153,native_importance
oil_x_sales,0.0008658675999011575,native_importance
CFO,0.0008602833955555002,native_importance
Operating Profit_qoq_growth_lag1,0.0008391512421674617,native_importance
Total Assets_qoq_growth,0.0008349827412885136,native_importance
CFI,0.0007978750208745229,native_importance
CFO_roll4_std,0.0007811764554624361,native_importance
Net Profit_lag2,0.0007802820082027594,native_importance
Total Liabilities_lag1,0.0007417853335288973,native_importance
CFO_qoq_growth,0.0006982083177060643,native_importance
Net Profit_qoq_growth,0.0006719264031121825,native_importance
repo_x_borrowings,0.0006587782431592094,native_importance
Total Assets_roll4_mean,0.0006477916009240815,native_importance
Borrowings_qoq_growth_lag1,0.0006349857383507445,native_importance
Total Assets_qoq_growth_lag1,0.000632123107854469,native_importance
Sales_lag2,0.0005777766673832315,native_importance
Net Cash Flow_lag2,0.0005686964980657018,native_importance
Operating Profit_qoq_growth,0.000559744153808265,native_importance
Sales,0.0005363737901302587,native_importance
Borrowings_roll4_std,0.0005315405632356912,native_importance
Sector_Auto,0.0005135386020609634,native_importance
Equity,0.0004996456883935843,native_importance
Operating Profit_lag2,0.0004930554539239501,native_importance
Expenses_lag2,0.0004886137810218585,native_importance
Net Profit_lag1,0.00048644218186268015,native_importance
CFI_lag1,0.0004791939004244998,native_importance
cpi_infl_x_sales,0.0004782307518686143,native_importance
Equity_lag2,0.0004569178428652884,native_importance
Operating Profit_lag1,0.00045097952620737065,native_importance
Borrowings_qoq_growth,0.00044501438195987175,native_importance
CFI_lag4,0.00042806086644695413,native_importance
Net Profit_roll4_std,0.00041993059485533345,native_importance
Expenses_lag1,0.0004150905412833389,native_importance
Net Cash Flow_lag1,0.0004127204726093948,native_importance
oil_price,0.000388871414363881,native_importance
Operating Profit_roll4_median,0.00038388373240667487,native_importance
Sales_lag1,0.00037678295882305176,native_importance
Net Profit_yoy_growth,0.00037029000076687236,native_importance
CFF_lag1,0.000369764093678346,native_importance
Total Assets,0.00036093544345332565,native_importance
Operating Profit_yoy_growth,0.0003574007724281047,native_importance
CFO_roll4_median,0.0003503139518568047,native_importance
Borrowings_lag4,0.0003210283818202193,native_importance
Operating Profit_lag4,0.0003179355070955183,native_importance
oil_price_lag1,0.00030229234323264577,native_importance
Net Profit_qoq_growth_lag1,0.0002973998607371708,native_importance
Net Profit_roll4_median,0.0002865998970923722,native_importance
Borrowings_yoy_growth,0.0002828105815132842,native_importance
Expenses_lag4,0.00027106364594295395,native_importance
Sales_roll4_std,0.00026627694973976304,native_importance
Total Assets_roll4_std,0.00026249020389898324,native_importance
Borrowings,0.00025253662539101825,native_importance
Reverse_Repo_Rate,0.0002391814508112502,native_importance
Equity_lag1,0.00023242101259063938,native_importance
Borrowings_roll4_growth,0.0002159423214956441,native_importance
fx_x_sales,0.0002081580907230654,native_importance
repo_x_total_assets,0.0002017805142795963,native_importance
CFO_lag2,0.00019971686216513018,native_importance
CFO_lag1,0.00018047065502651316,native_importance
Sales_qoq_growth_lag1,0.00017867766034801045,native_importance
Net Profit_roll4_mean,0.00017223024312068395,native_importance
CFI_lag2,0.00016854455044722496,native_importance
Total Assets_roll4_growth,0.00015048075094650318,native_importance
CFO_roll4_mean,0.00013812171394455983,native_importance
Borrowings_lag2,0.0001358536494038817,native_importance
