feature,importance,kind
Net Profit,5395.179833297233,standardized_coefficient_abs
Operating Profit,1899.9701660225358,standardized_coefficient_abs
Net Profit_lag1,922.6979985214379,standardized_coefficient_abs
Operating Profit_lag1,797.1809698364492,standardized_coefficient_abs
Net Profit_roll4_median,437.7675952955867,standardized_coefficient_abs
Operating Profit_lag2,338.54492939133326,standardized_coefficient_abs
Net Profit_roll4_mean,324.07416468289864,standardized_coefficient_abs
CFO_roll4_mean,314.61663558021127,standardized_coefficient_abs
cpi_infl_x_sales,278.4084198170908,standardized_coefficient_abs
Equity_lag4,273.5899068781195,standardized_coefficient_abs
Net Profit_qoq_growth,265.08735328699044,standardized_coefficient_abs
Sector_Banking,258.1992402096606,standardized_coefficient_abs
Operating Profit_qoq_growth,255.69493792618005,standardized_coefficient_abs
CFF_lag1,254.4840420617449,standardized_coefficient_abs
Equity_lag2,249.28734804320678,standardized_coefficient_abs
Net Profit_lag2,246.9275958750347,standardized_coefficient_abs
Sales,235.342357971403,standardized_coefficient_abs
fx_x_sales,228.95622158770485,standardized_coefficient_abs
Sector_Auto,225.05103776945123,standardized_coefficient_abs
oil_x_sales,218.8272152922956,standardized_coefficient_abs
Sales_lag1,216.71959757742061,standardized_coefficient_abs
CFI,212.43581255008752,standardized_coefficient_abs
Borrowings_lag1,198.94334542323864,standardized_coefficient_abs
Borrowings_lag4,184.7811649942012,standardized_coefficient_abs
CFF_lag2,173.88121521106092,standardized_coefficient_abs
Net Profit_lag4,171.26703630176166,standardized_coefficient_abs
CFI_lag2,167.9624857658782,standardized_coefficient_abs
Sales_qoq_growth,160.6198709884346,standardized_coefficient_abs
Total Liabilities_lag1,158.8667287306688,standardized_coefficient_abs
Borrowings_lag2,151.0332203317019,standardized_coefficient_abs
CFF,143.4181875042165,standardized_coefficient_abs
CFI_lag1,140.21963911029238,standardized_coefficient_abs
Operating Profit_qoq_growth_lag1,136.63234779260384,standardized_coefficient_abs
Operating Profit_roll4_growth,134.86089794941313,standardized_coefficient_abs
Operating Profit_roll4_median,134.20366738886062,standardized_coefficient_abs
Net Cash Flow_lag1,132.43877512961072,standardized_coefficient_abs
CFO_lag2,129.43826688227745,standardized_coefficient_abs
Sales_roll4_mean,129.35202950233798,standardized_coefficient_abs
Sales_lag2,125.5309136688467,standardized_coefficient_abs
Expenses_lag1,124.86389980431954,standardized_coefficient_abs
Net Profit_roll4_growth,124.42158949783645,standardized_coefficient_abs
Total Liabilities,121.1415991938709,standardized_coefficient_abs
Sales_roll4_std,115.75279642585343,standardized_coefficient_abs
Total Assets_roll4_std,110.73601285009998,standardized_coefficient_abs
Total Liabilities_lag4,108.47527671918364,standardized_coefficient_abs
Sector_Energy,93.75797239035576,standardized_coefficient_abs
Borrowings,92.57526976511153,standardized_coefficient_abs
