feature,importance,kind
Net Profit,6875.676594376754,standardized_coefficient_abs
Sales_roll4_mean,6491.352222663551,standardized_coefficient_abs
Sales,6089.412381547238,standardized_coefficient_abs
Sales_lag1,3286.199077112119,standardized_coefficient_abs
fx_x_sales,3037.2986494238803,standardized_coefficient_abs
Sales_lag2,2922.870940620734,standardized_coefficient_abs
Expenses_lag1,2874.7630713026538,standardized_coefficient_abs
Expenses_lag2,2417.854379217488,standardized_coefficient_abs
oil_x_sales,1871.3996422985172,standardized_coefficient_abs
CFO_roll4_mean,1518.7916875203175,standardized_coefficient_abs
Net Profit_roll4_mean,1341.1235729333002,standardized_coefficient_abs
Total Assets,1298.2924249178627,standardized_coefficient_abs
Net Profit_lag1,1166.1413843096916,standardized_coefficient_abs
Borrowings,1165.4355921446004,standardized_coefficient_abs
Borrowings_roll4_median,1141.0624175440714,standardized_coefficient_abs
repo_x_borrowings,1110.421680729262,standardized_coefficient_abs
Operating Profit_lag1,1064.5664847847847,standardized_coefficient_abs
Sales_roll4_median,1016.2889171959147,standardized_coefficient_abs
Operating Profit,998.2600470626336,standardized_coefficient_abs
CFO_roll4_median,940.8280782230321,standardized_coefficient_abs
Total Assets_lag1,906.4641797582589,standardized_coefficient_abs
Operating Profit_roll4_mean,861.464635722277,standardized_coefficient_abs
Net Profit_roll4_median,829.8948889006515,standardized_coefficient_abs
Operating Profit_roll4_median,770.4432680125434,standardized_coefficient_abs
Borrowings_roll4_mean,682.9685393219455,standardized_coefficient_abs
Net Profit_lag2,573.2226911429642,standardized_coefficient_abs
Operating Profit_lag2,547.4772090800938,standardized_coefficient_abs
CPI_Combined_Index_lag1,541.3545435618735,standardized_coefficient_abs
cpi_infl_x_sales,528.8405032015406,standardized_coefficient_abs
Total Assets_roll4_median,524.581533398746,standardized_coefficient_abs
CPI_Combined_Index,499.0634834313257,standardized_coefficient_abs
CFF_lag1,498.69660104188836,standardized_coefficient_abs
Total Liabilities,482.28048976775267,standardized_coefficient_abs
Borrowings_lag1,468.6986089272827,standardized_coefficient_abs
Borrowings_lag2,453.17195864837345,standardized_coefficient_abs
Equity_lag4,436.1123506631465,standardized_coefficient_abs
Equity_lag1,413.90106594851045,standardized_coefficient_abs
Equity,402.261835180449,standardized_coefficient_abs
repo_x_total_assets,393.7181487920719,standardized_coefficient_abs
Equity_lag2,364.3644648261432,standardized_coefficient_abs
CFF,310.8917669483121,standardized_coefficient_abs
Total Assets_roll4_mean,290.79042893821816,standardized_coefficient_abs
CPI_Inflation_Rate_lag1,280.82524069482594,standardized_coefficient_abs
CFO_lag1,279.7813111800562,standardized_coefficient_abs
CFO_lag2,259.41286270949496,standardized_coefficient_abs
Operating Profit_lag4,250.06697136055305,standardized_coefficient_abs
CFF_lag2,235.86269651960285,standardized_coefficient_abs
CPI_Inflation_Rate,231.83897066991622,standardized_coefficient_abs
Sector_Banking,225.1560722855299,standardized_coefficient_abs
Total Assets_lag4,201.92577814886158,standardized_coefficient_abs
Sector_Auto,197.41677476410877,standardized_coefficient_abs
CFI,195.0678787092083,standardized_coefficient_abs
Operating Profit_qoq_growth,172.43520524272313,standardized_coefficient_abs
Borrowings_lag4,161.53090140508607,standardized_coefficient_abs
Net Profit_yoy_growth,157.53965963516166,standardized_coefficient_abs
Sales_qoq_growth,153.39759207340092,standardized_coefficient_abs
Quarter_Q2,153.3942626239602,standardized_coefficient_abs
oil_price,143.62456534238393,standardized_coefficient_abs
CFI_lag2,139.1650178095366,standardized_coefficient_abs
Total Assets_roll4_std,137.64142132970247,standardized_coefficient_abs
Operating Profit_roll4_growth,135.8059431460823,standardized_coefficient_abs
