feature,importance,kind
Net Profit,481.0,native_importance
Operating Profit,294.0,native_importance
CFF,285.0,native_importance
Net Cash Flow,260.0,native_importance
Sales_qoq_growth,235.0,native_importance
Total Assets_qoq_growth,234.0,native_importance
Net Profit_qoq_growth,224.0,native_importance
Borrowings_qoq_growth,217.0,native_importance
Operating Profit_qoq_growth,202.0,native_importance
CFI,202.0,native_importance
CFO_qoq_growth,194.0,native_importance
Operating Profit_roll4_std,188.0,native_importance
Total Assets_qoq_growth_lag1,181.0,native_importance
CFO,177.0,native_importance
Equity,173.0,native_importance
Net Cash Flow_lag1,166.0,native_importance
Sales_qoq_growth_lag1,160.0,native_importance
CFO_qoq_growth_lag1,156.0,native_importance
Operating Profit_qoq_growth_lag1,156.0,native_importance
cpi_infl_x_sales,149.0,native_importance
Sales_roll4_std,147.0,native_importance
Net Profit_roll4_std,146.0,native_importance
Borrowings_qoq_growth_lag1,144.0,native_importance
Total Liabilities,142.0,native_importance
CFO_roll4_std,123.0,native_importance
Borrowings,118.0,native_importance
Expenses,117.0,native_importance
Total Assets_roll4_std,115.0,native_importance
Borrowings_roll4_std,115.0,native_importance
Net Profit_qoq_growth_lag1,112.0,native_importance
CFI_lag1,110.0,native_importance
CFF_lag1,109.0,native_importance
Net Profit_lag1,109.0,native_importance
Net Cash Flow_lag2,105.0,native_importance
Net Profit_yoy_growth,100.0,native_importance
Operating Profit_lag1,96.0,native_importance
oil_x_sales,91.0,native_importance
Total Assets,86.0,native_importance
Sales,81.0,native_importance
Equity_lag1,81.0,native_importance
CFO_yoy_growth,79.0,native_importance
Net Profit_lag2,78.0,native_importance
Borrowings_yoy_growth,75.0,native_importance
repo_x_borrowings,72.0,native_importance
CFF_lag2,71.0,native_importance
Borrowings_lag1,66.0,native_importance
CFO_lag1,66.0,native_importance
Total Assets_yoy_growth,66.0,native_importance
repo_x_total_assets,66.0,native_importance
Operating Profit_yoy_growth,61.0,native_importance
Borrowings_roll4_growth,60.0,native_importance
CFI_lag2,59.0,native_importance
Sales_lag1,59.0,native_importance
Equity_lag2,56.0,native_importance
Sales_yoy_growth,56.0,native_importance
CFO_roll4_growth,55.0,native_importance
Expenses_lag2,55.0,native_importance
Net Profit_roll4_median,52.0,native_importance
Total Liabilities_lag1,50.0,native_importance
Sales_lag2,50.0,native_importance
Net Profit_roll4_growth,49.0,native_importance
Net Cash Flow_lag4,48.0,native_importance
CFF_lag4,46.0,native_importance
Operating Profit_lag2,44.0,native_importance
Expenses_lag1,41.0,native_importance
Net Profit_roll4_mean,38.0,native_importance
Total Assets_lag1,38.0,native_importance
Operating Profit_lag4,37.0,native_importance
Sales_roll4_growth,36.0,native_importance
Borrowings_lag2,36.0,native_importance
Total Liabilities_lag2,35.0,native_importance
Operating Profit_roll4_mean,35.0,native_importance
Operating Profit_roll4_growth,33.0,native_importance
Total Assets_lag2,33.0,native_importance
fx_x_sales,32.0,native_importance
Total Assets_roll4_growth,32.0,native_importance
CFO_lag2,31.0,native_importance
Borrowings_roll4_mean,30.0,native_importance
Equity_lag4,28.0,native_importance
Borrowings_lag4,27.0,native_importance
Expenses_lag4,27.0,native_importance
Sales_roll4_median,27.0,native_importance
Total Assets_lag4,26.0,native_importance
CFI_lag4,25.0,native_importance
Net Profit_lag4,25.0,native_importance
Sales_roll4_mean,25.0,native_importance
Borrowings_roll4_median,24.0,native_importance
Operating Profit_roll4_median,22.0,native_importance
Sector_Tech,19.0,native_importance
CFO_lag4,19.0,native_importance
CFO_roll4_mean,18.0,native_importance
Sales_lag4,18.0,native_importance
Total Assets_roll4_mean,18.0,native_importance
CFO_roll4_median,18.0,native_importance
Total Assets_roll4_median,15.0,native_importance
oil_price_lag1,14.0,native_importance
CPI_Combined_Index,14.0,native_importance
Total Liabilities_lag4,14.0,native_importance
Reverse_Repo_Rate,11.0,native_importance
CPI_Inflation_Rate,9.0,native_importance
Repo_Rate,9.0,native_importance
Repo_Rate_lag1,8.0,native_importance
Sector_Banking,7.0,native_importance
Sector_Auto,5.0,native_importance
CPI_Inflation_Rate_lag1,5.0,native_importance
CPI_Inflation_Rate_lag4,4.0,native_importance
exchange_rate_lag1,3.0,native_importance
oil_price,2.0,native_importance
CPI_Combined_Index_lag1,2.0,native_importance
Quarter_Q2,2.0,native_importance
exchange_rate,1.0,native_importance
Sector_Energy,1.0,native_importance
Reverse_Repo_Rate_lag1,1.0,native_importance
Quarter_Q1,0.0,native_importance
WPI,0.0,native_importance
Quarter_Q3,0.0,native_importance
Quarter_Q4,0.0,native_importance
CPI_Combined_Index_lag4,0.0,native_importance
Repo_Rate_lag4,0.0,native_importance
Reverse_Repo_Rate_lag4,0.0,native_importance
WPI_lag4,0.0,native_importance
exchange_rate_lag4,0.0,native_importance
oil_price_lag4,0.0,native_importance
WPI_lag1,0.0,native_importance
Sector_FMCG,0.0,native_importance
