feature,importance,kind
Sales,317713338.13128227,standardized_coefficient_abs
Expenses,284227105.39601105,standardized_coefficient_abs
Sales_lag4,245860501.20554367,standardized_coefficient_abs
Expenses_lag4,223105999.02888325,standardized_coefficient_abs
CFO,193253447.1317529,standardized_coefficient_abs
Sales_lag2,178066540.26664236,standardized_coefficient_abs
Expenses_lag2,160352753.75468946,standardized_coefficient_abs
CFO_lag4,120590287.96156749,standardized_coefficient_abs
CFI,111130341.17992797,standardized_coefficient_abs
CFI_lag4,68640381.61438218,standardized_coefficient_abs
CFO_lag1,55570813.26695822,standardized_coefficient_abs
Net Cash Flow,55379664.45437553,standardized_coefficient_abs
CFF,43677364.90615164,standardized_coefficient_abs
Operating Profit,42550478.05620454,standardized_coefficient_abs
Sales_lag1,37258828.15263394,standardized_coefficient_abs
Net Cash Flow_lag4,33767331.24085346,standardized_coefficient_abs
Expenses_lag1,33433620.698088866,standardized_coefficient_abs
CFI_lag1,31877835.737122692,standardized_coefficient_abs
Operating Profit_lag4,31108264.204994574,standardized_coefficient_abs
CFF_lag4,27173278.87383239,standardized_coefficient_abs
Operating Profit_lag2,23175712.31494096,standardized_coefficient_abs
Net Cash Flow_lag1,15895845.035547733,standardized_coefficient_abs
CFF_lag1,12574466.571315736,standardized_coefficient_abs
CFO_lag2,11076310.347870898,standardized_coefficient_abs
CFI_lag2,6309596.591152351,standardized_coefficient_abs
Operating Profit_lag1,4920552.905031776,standardized_coefficient_abs
Net Cash Flow_lag2,3177849.845652491,standardized_coefficient_abs
CFF_lag2,2510972.363958407,standardized_coefficient_abs
oil_price_lag1,2168968.575761616,standardized_coefficient_abs
Quarter_Q4,1496435.1985810027,standardized_coefficient_abs
exchange_rate,1365499.718089154,standardized_coefficient_abs
CPI_Combined_Index_lag1,1328532.2475003973,standardized_coefficient_abs
WPI_lag1,1253428.699222181,standardized_coefficient_abs
exchange_rate_lag4,1112076.5449566394,standardized_coefficient_abs
oil_price_lag4,1076041.3545958996,standardized_coefficient_abs
CPI_Inflation_Rate,1026550.64745594,standardized_coefficient_abs
Quarter_Q1,1025005.3696096875,standardized_coefficient_abs
CPI_Combined_Index,976750.6221283823,standardized_coefficient_abs
Quarter_Q2,939628.9343120232,standardized_coefficient_abs
WPI,867052.4700805135,standardized_coefficient_abs
CPI_Inflation_Rate_lag1,819836.0177466422,standardized_coefficient_abs
Quarter_Q3,805500.9373397958,standardized_coefficient_abs
exchange_rate_lag1,714879.5480912756,standardized_coefficient_abs
Reverse_Repo_Rate_lag4,624954.4000725374,standardized_coefficient_abs
Repo_Rate_lag4,549821.9969262183,standardized_coefficient_abs
Reverse_Repo_Rate_lag1,427400.68683477864,standardized_coefficient_abs
Reverse_Repo_Rate,272663.10921994224,standardized_coefficient_abs
oil_price,207669.5515624974,standardized_coefficient_abs
fx_x_sales,175278.19601801038,standardized_coefficient_abs
WPI_lag4,108974.47863760404,standardized_coefficient_abs
Repo_Rate_lag1,98649.79172800854,standardized_coefficient_abs
CPI_Inflation_Rate_lag4,84163.52357440442,standardized_coefficient_abs
CPI_Combined_Index_lag4,63025.2803722471,standardized_coefficient_abs
oil_x_sales,29091.04713563621,standardized_coefficient_abs
Sales_roll4_mean,9117.810312699527,standardized_coefficient_abs
Repo_Rate,7534.299630437046,standardized_coefficient_abs
Borrowings,6909.300132133067,standardized_coefficient_abs
Net Profit,6879.8058274537325,standardized_coefficient_abs
repo_x_borrowings,6869.533944807947,standardized_coefficient_abs
cpi_infl_x_sales,6229.30942030251,standardized_coefficient_abs
repo_x_total_assets,6203.398764383048,standardized_coefficient_abs
Total Assets,5381.353230334818,standardized_coefficient_abs
Sales_roll4_median,3254.470283821225,standardized_coefficient_abs
CFO_roll4_mean,1523.9005715362728,standardized_coefficient_abs
Net Profit_roll4_mean,1426.6816961467266,standardized_coefficient_abs
Borrowings_roll4_median,1392.3426461666822,standardized_coefficient_abs
Net Profit_lag1,1174.4712983481586,standardized_coefficient_abs
Borrowings_roll4_mean,975.5246460139751,standardized_coefficient_abs
Operating Profit_roll4_mean,951.093307454139,standardized_coefficient_abs
CFO_roll4_median,897.5137654393911,standardized_coefficient_abs
Total Assets_lag1,880.9905980527401,standardized_coefficient_abs
Total Assets_roll4_median,872.4978749155998,standardized_coefficient_abs
Net Profit_roll4_median,872.2822552099824,standardized_coefficient_abs
Total Assets_roll4_mean,704.7427175082266,standardized_coefficient_abs
Operating Profit_roll4_median,666.1005553044379,standardized_coefficient_abs
Net Profit_lag2,532.3592012450099,standardized_coefficient_abs
Borrowings_lag1,492.1418500840664,standardized_coefficient_abs
Equity_lag4,448.3793594390154,standardized_coefficient_abs
Total Liabilities,408.7155636176467,standardized_coefficient_abs
Equity_lag1,383.79574105143547,standardized_coefficient_abs
Borrowings_lag2,379.6804573312402,standardized_coefficient_abs
Equity,375.7665367797017,standardized_coefficient_abs
Equity_lag2,356.4694421328604,standardized_coefficient_abs
Sector_Banking,227.09240955859423,standardized_coefficient_abs
Sector_Auto,204.8755893195048,standardized_coefficient_abs
Total Assets_lag4,179.54657315835357,standardized_coefficient_abs
Operating Profit_qoq_growth,174.31810292974114,standardized_coefficient_abs
Net Profit_yoy_growth,153.0462557822466,standardized_coefficient_abs
Borrowings_lag4,144.1827394068241,standardized_coefficient_abs
Operating Profit_roll4_growth,135.74637153744698,standardized_coefficient_abs
Total Assets_roll4_std,131.58098251000047,standardized_coefficient_abs
Sales_qoq_growth,131.3570161908865,standardized_coefficient_abs
Net Profit_roll4_growth,113.57205474376678,standardized_coefficient_abs
Sector_Energy,101.2638511955738,standardized_coefficient_abs
