feature,importance,kind
Net Profit,6760.736953879373,standardized_coefficient_abs
Sales_roll4_mean,1771.110728444185,standardized_coefficient_abs
Operating Profit_lag1,1364.062200674719,standardized_coefficient_abs
Expenses_lag2,1297.074656417289,standardized_coefficient_abs
Sales_lag2,1221.4988814939684,standardized_coefficient_abs
CFO_roll4_mean,1168.7273837529679,standardized_coefficient_abs
Operating Profit,1096.7101249771024,standardized_coefficient_abs
Net Profit_lag1,1046.9799388858964,standardized_coefficient_abs
Sales_roll4_median,811.0390147238769,standardized_coefficient_abs
Operating Profit_roll4_median,745.313553260453,standardized_coefficient_abs
Borrowings_roll4_median,689.7093943094924,standardized_coefficient_abs
Net Profit_lag2,671.6390838347197,standardized_coefficient_abs
Net Profit_roll4_mean,667.7173479226733,standardized_coefficient_abs
Operating Profit_roll4_mean,615.1895458289121,standardized_coefficient_abs
CFO_roll4_median,603.9750666286541,standardized_coefficient_abs
Net Profit_roll4_median,565.5853914357795,standardized_coefficient_abs
Total Assets_lag1,496.3807824027497,standardized_coefficient_abs
Borrowings_lag1,450.7238092890836,standardized_coefficient_abs
CFF_lag1,435.7824133826119,standardized_coefficient_abs
Borrowings,421.2534788701803,standardized_coefficient_abs
Operating Profit_lag2,408.4775045074217,standardized_coefficient_abs
Borrowings_lag2,407.39558196461496,standardized_coefficient_abs
Total Assets,406.20290924068763,standardized_coefficient_abs
Equity_lag4,402.4431611596509,standardized_coefficient_abs
repo_x_borrowings,382.79095285853356,standardized_coefficient_abs
Equity_lag2,340.16274600277677,standardized_coefficient_abs
Borrowings_roll4_mean,315.1246894064463,standardized_coefficient_abs
CFF,294.93386192420763,standardized_coefficient_abs
Total Assets_roll4_median,282.28949182439834,standardized_coefficient_abs
CFF_lag2,254.69309351824145,standardized_coefficient_abs
Total Liabilities,235.89868263367438,standardized_coefficient_abs
Sector_Banking,226.5917326997584,standardized_coefficient_abs
Equity_lag1,223.67123258152415,standardized_coefficient_abs
Total Liabilities_lag1,214.925470831627,standardized_coefficient_abs
Equity,205.38275424594053,standardized_coefficient_abs
oil_x_sales,199.7057503488735,standardized_coefficient_abs
Sector_Auto,199.18918167699053,standardized_coefficient_abs
cpi_infl_x_sales,199.0271822405545,standardized_coefficient_abs
CFI_lag2,194.92034361799918,standardized_coefficient_abs
Borrowings_lag4,182.793922543541,standardized_coefficient_abs
Operating Profit_qoq_growth,181.6073458303499,standardized_coefficient_abs
CFI,180.36066349175314,standardized_coefficient_abs
CFO_lag2,172.52371331950357,standardized_coefficient_abs
Sales,170.40034610653098,standardized_coefficient_abs
Total Assets_lag2,166.22029317484208,standardized_coefficient_abs
Sales_lag1,164.32280429518903,standardized_coefficient_abs
Sales_qoq_growth,163.34710466041696,standardized_coefficient_abs
CFI_lag1,152.55083848152944,standardized_coefficient_abs
Operating Profit_lag4,151.6430907345703,standardized_coefficient_abs
Net Profit_yoy_growth,144.19570175465037,standardized_coefficient_abs
Total Assets_lag4,137.1227146261102,standardized_coefficient_abs
Operating Profit_roll4_growth,134.75173116359932,standardized_coefficient_abs
Total Assets_roll4_std,132.48860284469822,standardized_coefficient_abs
fx_x_sales,122.9730564262168,standardized_coefficient_abs
Net Profit_roll4_growth,120.16921207981937,standardized_coefficient_abs
Net Cash Flow,117.61370108837515,standardized_coefficient_abs
Sales_roll4_std,103.47584231376065,standardized_coefficient_abs
CFO_yoy_growth,99.28957299606796,standardized_coefficient_abs
Sector_Energy,92.23040652069132,standardized_coefficient_abs
Net Profit_qoq_growth_lag1,80.4138179363427,standardized_coefficient_abs
Net Cash Flow_lag1,79.58430404984999,standardized_coefficient_abs
CFI_lag4,79.45622956388924,standardized_coefficient_abs
Borrowings_roll4_std,75.11274746122133,standardized_coefficient_abs
repo_x_total_assets,71.21783218058461,standardized_coefficient_abs
Sector_FMCG,64.34423242376053,standardized_coefficient_abs
Net Profit_qoq_growth,55.11609695598274,standardized_coefficient_abs
Borrowings_qoq_growth_lag1,54.16352116737791,standardized_coefficient_abs
Net Profit_lag4,53.94880322086695,standardized_coefficient_abs
Net Profit_roll4_std,48.49047424320866,standardized_coefficient_abs
Operating Profit_roll4_std,47.3899341643306,standardized_coefficient_abs
Total Assets_roll4_mean,46.79507982476181,standardized_coefficient_abs
CFF_lag4,45.325838189103635,standardized_coefficient_abs
Sales_roll4_growth,44.79425588793018,standardized_coefficient_abs
CFO_lag4,43.152086214192956,standardized_coefficient_abs
Operating Profit_yoy_growth,41.147229905188325,standardized_coefficient_abs
Operating Profit_qoq_growth_lag1,39.90707521516452,standardized_coefficient_abs
CFO_qoq_growth_lag1,38.42049439434843,standardized_coefficient_abs
oil_price_lag1,37.936406086426366,standardized_coefficient_abs
Total Liabilities_lag4,35.46823222490535,standardized_coefficient_abs
Borrowings_qoq_growth,34.98618709967082,standardized_coefficient_abs
