feature,importance,kind
Operating Profit,7116.856057397658,standardized_coefficient_abs
Net Profit,2044.3360258917203,standardized_coefficient_abs
Operating Profit_lag1,1055.8429050422435,standardized_coefficient_abs
Net Profit_lag2,619.722267728327,standardized_coefficient_abs
Expenses,544.0310132258452,standardized_coefficient_abs
Operating Profit_roll4_mean,532.4087952678047,standardized_coefficient_abs
cpi_infl_x_sales,529.4414190630838,standardized_coefficient_abs
Operating Profit_roll4_median,517.512574731771,standardized_coefficient_abs
Net Profit_lag1,485.0598515300226,standardized_coefficient_abs
Sales,464.4312231515406,standardized_coefficient_abs
fx_x_sales,450.0787185756629,standardized_coefficient_abs
oil_x_sales,386.17667908308414,standardized_coefficient_abs
Expenses_lag1,384.8907565899701,standardized_coefficient_abs
Net Cash Flow_lag1,374.85570039224496,standardized_coefficient_abs
Total Liabilities,360.1829469964122,standardized_coefficient_abs
Net Profit_qoq_growth,303.9943215904147,standardized_coefficient_abs
Sector_Energy,289.54163571973726,standardized_coefficient_abs
Total Liabilities_lag1,268.38644412208106,standardized_coefficient_abs
Equity_lag2,259.35901556241555,standardized_coefficient_abs
Net Profit_roll4_median,258.4912451302588,standardized_coefficient_abs
Borrowings_lag1,231.05221481295956,standardized_coefficient_abs
Sector_Banking,225.61614171155574,standardized_coefficient_abs
CFI_lag2,218.53556997198572,standardized_coefficient_abs
Operating Profit_qoq_growth,212.79070187469236,standardized_coefficient_abs
CFI,209.01614873767596,standardized_coefficient_abs
Equity,206.8331222283671,standardized_coefficient_abs
Sales_lag1,205.62365021856434,standardized_coefficient_abs
Operating Profit_lag2,167.63139835169335,standardized_coefficient_abs
Equity_lag1,166.81217196153233,standardized_coefficient_abs
CFI_lag4,161.9229112812925,standardized_coefficient_abs
Net Cash Flow,160.69080471723183,standardized_coefficient_abs
CFO_roll4_median,157.6201928610496,standardized_coefficient_abs
CFO_yoy_growth,156.96340667196452,standardized_coefficient_abs
Borrowings_lag4,155.11951517681695,standardized_coefficient_abs
Borrowings_roll4_mean,152.3491153189269,standardized_coefficient_abs
Sales_qoq_growth,151.15109042125027,standardized_coefficient_abs
Total Assets_lag4,142.14801462653764,standardized_coefficient_abs
CFO,138.24440243696142,standardized_coefficient_abs
Sales_roll4_std,137.23485409342257,standardized_coefficient_abs
CFO_lag1,129.0495633004516,standardized_coefficient_abs
Net Profit_yoy_growth,125.65402468743784,standardized_coefficient_abs
CFF,122.4711581221515,standardized_coefficient_abs
Borrowings,119.30155597479816,standardized_coefficient_abs
CFF_lag4,113.07644725627061,standardized_coefficient_abs
Sector_FMCG,110.20447924388309,standardized_coefficient_abs
Sector_Auto,108.27097285981532,standardized_coefficient_abs
Total Liabilities_lag4,106.62584909528721,standardized_coefficient_abs
repo_x_borrowings,106.05125389867872,standardized_coefficient_abs
Net Cash Flow_lag2,103.69076531808841,standardized_coefficient_abs
CFO_roll4_growth,100.01824773575551,standardized_coefficient_abs
CFO_qoq_growth,96.97988400803683,standardized_coefficient_abs
Equity_lag4,95.0445459579985,standardized_coefficient_abs
Sales_roll4_mean,93.648736844864,standardized_coefficient_abs
CFF_lag2,93.26475204475688,standardized_coefficient_abs
Total Assets_lag1,91.77168758276956,standardized_coefficient_abs
Net Profit_qoq_growth_lag1,87.86547963022225,standardized_coefficient_abs
Net Profit_roll4_std,85.09357497858738,standardized_coefficient_abs
Total Assets_lag2,80.79377150281458,standardized_coefficient_abs
Borrowings_lag2,78.79503860877303,standardized_coefficient_abs
Total Assets_qoq_growth,75.01707951760702,standardized_coefficient_abs
CFO_lag2,74.16504703116547,standardized_coefficient_abs
Borrowings_roll4_median,74.05618592311397,standardized_coefficient_abs
CFO_lag4,73.38977676261348,standardized_coefficient_abs
Total Liabilities_lag2,72.6095161250933,standardized_coefficient_abs
Operating Profit_roll4_growth,67.26514558970997,standardized_coefficient_abs
Total Assets_roll4_median,64.16063999621458,standardized_coefficient_abs
Sector_Tech,60.99187997185197,standardized_coefficient_abs
Expenses_lag2,55.28632028162081,standardized_coefficient_abs
Borrowings_roll4_std,52.59936133780262,standardized_coefficient_abs
Sales_roll4_median,51.31685014954551,standardized_coefficient_abs
Borrowings_qoq_growth,50.643631062182884,standardized_coefficient_abs
Expenses_lag4,46.51523729795295,standardized_coefficient_abs
Sales_lag4,45.40104040828648,standardized_coefficient_abs
repo_x_total_assets,44.008694447470205,standardized_coefficient_abs
Net Profit_roll4_mean,37.347362496321345,standardized_coefficient_abs
Net Profit_lag4,36.42662981693234,standardized_coefficient_abs
Operating Profit_roll4_std,34.42352050787126,standardized_coefficient_abs
Total Assets,33.960631816030755,standardized_coefficient_abs
Total Assets_roll4_growth,30.451768495043595,standardized_coefficient_abs
Total Assets_roll4_mean,29.380311367632615,standardized_coefficient_abs
Operating Profit_qoq_growth_lag1,28.634213595441285,standardized_coefficient_abs
CFI_lag1,28.61801210668675,standardized_coefficient_abs
oil_price_lag1,28.157975774440313,standardized_coefficient_abs
Sales_lag2,27.889942812257114,standardized_coefficient_abs
Net Cash Flow_lag4,27.10454824366219,standardized_coefficient_abs
Operating Profit_lag4,27.017536235191578,standardized_coefficient_abs
Borrowings_roll4_growth,25.626614042038344,standardized_coefficient_abs
Net Profit_roll4_growth,23.168697063102154,standardized_coefficient_abs
Quarter_Q4,22.74549019646843,standardized_coefficient_abs
CFF_lag1,20.073404619203,standardized_coefficient_abs
Sales_roll4_growth,19.182285829331164,standardized_coefficient_abs
Borrowings_qoq_growth_lag1,18.499345491592543,standardized_coefficient_abs
CPI_Inflation_Rate_lag1,18.478713811138455,standardized_coefficient_abs
Sales_qoq_growth_lag1,18.21789196300939,standardized_coefficient_abs
WPI,17.927848622883747,standardized_coefficient_abs
Total Assets_yoy_growth,16.70114861426957,standardized_coefficient_abs
CPI_Combined_Index,16.308097946993335,standardized_coefficient_abs
Quarter_Q1,15.604426819524027,standardized_coefficient_abs
CFO_roll4_mean,14.077412029637077,standardized_coefficient_abs
Operating Profit_yoy_growth,13.752740978806141,standardized_coefficient_abs
Borrowings_yoy_growth,13.702165789200524,standardized_coefficient_abs
CFO_qoq_growth_lag1,12.238434145964538,standardized_coefficient_abs
Quarter_Q2,11.705073921773254,standardized_coefficient_abs
Repo_Rate_lag4,10.710286753822702,standardized_coefficient_abs
Reverse_Repo_Rate_lag4,10.70543423523449,standardized_coefficient_abs
Quarter_Q3,9.922459985426432,standardized_coefficient_abs
Total Assets_roll4_std,9.77410142067715,standardized_coefficient_abs
WPI_lag4,8.552224571640378,standardized_coefficient_abs
CPI_Combined_Index_lag4,8.526926308636474,standardized_coefficient_abs
Sales_yoy_growth,8.343010814965735,standardized_coefficient_abs
CFO_roll4_std,8.279397725135727,standardized_coefficient_abs
Repo_Rate_lag1,6.333423074563936,standardized_coefficient_abs
CPI_Inflation_Rate_lag4,6.203692031157323,standardized_coefficient_abs
Reverse_Repo_Rate_lag1,5.067774723460282,standardized_coefficient_abs
exchange_rate,4.666706543442303,standardized_coefficient_abs
exchange_rate_lag4,4.599671307599011,standardized_coefficient_abs
exchange_rate_lag1,4.576136218073239,standardized_coefficient_abs
Total Assets_qoq_growth_lag1,4.263530433907275,standardized_coefficient_abs
oil_price,3.8239342674328993,standardized_coefficient_abs
oil_price_lag4,2.7725239650298,standardized_coefficient_abs
Reverse_Repo_Rate,2.590975438362019,standardized_coefficient_abs
Repo_Rate,2.243968704774697,standardized_coefficient_abs
CPI_Inflation_Rate,1.7503869922829984,standardized_coefficient_abs
WPI_lag1,1.6021532542903978,standardized_coefficient_abs
CPI_Combined_Index_lag1,0.5416286997394929,standardized_coefficient_abs
