feature,importance,kind
Operating Profit,0.3108938633102041,native_importance
Net Profit,0.21266948526360113,native_importance
Operating Profit_lag1,0.0676635521346734,native_importance
CFO,0.049783715781299184,native_importance
Net Profit_lag1,0.04627973472673916,native_importance
CFI,0.0414260757899785,native_importance
cpi_infl_x_sales,0.03472581411755446,native_importance
Sales,0.033955713535372016,native_importance
fx_x_sales,0.0336668689829441,native_importance
CFF,0.033245061475412056,native_importance
oil_x_sales,0.02432631508229667,native_importance
Operating Profit_roll4_median,0.01656811435898202,native_importance
Expenses,0.014539833815344638,native_importance
Operating Profit_roll4_mean,0.011183786004192942,native_importance
Net Profit_roll4_mean,0.007256521467281294,native_importance
Operating Profit_lag2,0.005733260770087519,native_importance
Total Liabilities,0.005218318029859962,native_importance
repo_x_borrowings,0.005151318106986159,native_importance
repo_x_total_assets,0.004912685274885342,native_importance
Net Profit_roll4_median,0.0048218967022794525,native_importance
CFF_lag1,0.0032712704099894583,native_importance
Sector_Tech,0.0031341967493360044,native_importance
Equity,0.0026762297021163018,native_importance
CFO_lag1,0.0014334217581375283,native_importance
CFI_lag1,0.0013653600613883318,native_importance
Sales_lag1,0.0013333155933187338,native_importance
Net Profit_lag2,0.0012011344790029252,native_importance
Operating Profit_qoq_growth,0.001076912259575451,native_importance
Sector_Banking,0.0010242247961689912,native_importance
Sales_roll4_mean,0.000757077371341979,native_importance
Net Cash Flow,0.0005889450711518137,native_importance
Sales_qoq_growth,0.0005696291694513925,native_importance
CFO_qoq_growth,0.000539441446617615,native_importance
Net Profit_qoq_growth,0.0004933345825191525,native_importance
Total Assets_qoq_growth,0.00046547400289972203,native_importance
Borrowings_qoq_growth,0.00046138098158167125,native_importance
Sector_Auto,0.000424781503323975,native_importance
Operating Profit_roll4_std,0.00041773974081391675,native_importance
Sales_roll4_std,0.00041271256206920214,native_importance
Net Cash Flow_lag1,0.00036764069508414196,native_importance
Total Assets_qoq_growth_lag1,0.00034659971495723546,native_importance
Sector_FMCG,0.0003180850006906688,native_importance
Sales_qoq_growth_lag1,0.00031022580829191926,native_importance
Borrowings_qoq_growth_lag1,0.000305129370846102,native_importance
Net Profit_roll4_std,0.0002954905683465011,native_importance
Borrowings,0.00028598893336130056,native_importance
Total Assets_yoy_growth,0.0002845213665588242,native_importance
Net Profit_qoq_growth_lag1,0.0002748451499175686,native_importance
Operating Profit_qoq_growth_lag1,0.0002728969063710191,native_importance
Operating Profit_yoy_growth,0.0002651186018273399,native_importance
Expenses_lag1,0.0002625007934811543,native_importance
Operating Profit_lag4,0.00025919567853668034,native_importance
CFO_roll4_std,0.00025670580520501874,native_importance
Borrowings_yoy_growth,0.00025660186631031793,native_importance
CFO_qoq_growth_lag1,0.00024550428219528376,native_importance
