feature,importance,kind
Operating Profit,10269.175580994985,standardized_coefficient_abs
Sales,8166.107583533194,standardized_coefficient_abs
oil_x_sales,4315.728619778217,standardized_coefficient_abs
Sales_roll4_mean,3313.9548886618095,standardized_coefficient_abs
fx_x_sales,2204.234834792449,standardized_coefficient_abs
Net Profit_roll4_mean,1914.8467585202325,standardized_coefficient_abs
Sales_lag1,1791.961361740543,standardized_coefficient_abs
Borrowings_roll4_median,1731.305822102555,standardized_coefficient_abs
Borrowings_roll4_mean,1696.5851752131832,standardized_coefficient_abs
Sales_lag2,1669.1314272317122,standardized_coefficient_abs
Expenses_lag1,1560.834296266802,standardized_coefficient_abs
Total Assets,1466.470882135738,standardized_coefficient_abs
Expenses_lag2,1284.6254913459888,standardized_coefficient_abs
Expenses,1203.1219605085569,standardized_coefficient_abs
Net Profit_lag2,977.2729727798777,standardized_coefficient_abs
Total Liabilities,932.875329447394,standardized_coefficient_abs
Borrowings,807.3924931766556,standardized_coefficient_abs
Net Profit_roll4_median,805.3459253102515,standardized_coefficient_abs
Total Assets_lag1,798.693797650736,standardized_coefficient_abs
Total Assets_roll4_mean,792.0508303380507,standardized_coefficient_abs
Total Assets_roll4_median,782.7571718023837,standardized_coefficient_abs
CFO_roll4_mean,710.9461722677316,standardized_coefficient_abs
repo_x_total_assets,636.3817378621721,standardized_coefficient_abs
Total Assets_lag4,607.5436437860649,standardized_coefficient_abs
Total Liabilities_lag2,606.5724904892908,standardized_coefficient_abs
CFO_roll4_median,529.6779097396045,standardized_coefficient_abs
Operating Profit_roll4_median,516.3385638918691,standardized_coefficient_abs
Equity_lag1,504.7243957757414,standardized_coefficient_abs
Net Profit_lag1,436.7767441117928,standardized_coefficient_abs
Total Assets_lag2,428.98246421922624,standardized_coefficient_abs
Total Liabilities_lag4,414.39065254640406,standardized_coefficient_abs
Operating Profit_lag2,402.2072082610952,standardized_coefficient_abs
Net Cash Flow_lag1,384.0808326189309,standardized_coefficient_abs
Operating Profit_lag1,378.1264622778908,standardized_coefficient_abs
repo_x_borrowings,353.743655997654,standardized_coefficient_abs
Equity_lag2,307.79767387572804,standardized_coefficient_abs
Borrowings_lag1,297.3072270596048,standardized_coefficient_abs
CFO_lag1,265.24031858798645,standardized_coefficient_abs
CFF_lag2,251.93296416382736,standardized_coefficient_abs
Sales_roll4_median,224.81317934432244,standardized_coefficient_abs
cpi_infl_x_sales,211.0061208921107,standardized_coefficient_abs
Net Profit,210.23065091434427,standardized_coefficient_abs
Net Cash Flow_lag2,200.96887355814724,standardized_coefficient_abs
CFF,193.80579356325364,standardized_coefficient_abs
Operating Profit_qoq_growth,182.9985550929936,standardized_coefficient_abs
Borrowings_lag4,179.19770629154493,standardized_coefficient_abs
CPI_Combined_Index_lag1,172.80518790666827,standardized_coefficient_abs
CFI_lag2,168.92729200796757,standardized_coefficient_abs
CFO_lag4,168.17661494330224,standardized_coefficient_abs
Sales_qoq_growth,160.9717326892499,standardized_coefficient_abs
Operating Profit_roll4_mean,156.14850140117042,standardized_coefficient_abs
Sector_Banking,147.43517293060216,standardized_coefficient_abs
CFO_yoy_growth,144.99190466563368,standardized_coefficient_abs
CFF_lag4,142.6947940843826,standardized_coefficient_abs
Operating Profit_qoq_growth_lag1,141.15149590707392,standardized_coefficient_abs
CFI_lag4,140.83364913644388,standardized_coefficient_abs
CPI_Combined_Index,136.53369968748794,standardized_coefficient_abs
Sector_Energy,134.12107705832835,standardized_coefficient_abs
Net Profit_lag4,115.40184012721811,standardized_coefficient_abs
Sector_FMCG,113.55553654948697,standardized_coefficient_abs
CPI_Inflation_Rate_lag1,112.53295913472665,standardized_coefficient_abs
CFO_roll4_growth,110.85662383497512,standardized_coefficient_abs
