feature,importance,kind
Operating Profit,479.0,native_importance
Net Cash Flow,259.0,native_importance
Operating Profit_roll4_std,245.0,native_importance
Sales_qoq_growth,245.0,native_importance
Net Profit,243.0,native_importance
CFF,222.0,native_importance
Total Assets_qoq_growth,213.0,native_importance
Operating Profit_qoq_growth,205.0,native_importance
Net Profit_qoq_growth,193.0,native_importance
cpi_infl_x_sales,190.0,native_importance
Borrowings_qoq_growth,188.0,native_importance
CFI,184.0,native_importance
CFO,175.0,native_importance
CFO_qoq_growth,156.0,native_importance
Net Cash Flow_lag1,155.0,native_importance
Equity,148.0,native_importance
CFO_roll4_std,146.0,native_importance
Operating Profit_lag1,144.0,native_importance
Sales_roll4_std,142.0,native_importance
Net Profit_lag1,140.0,native_importance
Total Assets_roll4_std,129.0,native_importance
Total Assets_qoq_growth_lag1,128.0,native_importance
Borrowings_roll4_std,126.0,native_importance
Operating Profit_qoq_growth_lag1,122.0,native_importance
Sales_qoq_growth_lag1,122.0,native_importance
Expenses,121.0,native_importance
Net Cash Flow_lag2,117.0,native_importance
Net Profit_qoq_growth_lag1,113.0,native_importance
Total Liabilities,112.0,native_importance
CFI_lag1,112.0,native_importance
Net Profit_roll4_std,108.0,native_importance
CFO_qoq_growth_lag1,108.0,native_importance
Borrowings,107.0,native_importance
Net Profit_lag2,107.0,native_importance
CFF_lag1,103.0,native_importance
Total Assets,101.0,native_importance
Borrowings_qoq_growth_lag1,101.0,native_importance
repo_x_borrowings,90.0,native_importance
Operating Profit_lag2,84.0,native_importance
Borrowings_lag1,83.0,native_importance
oil_x_sales,83.0,native_importance
Operating Profit_yoy_growth,76.0,native_importance
Net Profit_yoy_growth,75.0,native_importance
Total Assets_yoy_growth,75.0,native_importance
CFF_lag2,75.0,native_importance
Sales,75.0,native_importance
CFO_yoy_growth,74.0,native_importance
Sales_lag1,71.0,native_importance
Equity_lag1,71.0,native_importance
repo_x_total_assets,70.0,native_importance
CFO_lag1,70.0,native_importance
Borrowings_yoy_growth,64.0,native_importance
fx_x_sales,62.0,native_importance
CFI_lag2,62.0,native_importance
Total Liabilities_lag1,62.0,native_importance
Operating Profit_roll4_mean,61.0,native_importance
Expenses_lag1,59.0,native_importance
CFO_roll4_growth,58.0,native_importance
Expenses_lag2,57.0,native_importance
Operating Profit_lag4,57.0,native_importance
Operating Profit_roll4_growth,56.0,native_importance
Net Profit_roll4_mean,54.0,native_importance
Operating Profit_roll4_median,54.0,native_importance
Sales_lag2,54.0,native_importance
Net Cash Flow_lag4,51.0,native_importance
Equity_lag2,51.0,native_importance
Borrowings_lag2,50.0,native_importance
Total Liabilities_lag2,49.0,native_importance
Total Assets_roll4_growth,49.0,native_importance
Net Profit_lag4,48.0,native_importance
Sales_lag4,48.0,native_importance
Net Profit_roll4_median,47.0,native_importance
CFO_lag2,47.0,native_importance
Net Profit_roll4_growth,44.0,native_importance
Sales_yoy_growth,43.0,native_importance
Sales_roll4_growth,42.0,native_importance
Sales_roll4_median,41.0,native_importance
Sales_roll4_mean,38.0,native_importance
Borrowings_roll4_growth,38.0,native_importance
Total Assets_lag1,38.0,native_importance
Expenses_lag4,33.0,native_importance
CFO_roll4_mean,31.0,native_importance
CFO_roll4_median,31.0,native_importance
CFF_lag4,29.0,native_importance
Total Assets_lag2,27.0,native_importance
CFI_lag4,26.0,native_importance
Borrowings_lag4,25.0,native_importance
CFO_lag4,25.0,native_importance
Borrowings_roll4_mean,22.0,native_importance
Borrowings_roll4_median,22.0,native_importance
Equity_lag4,22.0,native_importance
Total Assets_lag4,19.0,native_importance
Total Liabilities_lag4,16.0,native_importance
Total Assets_roll4_median,15.0,native_importance
Repo_Rate_lag1,14.0,native_importance
CPI_Combined_Index,9.0,native_importance
Total Assets_roll4_mean,9.0,native_importance
CPI_Inflation_Rate_lag1,8.0,native_importance
Sector_Banking,8.0,native_importance
Sector_Tech,6.0,native_importance
CPI_Inflation_Rate,6.0,native_importance
exchange_rate,4.0,native_importance
Reverse_Repo_Rate,4.0,native_importance
Repo_Rate,4.0,native_importance
Sector_Auto,4.0,native_importance
oil_price_lag1,3.0,native_importance
exchange_rate_lag1,3.0,native_importance
oil_price,3.0,native_importance
CPI_Combined_Index_lag1,3.0,native_importance
CPI_Inflation_Rate_lag4,2.0,native_importance
Quarter_Q2,1.0,native_importance
Reverse_Repo_Rate_lag1,1.0,native_importance
CPI_Combined_Index_lag4,0.0,native_importance
Quarter_Q1,0.0,native_importance
WPI,0.0,native_importance
Quarter_Q3,0.0,native_importance
Quarter_Q4,0.0,native_importance
Reverse_Repo_Rate_lag4,0.0,native_importance
Repo_Rate_lag4,0.0,native_importance
WPI_lag1,0.0,native_importance
WPI_lag4,0.0,native_importance
exchange_rate_lag4,0.0,native_importance
oil_price_lag4,0.0,native_importance
Sector_Energy,0.0,native_importance
Sector_FMCG,0.0,native_importance
