feature,importance,kind
Sales_lag1,220293483.67085966,standardized_coefficient_abs
Expenses_lag1,197669954.1646562,standardized_coefficient_abs
CFO,166379306.6829579,standardized_coefficient_abs
Sales,159338768.15463793,standardized_coefficient_abs
CFO_lag2,148720262.51376274,standardized_coefficient_abs
Expenses,142451218.5269893,standardized_coefficient_abs
CFO_lag4,110260726.29753271,standardized_coefficient_abs
CFI,95676591.95084366,standardized_coefficient_abs
Sales_lag4,90432331.51496306,standardized_coefficient_abs
CFI_lag2,84722258.19046266,standardized_coefficient_abs
Expenses_lag4,82063206.23369648,standardized_coefficient_abs
CFI_lag4,62760602.71630127,standardized_coefficient_abs
Sales_lag2,62539416.36757915,standardized_coefficient_abs
Expenses_lag2,56316670.78057366,standardized_coefficient_abs
Net Cash Flow,47678344.47692239,standardized_coefficient_abs
CFO_lag1,44730903.439925954,standardized_coefficient_abs
Net Cash Flow_lag2,42669839.753831945,standardized_coefficient_abs
CFF,37603466.42927487,standardized_coefficient_abs
CFF_lag2,33718937.16437952,standardized_coefficient_abs
Net Cash Flow_lag4,30874839.528550267,standardized_coefficient_abs
Operating Profit_lag1,29083487.617733702,standardized_coefficient_abs
CFI_lag1,25659468.240577333,standardized_coefficient_abs
CFF_lag4,24845747.81940852,standardized_coefficient_abs
Operating Profit,21314830.11433944,standardized_coefficient_abs
Net Cash Flow_lag1,12795489.74144356,standardized_coefficient_abs
Operating Profit_lag4,11442184.211825542,standardized_coefficient_abs
CFF_lag1,10121303.541773025,standardized_coefficient_abs
Operating Profit_lag2,8139281.341842422,standardized_coefficient_abs
oil_price_lag1,1575913.720397696,standardized_coefficient_abs
Quarter_Q2,1031154.4243724467,standardized_coefficient_abs
Quarter_Q4,904888.6252535246,standardized_coefficient_abs
oil_price,638508.503043035,standardized_coefficient_abs
CPI_Inflation_Rate_lag1,456082.1461365856,standardized_coefficient_abs
Reverse_Repo_Rate_lag4,449889.03938117623,standardized_coefficient_abs
Repo_Rate_lag4,439899.561546335,standardized_coefficient_abs
exchange_rate,375035.2085674461,standardized_coefficient_abs
Quarter_Q3,369627.04755107407,standardized_coefficient_abs
exchange_rate_lag1,342776.8981064148,standardized_coefficient_abs
oil_price_lag4,335056.01793501526,standardized_coefficient_abs
WPI_lag1,308257.12834121287,standardized_coefficient_abs
exchange_rate_lag4,292503.05069019645,standardized_coefficient_abs
CPI_Inflation_Rate_lag4,278435.6087793447,standardized_coefficient_abs
Repo_Rate_lag1,262611.6987322364,standardized_coefficient_abs
Reverse_Repo_Rate,238268.38054524735,standardized_coefficient_abs
CPI_Combined_Index_lag1,225214.48181233928,standardized_coefficient_abs
CPI_Inflation_Rate,181287.62756976206,standardized_coefficient_abs
Repo_Rate,165769.307648981,standardized_coefficient_abs
Reverse_Repo_Rate_lag1,136409.6818097178,standardized_coefficient_abs
WPI_lag4,119098.00717843138,standardized_coefficient_abs
CPI_Combined_Index_lag4,104365.58596390672,standardized_coefficient_abs
WPI,66627.59167482611,standardized_coefficient_abs
Quarter_Q1,39396.50054232124,standardized_coefficient_abs
fx_x_sales,27730.686063036323,standardized_coefficient_abs
CPI_Combined_Index,25714.043138066307,standardized_coefficient_abs
Sales_roll4_mean,4175.4742298312485,standardized_coefficient_abs
Borrowings,2147.410900859162,standardized_coefficient_abs
Net Profit_roll4_mean,1924.2094482667744,standardized_coefficient_abs
Borrowings_roll4_mean,1828.9782034307718,standardized_coefficient_abs
Borrowings_roll4_median,1803.5189940333366,standardized_coefficient_abs
repo_x_borrowings,1691.316409483552,standardized_coefficient_abs
Total Assets_roll4_mean,1129.179490223527,standardized_coefficient_abs
Total Assets_roll4_median,1059.9176388382912,standardized_coefficient_abs
repo_x_total_assets,982.8182441331446,standardized_coefficient_abs
Net Profit_lag2,952.9097900539637,standardized_coefficient_abs
Total Liabilities,903.3107290770859,standardized_coefficient_abs
oil_x_sales,825.1889131516218,standardized_coefficient_abs
Net Profit_roll4_median,816.5455490350723,standardized_coefficient_abs
Total Assets_lag1,772.7394576426595,standardized_coefficient_abs
Total Assets_lag4,684.0787912998348,standardized_coefficient_abs
CFO_roll4_mean,659.7048708498478,standardized_coefficient_abs
Total Liabilities_lag2,606.4912113845348,standardized_coefficient_abs
Sales_roll4_median,597.4402182362974,standardized_coefficient_abs
Operating Profit_roll4_median,551.5125757306814,standardized_coefficient_abs
CFO_roll4_median,506.1145212017,standardized_coefficient_abs
Equity_lag1,488.85973800718784,standardized_coefficient_abs
cpi_infl_x_sales,476.59300434589386,standardized_coefficient_abs
Total Liabilities_lag4,428.9892752766609,standardized_coefficient_abs
Net Profit_lag1,413.6509832460433,standardized_coefficient_abs
Total Assets_lag2,386.8386358395219,standardized_coefficient_abs
Equity_lag2,301.0238756388426,standardized_coefficient_abs
Borrowings_lag1,296.22478057071567,standardized_coefficient_abs
Operating Profit_roll4_mean,225.03783009201288,standardized_coefficient_abs
Total Assets,210.15583286434412,standardized_coefficient_abs
Net Profit,207.86726695299149,standardized_coefficient_abs
Borrowings_lag4,202.62572032772005,standardized_coefficient_abs
Operating Profit_qoq_growth,183.806914255023,standardized_coefficient_abs
Sales_qoq_growth,155.92910631746054,standardized_coefficient_abs
Sector_Energy,144.95902811735868,standardized_coefficient_abs
CFO_yoy_growth,141.9102897197008,standardized_coefficient_abs
Operating Profit_qoq_growth_lag1,138.70360169559717,standardized_coefficient_abs
Sector_Banking,136.97885551303625,standardized_coefficient_abs
Borrowings_lag2,113.87286435067654,standardized_coefficient_abs
Net Profit_lag4,110.80178412795067,standardized_coefficient_abs
CFO_roll4_growth,107.66552814468741,standardized_coefficient_abs
