feature,importance,kind
Operating Profit,0.9760626695011746,native_importance
Operating Profit_roll4_mean,0.0009654387124714237,native_importance
Net Profit,0.0008032405072513995,native_importance
Sales_qoq_growth,0.000695250902498571,native_importance
Operating Profit_lag1,0.0006672660086876878,native_importance
Net Cash Flow,0.0006070115383302437,native_importance
CFI,0.0005989015555541988,native_importance
Operating Profit_qoq_growth,0.0005828717889821159,native_importance
CFO_qoq_growth,0.0005806665822430202,native_importance
Total Assets_qoq_growth,0.000562695256737682,native_importance
Net Profit_qoq_growth,0.0005507946425633226,native_importance
Borrowings_qoq_growth,0.0005409988800322221,native_importance
CFF,0.0005112398724046774,native_importance
Sales_roll4_std,0.000473924975556523,native_importance
Net Profit_lag1,0.0004358477312694623,native_importance
Operating Profit_roll4_std,0.00039324351963354153,native_importance
Operating Profit_lag2,0.0003863650051075711,native_importance
Operating Profit_roll4_median,0.0003861428088263302,native_importance
Operating Profit_qoq_growth_lag1,0.0003846939183349244,native_importance
Total Assets_qoq_growth_lag1,0.000372736644806942,native_importance
Sales_qoq_growth_lag1,0.0003659349654125416,native_importance
cpi_infl_x_sales,0.00036200455596749613,native_importance
Net Cash Flow_lag1,0.00035748600388605344,native_importance
Net Profit_qoq_growth_lag1,0.000344130499613847,native_importance
oil_x_sales,0.00034301585404985694,native_importance
CFO,0.00034102109525050155,native_importance
Borrowings_qoq_growth_lag1,0.00030868244193968863,native_importance
CFF_lag1,0.0003044236029623245,native_importance
Sales,0.00030239015757605337,native_importance
CFO_qoq_growth_lag1,0.0002951057374448517,native_importance
Equity,0.000292058443393586,native_importance
fx_x_sales,0.0002761511950564809,native_importance
Expenses,0.00026657021848365894,native_importance
Sales_lag1,0.00025379213630412096,native_importance
Net Profit_roll4_std,0.00025342336281802526,native_importance
Total Liabilities,0.00023159951477210532,native_importance
Net Profit_lag2,0.00023085413500667656,native_importance
CFI_lag1,0.00022787210139890785,native_importance
repo_x_borrowings,0.00022311255360971715,native_importance
CFO_roll4_std,0.0002116361422624972,native_importance
Net Profit_yoy_growth,0.00020447833290603452,native_importance
Operating Profit_lag4,0.00020340821268334406,native_importance
Borrowings,0.00020222012043271802,native_importance
Operating Profit_yoy_growth,0.0002020402199343949,native_importance
Total Assets_yoy_growth,0.00020088149882823927,native_importance
Net Cash Flow_lag2,0.0001967717330561241,native_importance
Equity_lag1,0.0001840143549277232,native_importance
CFO_lag1,0.0001830922322578322,native_importance
Total Assets_roll4_std,0.00018258752264508152,native_importance
Borrowings_roll4_std,0.00018040977945364434,native_importance
CFF_lag2,0.0001748340164624781,native_importance
CFI_lag2,0.00017445905874364536,native_importance
CFO_yoy_growth,0.00017031758960624478,native_importance
Borrowings_yoy_growth,0.00016896778813410711,native_importance
Net Profit_roll4_median,0.0001583455472195966,native_importance
Net Profit_roll4_mean,0.00015791474834043884,native_importance
Net Cash Flow_lag4,0.0001575924463882993,native_importance
Total Assets,0.00015544451802439318,native_importance
repo_x_total_assets,0.00015309299012332463,native_importance
Expenses_lag4,0.0001504007046409017,native_importance
Borrowings_lag1,0.0001500688835477059,native_importance
Expenses_lag1,0.00014078663060877893,native_importance
Sales_lag4,0.00013945205435361675,native_importance
Total Liabilities_lag1,0.00013439980601469254,native_importance
Total Assets_lag1,0.00012138953839923043,native_importance
Equity_lag2,0.00012092831171361498,native_importance
CFF_lag4,0.00011685622413368411,native_importance
Net Profit_lag4,0.00011671479920084654,native_importance
Sales_roll4_median,0.00010981245978227317,native_importance
CFO_lag2,0.00010795342655069476,native_importance
CFI_lag4,0.00010772412613469481,native_importance
Sales_lag2,0.00010719197884116628,native_importance
Net Profit_roll4_growth,0.00010702562066840384,native_importance
CPI_Inflation_Rate_lag1,0.00010279834104441434,native_importance
Sales_yoy_growth,0.00010034070979235496,native_importance
Expenses_lag2,9.892164720013918e-05,native_importance
Borrowings_roll4_growth,9.886388125377197e-05,native_importance
Operating Profit_roll4_growth,9.714151602732703e-05,native_importance
CPI_Inflation_Rate,9.625547212804837e-05,native_importance
Borrowings_lag2,9.242857819419657e-05,native_importance
Sales_roll4_mean,8.953251426511828e-05,native_importance
CFO_roll4_growth,8.818493597634972e-05,native_importance
