feature,importance,kind
Operating Profit,9946.656208065275,standardized_coefficient_abs
Net Profit_roll4_mean,1308.8324475235524,standardized_coefficient_abs
Borrowings_roll4_median,988.2672521515753,standardized_coefficient_abs
Borrowings_roll4_mean,945.1795359937095,standardized_coefficient_abs
Sales_roll4_mean,862.3196104978961,standardized_coefficient_abs
Net Profit_lag2,833.1460107917133,standardized_coefficient_abs
cpi_infl_x_sales,715.3298091477192,standardized_coefficient_abs
Expenses,711.3638095265169,standardized_coefficient_abs
Sales,695.3764095151092,standardized_coefficient_abs
Total Liabilities,681.985379079061,standardized_coefficient_abs
Expenses_lag2,568.6539672159934,standardized_coefficient_abs
Sales_lag2,563.6498853048381,standardized_coefficient_abs
Total Assets_lag4,502.0023445909142,standardized_coefficient_abs
fx_x_sales,501.2068571399488,standardized_coefficient_abs
Net Profit_roll4_median,492.0838253870615,standardized_coefficient_abs
Total Assets_lag1,485.6289551279048,standardized_coefficient_abs
Total Liabilities_lag2,473.11659058723706,standardized_coefficient_abs
oil_x_sales,447.26069122325913,standardized_coefficient_abs
CFO_roll4_mean,428.7798861092358,standardized_coefficient_abs
Operating Profit_roll4_median,394.3999212100451,standardized_coefficient_abs
Operating Profit_lag2,393.7294536033072,standardized_coefficient_abs
Sales_roll4_median,391.37862038984855,standardized_coefficient_abs
Borrowings,379.90465762454215,standardized_coefficient_abs
CFO_roll4_median,377.59659210196685,standardized_coefficient_abs
Equity_lag1,354.6751227767998,standardized_coefficient_abs
Operating Profit_lag1,350.3908080357693,standardized_coefficient_abs
Total Assets_lag2,341.1050788319137,standardized_coefficient_abs
Borrowings_lag1,340.72679169046637,standardized_coefficient_abs
Equity_lag2,333.5530909010293,standardized_coefficient_abs
Net Cash Flow_lag1,331.2816149629808,standardized_coefficient_abs
Total Liabilities_lag4,311.6776463611256,standardized_coefficient_abs
repo_x_total_assets,257.01415521610306,standardized_coefficient_abs
Total Liabilities_lag1,250.89584099275507,standardized_coefficient_abs
Net Profit_lag1,235.74225024008692,standardized_coefficient_abs
Total Assets,226.0234442754093,standardized_coefficient_abs
CFF_lag2,216.79539495736205,standardized_coefficient_abs
Borrowings_lag4,203.44927223989356,standardized_coefficient_abs
Operating Profit_roll4_mean,192.2179065263805,standardized_coefficient_abs
CFI_lag4,191.26372721627948,standardized_coefficient_abs
CFF,190.91315576749707,standardized_coefficient_abs
Net Cash Flow_lag2,187.72005943873586,standardized_coefficient_abs
CFI_lag1,184.0541515295002,standardized_coefficient_abs
CFI_lag2,174.52310561544442,standardized_coefficient_abs
Sales_qoq_growth,163.76176368021652,standardized_coefficient_abs
Sector_Energy,154.37383330544444,standardized_coefficient_abs
Total Assets_roll4_median,154.02977651277862,standardized_coefficient_abs
CFO_yoy_growth,150.5325255581223,standardized_coefficient_abs
Operating Profit_qoq_growth_lag1,142.09854672717992,standardized_coefficient_abs
Sector_Banking,141.12121685424847,standardized_coefficient_abs
CFF_lag4,134.5138658497268,standardized_coefficient_abs
Operating Profit_qoq_growth,131.6593773246015,standardized_coefficient_abs
Sales_lag1,129.59882101193102,standardized_coefficient_abs
Total Assets_roll4_mean,125.46086365725125,standardized_coefficient_abs
Sales_roll4_std,117.56017831709777,standardized_coefficient_abs
Net Profit,115.8155077342837,standardized_coefficient_abs
CFO_roll4_growth,111.85686341935977,standardized_coefficient_abs
Sector_FMCG,99.91712188314061,standardized_coefficient_abs
Expenses_lag1,92.93294656596993,standardized_coefficient_abs
CFO_lag4,89.91164073528383,standardized_coefficient_abs
Equity,87.98635136316419,standardized_coefficient_abs
Total Assets_qoq_growth,84.62987822472388,standardized_coefficient_abs
Sector_Auto,79.14106341796666,standardized_coefficient_abs
Net Profit_lag4,77.7765336709381,standardized_coefficient_abs
Net Profit_roll4_std,77.37871336362896,standardized_coefficient_abs
Operating Profit_roll4_growth,74.58823262418305,standardized_coefficient_abs
Operating Profit_yoy_growth,67.37605302867033,standardized_coefficient_abs
Borrowings_roll4_std,62.44062285810337,standardized_coefficient_abs
Net Cash Flow,52.61629615456153,standardized_coefficient_abs
Net Profit_roll4_growth,49.628906883891915,standardized_coefficient_abs
CFO_qoq_growth_lag1,47.99098257419376,standardized_coefficient_abs
Sales_lag4,47.961916343162486,standardized_coefficient_abs
Expenses_lag4,46.850661677991845,standardized_coefficient_abs
Operating Profit_lag4,44.195023828376236,standardized_coefficient_abs
Borrowings_qoq_growth,41.20962533424519,standardized_coefficient_abs
Net Cash Flow_lag4,39.655474842997435,standardized_coefficient_abs
Net Profit_yoy_growth,39.03270412778457,standardized_coefficient_abs
