feature,importance,kind
fx_x_sales,0.746636999956787,native_importance
oil_x_sales,0.13856432971101007,native_importance
Sales,0.11356743358018528,native_importance
Sales_qoq_growth,8.16728201467671e-05,native_importance
Equity_lag1,5.2090163283735394e-05,native_importance
Expenses_lag4,4.322086742823514e-05,native_importance
Equity_lag4,4.2542053736654375e-05,native_importance
Equity,4.05494902367309e-05,native_importance
Total Assets,3.6918086362708354e-05,native_importance
Total Assets_qoq_growth_lag1,3.618551981138355e-05,native_importance
CFI,3.49237677464686e-05,native_importance
Borrowings_qoq_growth,3.32042352239177e-05,native_importance
cpi_infl_x_sales,3.201427765786207e-05,native_importance
Net Cash Flow_lag1,3.200130293731449e-05,native_importance
Expenses,3.1469863685581095e-05,native_importance
Expenses_lag1,3.064389526836558e-05,native_importance
Sales_lag1,2.8233638726694926e-05,native_importance
CFF,2.8079072564914425e-05,native_importance
Net Profit,2.6478414331900515e-05,native_importance
Net Profit_qoq_growth_lag1,2.47236435844693e-05,native_importance
Net Profit_yoy_growth,2.1868478211327872e-05,native_importance
Total Liabilities,2.1106407105034566e-05,native_importance
Net Cash Flow,2.0696414921670772e-05,native_importance
repo_x_borrowings,1.9807050588186196e-05,native_importance
Net Profit_qoq_growth,1.8209542826260122e-05,native_importance
Operating Profit_qoq_growth,1.8150833587843406e-05,native_importance
Borrowings_yoy_growth,1.752342513981008e-05,native_importance
Total Liabilities_lag1,1.740997751579838e-05,native_importance
Operating Profit,1.6820434540451763e-05,native_importance
CPI_Combined_Index,1.62189525241714e-05,native_importance
Net Profit_lag1,1.591270701255327e-05,native_importance
Operating Profit_lag2,1.5802630431971152e-05,native_importance
CFO_qoq_growth,1.5477122088729284e-05,native_importance
Net Profit_lag2,1.4674981258532313e-05,native_importance
Borrowings,1.4191069781092548e-05,native_importance
CFF_lag1,1.3445846163370731e-05,native_importance
Borrowings_qoq_growth_lag1,1.3355160129512868e-05,native_importance
CFO_roll4_std,1.3011085604696047e-05,native_importance
Total Assets_lag1,1.2448561091100123e-05,native_importance
CFO,1.2140460693558686e-05,native_importance
Total Assets_qoq_growth,1.1689447820029343e-05,native_importance
Total Assets_yoy_growth,1.1266628253224248e-05,native_importance
Borrowings_roll4_std,1.0784502756093767e-05,native_importance
Sales_yoy_growth,1.074758943446484e-05,native_importance
Borrowings_lag1,1.0698003879415018e-05,native_importance
Operating Profit_roll4_std,1.0612768649700146e-05,native_importance
CFO_qoq_growth_lag1,1.0439178262257382e-05,native_importance
Operating Profit_roll4_mean,9.756962182676981e-06,native_importance
CFO_lag1,9.556390441998158e-06,native_importance
Net Cash Flow_lag2,9.022798716265528e-06,native_importance
Borrowings_lag4,8.933582165911689e-06,native_importance
Net Profit_roll4_std,8.387690907963062e-06,native_importance
Sales_roll4_growth,8.387619201358518e-06,native_importance
Borrowings_roll4_median,8.0297004327896e-06,native_importance
Sales_lag2,6.654812016835065e-06,native_importance
Net Cash Flow_lag4,6.377951691282294e-06,native_importance
