feature,importance,kind
Expenses,16352.020509547541,standardized_coefficient_abs
Sales,14919.551659284976,standardized_coefficient_abs
fx_x_sales,14794.890074484349,standardized_coefficient_abs
oil_x_sales,14067.052647450992,standardized_coefficient_abs
cpi_infl_x_sales,13910.906811771001,standardized_coefficient_abs
Operating Profit,2226.4707377717637,standardized_coefficient_abs
Net Profit,1669.8720175650983,standardized_coefficient_abs
Sector_Energy,977.7485464485292,standardized_coefficient_abs
Total Liabilities_lag4,871.4006090303695,standardized_coefficient_abs
Operating Profit_lag4,803.1276811020379,standardized_coefficient_abs
Expenses_lag1,746.139343231428,standardized_coefficient_abs
Total Liabilities_lag1,721.5155791523902,standardized_coefficient_abs
CFF,657.2195384304174,standardized_coefficient_abs
Sales_lag1,612.8711461696744,standardized_coefficient_abs
Sales_qoq_growth,590.1551897610871,standardized_coefficient_abs
Sector_Tech,558.6066589410774,standardized_coefficient_abs
Equity_lag2,553.6828707322885,standardized_coefficient_abs
Borrowings_roll4_median,538.0110661373101,standardized_coefficient_abs
Sector_FMCG,514.156110010749,standardized_coefficient_abs
Sector_Auto,484.1170729699521,standardized_coefficient_abs
Borrowings_lag4,477.4115786805641,standardized_coefficient_abs
Equity_lag1,472.2884828997699,standardized_coefficient_abs
repo_x_total_assets,464.7255045807714,standardized_coefficient_abs
Borrowings_lag1,456.3549782425137,standardized_coefficient_abs
Net Profit_lag1,452.46269707482924,standardized_coefficient_abs
Operating Profit_lag1,446.0726886156948,standardized_coefficient_abs
Operating Profit_lag2,431.904367247543,standardized_coefficient_abs
Net Profit_lag2,400.7286887510226,standardized_coefficient_abs
CFI_lag4,393.5010267117876,standardized_coefficient_abs
Sales_roll4_mean,390.9667566788793,standardized_coefficient_abs
Sector_Banking,388.1031580687655,standardized_coefficient_abs
Borrowings_lag2,388.0527503414427,standardized_coefficient_abs
CFI_lag2,384.60816163924716,standardized_coefficient_abs
Operating Profit_roll4_median,381.52235807355623,standardized_coefficient_abs
Net Profit_lag4,356.7220140155814,standardized_coefficient_abs
Expenses_lag2,334.5273185068263,standardized_coefficient_abs
Total Assets,329.7258978173677,standardized_coefficient_abs
Sales_lag4,313.19615395145297,standardized_coefficient_abs
Total Assets_lag1,306.6716572667532,standardized_coefficient_abs
Sales_roll4_std,294.3489983206513,standardized_coefficient_abs
Operating Profit_yoy_growth,291.6663306916454,standardized_coefficient_abs
CFO_yoy_growth,280.24951467966656,standardized_coefficient_abs
Equity_lag4,275.6800856543798,standardized_coefficient_abs
Net Profit_roll4_median,271.45352088176367,standardized_coefficient_abs
CFO_qoq_growth,267.8276670271139,standardized_coefficient_abs
