feature,importance,kind
Sector_Energy,0.19000078784992316,native_importance
Sales,0.17461020477709996,native_importance
fx_x_sales,0.1670266613151653,native_importance
cpi_infl_x_sales,0.1629662508994428,native_importance
oil_x_sales,0.15755489652373916,native_importance
Expenses,0.12697570159137686,native_importance
Sector_FMCG,0.009513271326501899,native_importance
Sales_lag1,0.004429177455234768,native_importance
Expenses_lag1,0.002878776375472943,native_importance
Operating Profit,0.0006194686647904938,native_importance
Total Liabilities,0.0006170224388988772,native_importance
Total Assets,0.0005153306931679881,native_importance
CFO,0.0003281319827413092,native_importance
Sales_roll4_median,0.0002372290418882023,native_importance
Expenses_lag2,0.00022132993564590546,native_importance
Sales_roll4_mean,0.00013677921474297263,native_importance
Sales_lag2,6.314766486419184e-05,native_importance
Net Profit,5.203927014914073e-05,native_importance
Sales_qoq_growth,4.497108707160267e-05,native_importance
Net Cash Flow,3.365425685518979e-05,native_importance
Net Profit_qoq_growth,2.63057538123671e-05,native_importance
Sector_Auto,2.5001674943435614e-05,native_importance
CFF,2.4872356412378975e-05,native_importance
CFI,2.48050968838682e-05,native_importance
CFO_qoq_growth,2.4200155844888933e-05,native_importance
Equity,2.231033892766282e-05,native_importance
Total Assets_qoq_growth,2.2301070113051153e-05,native_importance
Operating Profit_qoq_growth,2.0574332732257738e-05,native_importance
CFF_lag1,2.030782744462053e-05,native_importance
Borrowings_qoq_growth,1.9891600529536245e-05,native_importance
Total Assets_qoq_growth_lag1,1.930124919391738e-05,native_importance
Net Cash Flow_lag1,1.8805080533157254e-05,native_importance
Borrowings_qoq_growth_lag1,1.8061706897230705e-05,native_importance
Borrowings,1.8051864032396863e-05,native_importance
repo_x_borrowings,1.7890268053793392e-05,native_importance
Net Cash Flow_lag2,1.6967245644561585e-05,native_importance
repo_x_total_assets,1.688759254252112e-05,native_importance
Sales_lag4,1.666172198912297e-05,native_importance
Equity_lag1,1.654333013410941e-05,native_importance
CFI_lag1,1.638943686897858e-05,native_importance
Operating Profit_lag1,1.59533235704076e-05,native_importance
Sales_qoq_growth_lag1,1.5830017470555644e-05,native_importance
Net Profit_roll4_std,1.5748338925536225e-05,native_importance
Sales_roll4_growth,1.553348381712601e-05,native_importance
Sector_Banking,1.5116072149023174e-05,native_importance
CFO_qoq_growth_lag1,1.4831566822909628e-05,native_importance
Net Cash Flow_lag4,1.4633367125925101e-05,native_importance
Net Profit_roll4_growth,1.4088888763501923e-05,native_importance
CFO_lag1,1.408672436828018e-05,native_importance
Sales_roll4_std,1.3781876113480894e-05,native_importance
Net Profit_lag1,1.3499596687923417e-05,native_importance
Net Profit_qoq_growth_lag1,1.3295126033718242e-05,native_importance
Operating Profit_roll4_std,1.3283321644934806e-05,native_importance
Total Liabilities_lag1,1.3186310554513185e-05,native_importance
Borrowings_lag1,1.2953711042336275e-05,native_importance
Quarter_Q1,1.2713738610294507e-05,native_importance
Operating Profit_yoy_growth,1.2647031007539997e-05,native_importance
Total Assets_roll4_std,1.2525542375074721e-05,native_importance
Net Profit_roll4_mean,1.2475035590492369e-05,native_importance
Borrowings_roll4_std,1.1801639429421736e-05,native_importance
Total Assets_roll4_growth,1.1712850566317944e-05,native_importance
Operating Profit_qoq_growth_lag1,1.1597245628736529e-05,native_importance
Total Assets_lag1,1.1538011200059006e-05,native_importance
CFO_roll4_growth,1.1509729440546005e-05,native_importance
CFO_yoy_growth,1.1370392919953772e-05,native_importance
CFO_roll4_std,1.1249868224938593e-05,native_importance
Operating Profit_roll4_mean,1.1030465588918316e-05,native_importance
CPI_Inflation_Rate,1.0977836701162714e-05,native_importance
Borrowings_yoy_growth,1.0943633012920612e-05,native_importance
Total Assets_yoy_growth,1.0760240439477707e-05,native_importance
Net Profit_roll4_median,1.057553481770818e-05,native_importance
Net Profit_lag2,1.0355248468778421e-05,native_importance
CFI_lag2,1.0076741347380111e-05,native_importance
Total Liabilities_lag4,9.88599861435604e-06,native_importance
CPI_Combined_Index_lag1,9.833140836282505e-06,native_importance
Net Profit_yoy_growth,9.816586321169058e-06,native_importance
oil_price,9.76223261963806e-06,native_importance
CPI_Inflation_Rate_lag1,9.721238573759827e-06,native_importance
Borrowings_roll4_growth,9.674145758812984e-06,native_importance
