feature,importance,kind
Sales,78945.01604450544,standardized_coefficient_abs
Sales_roll4_mean,20604.590667541524,standardized_coefficient_abs
Sales_lag1,9985.118245877316,standardized_coefficient_abs
Sales_lag2,9313.883234437102,standardized_coefficient_abs
Expenses_lag1,9052.41610472106,standardized_coefficient_abs
Expenses_lag2,8466.77045671483,standardized_coefficient_abs
Total Assets_lag1,5907.811727152084,standardized_coefficient_abs
Borrowings,4558.977361456731,standardized_coefficient_abs
Borrowings_roll4_median,3986.8461172199277,standardized_coefficient_abs
oil_x_sales,3851.3818246649553,standardized_coefficient_abs
repo_x_borrowings,3841.013726161283,standardized_coefficient_abs
Borrowings_roll4_mean,3814.5373542109937,standardized_coefficient_abs
fx_x_sales,3748.2207215391095,standardized_coefficient_abs
Equity_lag1,3522.1425451919267,standardized_coefficient_abs
Total Liabilities,2804.487725495829,standardized_coefficient_abs
Total Assets_lag2,2576.3443751867985,standardized_coefficient_abs
Total Assets,2360.566022355824,standardized_coefficient_abs
Sales_roll4_median,2246.9803602812517,standardized_coefficient_abs
Equity,2225.740527266193,standardized_coefficient_abs
CPI_Combined_Index_lag1,2166.8886129596967,standardized_coefficient_abs
repo_x_total_assets,2130.7519633761517,standardized_coefficient_abs
CPI_Combined_Index,2093.734831603887,standardized_coefficient_abs
Total Liabilities_lag1,1968.2017870211225,standardized_coefficient_abs
CFO_roll4_median,1955.4808044814467,standardized_coefficient_abs
Equity_lag2,1814.750833745835,standardized_coefficient_abs
Total Liabilities_lag4,1783.8447002056066,standardized_coefficient_abs
Total Assets_roll4_median,1667.9891702444827,standardized_coefficient_abs
Total Assets_roll4_mean,1627.8772924205482,standardized_coefficient_abs
CFO_roll4_mean,1611.8977915146882,standardized_coefficient_abs
Operating Profit_roll4_mean,1555.333083765237,standardized_coefficient_abs
Operating Profit_roll4_median,1459.0577324222118,standardized_coefficient_abs
Operating Profit_lag4,1310.183283405456,standardized_coefficient_abs
Net Profit,1279.8395239000183,standardized_coefficient_abs
Borrowings_lag4,1122.5008304525093,standardized_coefficient_abs
Net Profit_roll4_median,1112.258454188876,standardized_coefficient_abs
Operating Profit,1030.7625381608557,standardized_coefficient_abs
CPI_Inflation_Rate_lag1,1012.3956040326894,standardized_coefficient_abs
Quarter_Q2,959.9347359127946,standardized_coefficient_abs
Net Profit_lag4,909.7645308252002,standardized_coefficient_abs
Net Profit_lag2,909.692542736837,standardized_coefficient_abs
CPI_Inflation_Rate,895.8331248788106,standardized_coefficient_abs
Operating Profit_lag2,888.789136425319,standardized_coefficient_abs
cpi_infl_x_sales,817.4330676595806,standardized_coefficient_abs
oil_price_lag1,691.2720988678225,standardized_coefficient_abs
oil_price,658.5836069988968,standardized_coefficient_abs
Operating Profit_lag1,649.9290667533666,standardized_coefficient_abs
CPI_Combined_Index_lag4,588.4153616314857,standardized_coefficient_abs
CFF,570.4836378690153,standardized_coefficient_abs
Total Liabilities_lag2,498.4216150611572,standardized_coefficient_abs
CFO_lag2,467.1540636082096,standardized_coefficient_abs
Sales_qoq_growth,450.15371352640597,standardized_coefficient_abs
Net Profit_roll4_mean,414.73898547694705,standardized_coefficient_abs
Borrowings_lag1,395.3812947321932,standardized_coefficient_abs
