feature,importance,kind
Sales,409.0,native_importance
Sales_qoq_growth,282.0,native_importance
Net Cash Flow,256.0,native_importance
Expenses,242.0,native_importance
Operating Profit,240.0,native_importance
fx_x_sales,219.0,native_importance
CFF,219.0,native_importance
Net Profit,216.0,native_importance
Total Assets_qoq_growth,209.0,native_importance
Borrowings_qoq_growth,204.0,native_importance
CFO_qoq_growth,200.0,native_importance
Operating Profit_qoq_growth,191.0,native_importance
cpi_infl_x_sales,183.0,native_importance
CFI,181.0,native_importance
oil_x_sales,179.0,native_importance
Net Profit_qoq_growth,167.0,native_importance
Sales_qoq_growth_lag1,156.0,native_importance
Borrowings_qoq_growth_lag1,152.0,native_importance
Equity,148.0,native_importance
CFO_qoq_growth_lag1,147.0,native_importance
Total Liabilities,147.0,native_importance
Sales_roll4_std,144.0,native_importance
Operating Profit_qoq_growth_lag1,143.0,native_importance
Net Profit_qoq_growth_lag1,139.0,native_importance
CFO_roll4_std,138.0,native_importance
CFI_lag1,131.0,native_importance
Net Profit_lag1,131.0,native_importance
Net Cash Flow_lag1,126.0,native_importance
CFO,123.0,native_importance
Total Assets_qoq_growth_lag1,123.0,native_importance
CFF_lag1,121.0,native_importance
Net Profit_roll4_std,115.0,native_importance
Operating Profit_roll4_std,113.0,native_importance
Borrowings,112.0,native_importance
Operating Profit_lag1,109.0,native_importance
Total Assets_roll4_std,104.0,native_importance
Net Cash Flow_lag2,93.0,native_importance
Equity_lag1,89.0,native_importance
CFO_yoy_growth,86.0,native_importance
Borrowings_roll4_std,85.0,native_importance
Total Assets,84.0,native_importance
Borrowings_lag1,80.0,native_importance
CFI_lag2,80.0,native_importance
Total Liabilities_lag1,79.0,native_importance
CFO_roll4_growth,73.0,native_importance
Borrowings_yoy_growth,69.0,native_importance
CFO_lag1,68.0,native_importance
Sales_lag1,67.0,native_importance
repo_x_borrowings,66.0,native_importance
Operating Profit_yoy_growth,66.0,native_importance
repo_x_total_assets,64.0,native_importance
Sales_roll4_growth,64.0,native_importance
Expenses_lag1,64.0,native_importance
Total Assets_yoy_growth,63.0,native_importance
Sales_yoy_growth,61.0,native_importance
Operating Profit_lag2,58.0,native_importance
Net Profit_yoy_growth,58.0,native_importance
Net Profit_roll4_growth,56.0,native_importance
Total Assets_roll4_growth,52.0,native_importance
Total Liabilities_lag2,49.0,native_importance
Net Profit_lag2,48.0,native_importance
Expenses_lag2,48.0,native_importance
CFF_lag2,46.0,native_importance
Expenses_lag4,43.0,native_importance
Total Assets_lag1,43.0,native_importance
Operating Profit_lag4,41.0,native_importance
Sales_lag4,41.0,native_importance
Borrowings_roll4_growth,39.0,native_importance
Operating Profit_roll4_growth,36.0,native_importance
Equity_lag2,36.0,native_importance
CFI_lag4,35.0,native_importance
Net Profit_lag4,34.0,native_importance
Net Profit_roll4_median,33.0,native_importance
Sales_roll4_mean,31.0,native_importance
Net Cash Flow_lag4,31.0,native_importance
CFF_lag4,31.0,native_importance
CFO_lag2,31.0,native_importance
Equity_lag4,30.0,native_importance
Net Profit_roll4_mean,28.0,native_importance
Borrowings_lag4,27.0,native_importance
Borrowings_lag2,27.0,native_importance
CFO_roll4_mean,26.0,native_importance
CFO_roll4_median,26.0,native_importance
Borrowings_roll4_mean,22.0,native_importance
Sales_roll4_median,21.0,native_importance
Sales_lag2,20.0,native_importance
Total Assets_lag4,19.0,native_importance
Operating Profit_roll4_median,18.0,native_importance
Operating Profit_roll4_mean,17.0,native_importance
Total Liabilities_lag4,17.0,native_importance
Borrowings_roll4_median,15.0,native_importance
Total Assets_lag2,15.0,native_importance
Total Assets_roll4_mean,13.0,native_importance
CPI_Inflation_Rate_lag1,12.0,native_importance
Total Assets_roll4_median,11.0,native_importance
Sector_Auto,11.0,native_importance
Sector_Tech,9.0,native_importance
CFO_lag4,9.0,native_importance
exchange_rate_lag1,8.0,native_importance
Sector_FMCG,8.0,native_importance
oil_price_lag1,7.0,native_importance
Repo_Rate_lag1,7.0,native_importance
oil_price,6.0,native_importance
Reverse_Repo_Rate,6.0,native_importance
Repo_Rate,6.0,native_importance
CPI_Combined_Index,5.0,native_importance
CPI_Inflation_Rate,4.0,native_importance
Sector_Energy,3.0,native_importance
Quarter_Q2,2.0,native_importance
CPI_Inflation_Rate_lag4,2.0,native_importance
Reverse_Repo_Rate_lag1,1.0,native_importance
CPI_Combined_Index_lag1,1.0,native_importance
Sector_Banking,1.0,native_importance
Quarter_Q1,0.0,native_importance
Quarter_Q4,0.0,native_importance
Quarter_Q3,0.0,native_importance
WPI,0.0,native_importance
CPI_Combined_Index_lag4,0.0,native_importance
exchange_rate,0.0,native_importance
Reverse_Repo_Rate_lag4,0.0,native_importance
Repo_Rate_lag4,0.0,native_importance
exchange_rate_lag4,0.0,native_importance
oil_price_lag4,0.0,native_importance
WPI_lag1,0.0,native_importance
WPI_lag4,0.0,native_importance
