feature,importance,kind
Sales_lag2,1005591213.3359336,standardized_coefficient_abs
Expenses_lag2,905601137.2397363,standardized_coefficient_abs
Sales_lag1,619844425.6442858,standardized_coefficient_abs
Expenses_lag1,556192743.223578,standardized_coefficient_abs
CFO_lag4,360187981.720189,standardized_coefficient_abs
Sales_lag4,332412479.6714146,standardized_coefficient_abs
Sales,303392390.424797,standardized_coefficient_abs
Expenses_lag4,301653868.10378695,standardized_coefficient_abs
Expenses,272052835.9945261,standardized_coefficient_abs
CFI_lag4,205020871.6489606,standardized_coefficient_abs
CFO,192969547.77675584,standardized_coefficient_abs
CFO_lag1,171258403.61152184,standardized_coefficient_abs
CFO_lag2,134587128.55788612,standardized_coefficient_abs
Operating Profit_lag2,130885070.89041269,standardized_coefficient_abs
CFI,110967701.38361321,standardized_coefficient_abs
Net Cash Flow_lag4,100858782.2562552,standardized_coefficient_abs
CFI_lag1,98241649.04159126,standardized_coefficient_abs
Operating Profit_lag1,81832504.81147215,standardized_coefficient_abs
CFF_lag4,81163045.47391713,standardized_coefficient_abs
CFI_lag2,76670450.06584303,standardized_coefficient_abs
Net Cash Flow,55298439.92415391,standardized_coefficient_abs
Net Cash Flow_lag1,48987871.2656364,standardized_coefficient_abs
CFF,43612388.57223322,standardized_coefficient_abs
Operating Profit_lag4,42058741.52559395,standardized_coefficient_abs
Operating Profit,40725921.61785765,standardized_coefficient_abs
CFF_lag1,38750953.067852676,standardized_coefficient_abs
Net Cash Flow_lag2,38614458.737502694,standardized_coefficient_abs
CFF_lag2,30514203.928606898,standardized_coefficient_abs
oil_price_lag1,6300978.03601364,standardized_coefficient_abs
Quarter_Q1,5923308.625867762,standardized_coefficient_abs
Quarter_Q4,5397495.449249564,standardized_coefficient_abs
CPI_Inflation_Rate_lag1,4331148.5348679125,standardized_coefficient_abs
oil_price,3795812.9076552056,standardized_coefficient_abs
CPI_Inflation_Rate,3489326.104645308,standardized_coefficient_abs
Quarter_Q3,3468565.4532551058,standardized_coefficient_abs
CPI_Combined_Index_lag1,3210004.1999754906,standardized_coefficient_abs
WPI_lag1,3109893.7528443336,standardized_coefficient_abs
Reverse_Repo_Rate_lag4,2033108.5696230978,standardized_coefficient_abs
Repo_Rate_lag4,1910418.8466727585,standardized_coefficient_abs
WPI,1882043.8968443703,standardized_coefficient_abs
Quarter_Q2,1726139.9755957592,standardized_coefficient_abs
CPI_Combined_Index,1405121.6386531368,standardized_coefficient_abs
WPI_lag4,1335735.9778383672,standardized_coefficient_abs
