feature,importance,kind
Sales,0.4916068569048057,native_importance
fx_x_sales,0.4524390205458866,native_importance
oil_x_sales,0.04599864462905311,native_importance
Sector_FMCG,0.004745144715155706,native_importance
Expenses,0.0026347846392554535,native_importance
cpi_infl_x_sales,0.00102563241670376,native_importance
Sector_Energy,0.0004479847676957651,native_importance
Sales_qoq_growth,5.594728355840378e-05,native_importance
Net Cash Flow,4.5729842603443557e-05,native_importance
Net Profit,3.15762923612744e-05,native_importance
CFO_qoq_growth,2.9741703955880606e-05,native_importance
Net Profit_qoq_growth,2.8287787390490566e-05,native_importance
CFI,2.7594826221831193e-05,native_importance
Equity,2.5254074830872373e-05,native_importance
CFF,2.5218023943752856e-05,native_importance
Borrowings_qoq_growth,2.2553460648530418e-05,native_importance
Total Assets_qoq_growth,2.240264663462372e-05,native_importance
Total Liabilities,2.0626691557499646e-05,native_importance
Operating Profit_qoq_growth,2.0440188571700292e-05,native_importance
CFF_lag1,2.033508875112244e-05,native_importance
Operating Profit,1.964278151414243e-05,native_importance
Total Assets_qoq_growth_lag1,1.9216376200983326e-05,native_importance
Equity_lag1,1.850387699745291e-05,native_importance
Sales_lag1,1.824115280724695e-05,native_importance
CFO,1.7812845352498697e-05,native_importance
Net Cash Flow_lag1,1.777160340922171e-05,native_importance
Borrowings_qoq_growth_lag1,1.6580583938235145e-05,native_importance
Expenses_lag1,1.656171357445358e-05,native_importance
Net Cash Flow_lag2,1.5800963338147223e-05,native_importance
Net Profit_roll4_std,1.534937151039532e-05,native_importance
repo_x_total_assets,1.4495457721302132e-05,native_importance
CFI_lag1,1.3570265373087505e-05,native_importance
Net Profit_qoq_growth_lag1,1.3345389047916384e-05,native_importance
Operating Profit_roll4_std,1.3158861172616748e-05,native_importance
Sales_qoq_growth_lag1,1.2682543092622602e-05,native_importance
Total Assets,1.2664145102980559e-05,native_importance
Borrowings_lag1,1.2248729799527915e-05,native_importance
Borrowings_roll4_std,1.2112456178089053e-05,native_importance
Borrowings,1.204871964337049e-05,native_importance
Total Liabilities_lag1,1.1960746214341551e-05,native_importance
CFO_qoq_growth_lag1,1.1864002942415853e-05,native_importance
Sales_roll4_growth,1.1074676782860578e-05,native_importance
repo_x_borrowings,1.0917552380205013e-05,native_importance
Operating Profit_qoq_growth_lag1,1.0631511122569098e-05,native_importance
Net Profit_lag1,1.0617608052164051e-05,native_importance
Operating Profit_lag1,1.0291413482180925e-05,native_importance
Sales_roll4_std,1.0036754205809461e-05,native_importance
Net Profit_roll4_growth,1.0025156069320043e-05,native_importance
CFO_roll4_std,9.982593027313596e-06,native_importance
Total Assets_roll4_std,9.86967149306752e-06,native_importance
Operating Profit_yoy_growth,9.805413145022254e-06,native_importance
Total Assets_lag1,9.73507268203072e-06,native_importance
Net Cash Flow_lag4,9.521523686809132e-06,native_importance
Net Profit_yoy_growth,9.039139521388911e-06,native_importance
CFO_lag1,8.83751850641881e-06,native_importance
Borrowings_yoy_growth,8.415440580623013e-06,native_importance
Total Assets_yoy_growth,8.279015931525262e-06,native_importance
Net Profit_lag2,8.008496799262509e-06,native_importance
Expenses_lag4,7.965593539716304e-06,native_importance
Expenses_lag2,7.845669622837126e-06,native_importance
CFI_lag2,7.826847819384182e-06,native_importance
Equity_lag2,7.811523747058542e-06,native_importance
CFO_roll4_growth,7.343912339534264e-06,native_importance
Total Assets_roll4_growth,7.292225502944635e-06,native_importance
Net Profit_roll4_mean,6.656327559710415e-06,native_importance
Equity_lag4,6.472371488386579e-06,native_importance
Sales_roll4_median,6.387539219393656e-06,native_importance
Total Liabilities_lag2,6.269794377584986e-06,native_importance
CFF_lag2,6.17573890417945e-06,native_importance
Sales_lag2,6.102826279434422e-06,native_importance
CFO_yoy_growth,5.9055803982327825e-06,native_importance
Operating Profit_lag2,5.701808088169947e-06,native_importance
Sales_lag4,5.687612357854997e-06,native_importance
Borrowings_roll4_growth,5.280431143891569e-06,native_importance
Borrowings_lag4,5.252462501510894e-06,native_importance
Sales_yoy_growth,5.233193467953527e-06,native_importance
Net Profit_roll4_median,5.114166207334221e-06,native_importance
Sales_roll4_mean,5.109614446713424e-06,native_importance
Total Liabilities_lag4,4.957338597832581e-06,native_importance
Borrowings_roll4_median,4.822771062367631e-06,native_importance
Borrowings_roll4_mean,4.739271295554183e-06,native_importance
Operating Profit_roll4_mean,4.737992684374667e-06,native_importance
Net Profit_lag4,4.708728073934484e-06,native_importance
CFF_lag4,4.685347487941692e-06,native_importance
Borrowings_lag2,4.6022167063647874e-06,native_importance
oil_price_lag1,4.586531095298346e-06,native_importance
CFO_lag2,4.279907744930219e-06,native_importance
Operating Profit_roll4_median,4.2546498142085806e-06,native_importance
Total Assets_lag2,4.239417801028132e-06,native_importance
CFI_lag4,4.09937897666648e-06,native_importance
Total Assets_lag4,3.86131844271776e-06,native_importance
CFO_roll4_median,3.806785627848794e-06,native_importance
CFO_lag4,3.7198142787733863e-06,native_importance
CFO_roll4_mean,3.7058310053532266e-06,native_importance
Total Assets_roll4_median,3.3882787143070896e-06,native_importance
Total Assets_roll4_mean,3.377875399121049e-06,native_importance
oil_price,3.3703377341340815e-06,native_importance
exchange_rate_lag1,3.3501440700330884e-06,native_importance
CPI_Inflation_Rate_lag1,3.032686841893207e-06,native_importance
Operating Profit_roll4_growth,2.977454010799926e-06,native_importance
Reverse_Repo_Rate,2.6033154670518147e-06,native_importance
Reverse_Repo_Rate_lag1,2.527799824450305e-06,native_importance
Operating Profit_lag4,2.3919716939085663e-06,native_importance
CPI_Combined_Index_lag1,2.363529517946671e-06,native_importance
CPI_Inflation_Rate,2.1209221176613574e-06,native_importance
Repo_Rate_lag1,1.7260393780909366e-06,native_importance
WPI_lag1,1.614023144613908e-06,native_importance
CPI_Combined_Index,1.5144779102240722e-06,native_importance
WPI,1.4782583794624228e-06,native_importance
Repo_Rate,1.3751374443606953e-06,native_importance
exchange_rate,1.2917499873293874e-06,native_importance
CPI_Combined_Index_lag4,7.139359202752291e-07,native_importance
Quarter_Q3,7.042431884466346e-07,native_importance
Reverse_Repo_Rate_lag4,6.921010306794362e-07,native_importance
Quarter_Q2,6.860094027185584e-07,native_importance
Repo_Rate_lag4,6.758885907357032e-07,native_importance
Sector_Tech,6.56213105515856e-07,native_importance
CPI_Inflation_Rate_lag4,6.554978630111541e-07,native_importance
exchange_rate_lag4,6.158422448584086e-07,native_importance
oil_price_lag4,5.629820846022708e-07,native_importance
Quarter_Q1,5.564918935289631e-07,native_importance
WPI_lag4,4.3010542064714274e-07,native_importance
Sector_Banking,3.9725065806380407e-07,native_importance
Quarter_Q4,3.18213397180687e-07,native_importance
Sector_Auto,9.101187211758009e-08,native_importance
