feature,importance,kind
Expenses,21289.280154330983,standardized_coefficient_abs
Sales,19324.987263124338,standardized_coefficient_abs
fx_x_sales,18120.813811803513,standardized_coefficient_abs
oil_x_sales,10676.218867260759,standardized_coefficient_abs
cpi_infl_x_sales,6422.82225948231,standardized_coefficient_abs
Sales_roll4_mean,5325.577227868214,standardized_coefficient_abs
Expenses_lag2,4289.468023503784,standardized_coefficient_abs
Sales_lag2,3733.7336330489134,standardized_coefficient_abs
Sales_roll4_median,2996.847453980308,standardized_coefficient_abs
Total Assets_lag1,2570.6645219245015,standardized_coefficient_abs
Borrowings_roll4_median,2160.7796553606545,standardized_coefficient_abs
Operating Profit,2156.932254543983,standardized_coefficient_abs
Equity_lag1,1959.9395495978722,standardized_coefficient_abs
Borrowings_roll4_mean,1957.8084662602942,standardized_coefficient_abs
repo_x_total_assets,1952.1048539860915,standardized_coefficient_abs
Total Liabilities_lag4,1572.0164742844704,standardized_coefficient_abs
Net Profit,1387.7737560021176,standardized_coefficient_abs
Total Liabilities,1371.3873714188874,standardized_coefficient_abs
CFO_roll4_median,1327.190633417618,standardized_coefficient_abs
Operating Profit_lag4,1282.978336032925,standardized_coefficient_abs
Equity,1227.690245386552,standardized_coefficient_abs
Equity_lag2,1164.9358601010542,standardized_coefficient_abs
Borrowings,1067.447872759134,standardized_coefficient_abs
Operating Profit_roll4_median,1028.0334604566233,standardized_coefficient_abs
Operating Profit_lag2,984.8050150482396,standardized_coefficient_abs
Borrowings_lag4,969.4643982908005,standardized_coefficient_abs
CFO_roll4_mean,873.5914736733567,standardized_coefficient_abs
Net Profit_roll4_median,846.6804709965317,standardized_coefficient_abs
Net Profit_lag4,836.019408312408,standardized_coefficient_abs
Net Profit_lag2,821.8429230088558,standardized_coefficient_abs
Total Assets_roll4_mean,801.3425330425625,standardized_coefficient_abs
Operating Profit_lag1,697.1259425174374,standardized_coefficient_abs
repo_x_borrowings,645.9173183492495,standardized_coefficient_abs
Operating Profit_roll4_mean,582.0780245878294,standardized_coefficient_abs
Total Assets_lag2,560.6280313787486,standardized_coefficient_abs
CFF,541.6280843411672,standardized_coefficient_abs
CFI_lag2,493.15964589464477,standardized_coefficient_abs
Sales_qoq_growth,491.11922715193685,standardized_coefficient_abs
Borrowings_lag1,479.82596728043825,standardized_coefficient_abs
Total Assets,434.6612334132865,standardized_coefficient_abs
CFI_lag4,399.1729873392276,standardized_coefficient_abs
CFI,374.68050709646633,standardized_coefficient_abs
Operating Profit_yoy_growth,358.6557607283023,standardized_coefficient_abs
Sector_Auto,347.34244480615877,standardized_coefficient_abs
CFO_lag2,334.82291780951454,standardized_coefficient_abs
CFO_yoy_growth,304.37408040268997,standardized_coefficient_abs
Operating Profit_qoq_growth,303.3500559172489,standardized_coefficient_abs
Sales_roll4_std,300.8145856307533,standardized_coefficient_abs
Equity_lag4,298.91618115768057,standardized_coefficient_abs
Net Profit_lag1,291.5002367414266,standardized_coefficient_abs
Borrowings_roll4_std,240.82301197654235,standardized_coefficient_abs
Total Assets_roll4_median,231.7384280048717,standardized_coefficient_abs
CFO_qoq_growth,228.1367372029765,standardized_coefficient_abs
Sector_Energy,224.18426125609594,standardized_coefficient_abs
Borrowings_qoq_growth,217.9588883691209,standardized_coefficient_abs
Operating Profit_roll4_growth,210.31746009798792,standardized_coefficient_abs
Sector_Tech,198.33829881535212,standardized_coefficient_abs
Net Cash Flow,186.07780567205188,standardized_coefficient_abs
CFO_lag4,181.63750807769276,standardized_coefficient_abs
Net Cash Flow_lag1,178.5938980425861,standardized_coefficient_abs
CFO_roll4_growth,174.81259238843373,standardized_coefficient_abs
Sales_roll4_growth,174.59213526433112,standardized_coefficient_abs
Sales_lag4,172.24869927320202,standardized_coefficient_abs
CFO_roll4_std,161.10026215603435,standardized_coefficient_abs
Net Profit_qoq_growth,152.31624431169018,standardized_coefficient_abs
CFO,146.3057374242949,standardized_coefficient_abs
Operating Profit_qoq_growth_lag1,145.1313187868729,standardized_coefficient_abs
Sales_qoq_growth_lag1,133.16568080230132,standardized_coefficient_abs
CFF_lag1,131.6315517372557,standardized_coefficient_abs
Sector_Banking,120.49781354158097,standardized_coefficient_abs
Net Profit_yoy_growth,117.42238865952935,standardized_coefficient_abs
oil_price,115.98422619831426,standardized_coefficient_abs
Total Assets_lag4,109.74440305952986,standardized_coefficient_abs
Net Cash Flow_lag2,108.04292449728726,standardized_coefficient_abs
CFF_lag2,107.6961801751065,standardized_coefficient_abs
CFF_lag4,105.41130675572055,standardized_coefficient_abs
Total Assets_roll4_growth,104.01069347964258,standardized_coefficient_abs
Total Assets_yoy_growth,101.48842879810786,standardized_coefficient_abs
Total Assets_qoq_growth,92.8121415531837,standardized_coefficient_abs
CFO_qoq_growth_lag1,91.23122897831911,standardized_coefficient_abs
Net Profit_roll4_growth,86.91522569960256,standardized_coefficient_abs
Net Cash Flow_lag4,85.59993679670555,standardized_coefficient_abs
Quarter_Q4,80.8781233949783,standardized_coefficient_abs
Borrowings_roll4_growth,79.28022488258844,standardized_coefficient_abs
exchange_rate,79.25197504603196,standardized_coefficient_abs
Quarter_Q3,75.93481213777113,standardized_coefficient_abs
Borrowings_qoq_growth_lag1,70.88806241414171,standardized_coefficient_abs
WPI,69.38501971121384,standardized_coefficient_abs
Quarter_Q1,67.75792412265272,standardized_coefficient_abs
CPI_Combined_Index,66.46600244485451,standardized_coefficient_abs
Borrowings_yoy_growth,64.09883191916099,standardized_coefficient_abs
Total Assets_roll4_std,64.06834628807572,standardized_coefficient_abs
Quarter_Q2,54.47103698234313,standardized_coefficient_abs
Reverse_Repo_Rate_lag1,54.248673434801766,standardized_coefficient_abs
Net Profit_roll4_mean,53.0521792576711,standardized_coefficient_abs
CPI_Inflation_Rate_lag1,52.0261014934458,standardized_coefficient_abs
Net Profit_roll4_std,49.68164275908465,standardized_coefficient_abs
CFO_lag1,49.586385797159814,standardized_coefficient_abs
Sales_lag1,48.76605888403298,standardized_coefficient_abs
Expenses_lag1,46.71284452692836,standardized_coefficient_abs
Sector_FMCG,45.31769840658831,standardized_coefficient_abs
CFI_lag1,45.185218214981646,standardized_coefficient_abs
Repo_Rate_lag1,43.37245682370105,standardized_coefficient_abs
Borrowings_lag2,43.00404708810859,standardized_coefficient_abs
Net Profit_qoq_growth_lag1,38.542780268965906,standardized_coefficient_abs
Total Liabilities_lag1,38.203029459781,standardized_coefficient_abs
exchange_rate_lag4,36.88977942531811,standardized_coefficient_abs
Operating Profit_roll4_std,36.035841370490935,standardized_coefficient_abs
Sales_yoy_growth,35.140614437756675,standardized_coefficient_abs
oil_price_lag4,33.830914233250425,standardized_coefficient_abs
oil_price_lag1,33.72069039067032,standardized_coefficient_abs
CPI_Inflation_Rate,31.535024058108707,standardized_coefficient_abs
Reverse_Repo_Rate,26.428742899918255,standardized_coefficient_abs
Repo_Rate,21.73706178703644,standardized_coefficient_abs
WPI_lag1,19.595989697795083,standardized_coefficient_abs
Total Assets_qoq_growth_lag1,19.18218676201545,standardized_coefficient_abs
Expenses_lag4,12.608796013766728,standardized_coefficient_abs
CPI_Inflation_Rate_lag4,12.511153457460127,standardized_coefficient_abs
CPI_Combined_Index_lag1,11.446004256095023,standardized_coefficient_abs
exchange_rate_lag1,10.129063858073145,standardized_coefficient_abs
Reverse_Repo_Rate_lag4,8.110413497766231,standardized_coefficient_abs
Repo_Rate_lag4,5.541418913664173,standardized_coefficient_abs
CPI_Combined_Index_lag4,3.915187392524314,standardized_coefficient_abs
Total Liabilities_lag2,3.3404096255334954,standardized_coefficient_abs
WPI_lag4,2.572049963627107,standardized_coefficient_abs
