feature,importance,kind
fx_x_sales,0.5281032919883728,native_importance
Sector_FMCG,0.41949012875556946,native_importance
Sales,0.03846917673945427,native_importance
Sector_Energy,0.005049899220466614,native_importance
oil_x_sales,0.004218716640025377,native_importance
cpi_infl_x_sales,0.002382649341598153,native_importance
Expenses,0.001160501386038959,native_importance
Total Assets_roll4_mean,8.579650602769107e-05,native_importance
Sales_lag4,5.108598270453513e-05,native_importance
Net Profit_roll4_growth,4.316235936130397e-05,native_importance
Operating Profit_roll4_median,3.0361647077370435e-05,native_importance
Sales_roll4_mean,2.741050411714241e-05,native_importance
Total Liabilities_lag2,2.5868539523798972e-05,native_importance
Sales_qoq_growth,2.335518911422696e-05,native_importance
Sales_roll4_growth,2.264177965116687e-05,native_importance
Sales_lag2,1.9971179426647723e-05,native_importance
Expenses_lag1,1.9860732209053822e-05,native_importance
Borrowings_roll4_growth,1.890037310658954e-05,native_importance
Net Profit_lag4,1.8842298231902532e-05,native_importance
Net Profit_roll4_mean,1.8587872546049766e-05,native_importance
CFI_lag4,1.857946699601598e-05,native_importance
Net Cash Flow_lag4,1.8087264834321104e-05,native_importance
Net Cash Flow_lag2,1.563746809551958e-05,native_importance
CFO_roll4_std,1.5304678527172655e-05,native_importance
CFI_lag2,1.5153418644331396e-05,native_importance
CFO_yoy_growth,1.5011570212664083e-05,native_importance
CFF_lag1,1.3863875210518017e-05,native_importance
Equity_lag1,1.2974734090676066e-05,native_importance
Total Assets_roll4_growth,1.2868254998466e-05,native_importance
Borrowings_lag2,1.2558255548356101e-05,native_importance
CFI_lag1,1.2460485777410213e-05,native_importance
Net Profit_qoq_growth_lag1,1.228555993293412e-05,native_importance
Sales_yoy_growth,1.198122299683746e-05,native_importance
Total Liabilities_lag4,1.1904890925507061e-05,native_importance
Sales_roll4_median,1.1513384379213676e-05,native_importance
Total Assets_roll4_std,1.1248345799685922e-05,native_importance
Equity_lag2,1.1137043657072354e-05,native_importance
Operating Profit_roll4_std,1.1092722161265556e-05,native_importance
Net Profit_roll4_std,1.0890737939917017e-05,native_importance
Borrowings_lag1,1.0783021025417838e-05,native_importance
CFO_lag4,1.0779001058836002e-05,native_importance
Total Assets_lag1,1.0740658581198659e-05,native_importance
Total Assets_lag4,1.0694990123738535e-05,native_importance
Total Liabilities_lag1,1.0603587725199759e-05,native_importance
oil_price_lag1,1.0511738764762413e-05,native_importance
Sales_qoq_growth_lag1,1.0477496289240662e-05,native_importance
