feature,importance,kind
repo_x_total_assets,282749.67692684365,standardized_coefficient_abs
Total Assets,280183.9012803166,standardized_coefficient_abs
Equity,149156.86605954103,standardized_coefficient_abs
Total Liabilities,137717.72005890915,standardized_coefficient_abs
Total Assets_lag1,83602.45028871113,standardized_coefficient_abs
Borrowings_lag1,59528.08433862619,standardized_coefficient_abs
Equity_lag2,55073.62703279778,standardized_coefficient_abs
repo_x_borrowings,39762.48147686989,standardized_coefficient_abs
Total Liabilities_lag4,39066.341362099185,standardized_coefficient_abs
Borrowings,34808.70460609042,standardized_coefficient_abs
Total Assets_roll4_mean,34059.84882256743,standardized_coefficient_abs
Net Profit_roll4_median,32686.93422793359,standardized_coefficient_abs
Total Liabilities_lag2,31889.065265436642,standardized_coefficient_abs
Total Assets_roll4_median,25411.99161082412,standardized_coefficient_abs
Total Assets_lag4,23897.218881433517,standardized_coefficient_abs
Total Assets_lag2,17807.91020720864,standardized_coefficient_abs
Borrowings_lag4,17369.25720402618,standardized_coefficient_abs
CFI_lag2,13676.302684191482,standardized_coefficient_abs
CFI,13408.411726928378,standardized_coefficient_abs
Operating Profit_roll4_mean,12943.391999353185,standardized_coefficient_abs
Equity_lag4,12276.006804877828,standardized_coefficient_abs
Total Liabilities_lag1,11457.841509623142,standardized_coefficient_abs
Net Cash Flow_lag4,11268.39257914728,standardized_coefficient_abs
Net Cash Flow,9696.926039564081,standardized_coefficient_abs
Net Cash Flow_lag1,9666.849833507073,standardized_coefficient_abs
Operating Profit_lag1,9043.832043893774,standardized_coefficient_abs
Operating Profit_roll4_median,8812.537852019803,standardized_coefficient_abs
Net Cash Flow_lag2,8668.847749761757,standardized_coefficient_abs
CFI_lag1,8613.312978320682,standardized_coefficient_abs
Net Profit_lag2,8583.839985176859,standardized_coefficient_abs
Net Profit,8442.903000060955,standardized_coefficient_abs
Operating Profit_lag4,8383.425915147744,standardized_coefficient_abs
Net Profit_lag4,8222.539615245949,standardized_coefficient_abs
Sales_roll4_mean,7956.159407110307,standardized_coefficient_abs
CFO_roll4_std,6744.095228316926,standardized_coefficient_abs
Operating Profit_roll4_growth,6628.457331531316,standardized_coefficient_abs
Total Assets_qoq_growth_lag1,6515.126295359284,standardized_coefficient_abs
Operating Profit_qoq_growth,6259.769410283758,standardized_coefficient_abs
Operating Profit_yoy_growth,6208.626940200036,standardized_coefficient_abs
Net Profit_roll4_std,6051.441406288032,standardized_coefficient_abs
CFO,5744.478357382486,standardized_coefficient_abs
Sales_lag1,5586.733939986554,standardized_coefficient_abs
oil_x_sales,5483.7679052203775,standardized_coefficient_abs
CFO_lag2,5472.597271839574,standardized_coefficient_abs
Borrowings_roll4_growth,5232.441412868041,standardized_coefficient_abs
Expenses_lag1,4924.754497819622,standardized_coefficient_abs
CFI_lag4,4675.593994978697,standardized_coefficient_abs
Net Profit_roll4_mean,4513.298318849976,standardized_coefficient_abs
Borrowings_lag2,4370.585274807138,standardized_coefficient_abs
CFO_roll4_mean,4297.300240963995,standardized_coefficient_abs
Sales_roll4_std,4286.338964745332,standardized_coefficient_abs
Total Assets_roll4_std,4029.3810199494083,standardized_coefficient_abs
CFO_qoq_growth,4028.8515225554574,standardized_coefficient_abs
Total Assets_qoq_growth,3833.6170441630406,standardized_coefficient_abs
Sales_yoy_growth,3765.69671455002,standardized_coefficient_abs
Borrowings_roll4_median,3648.106425220516,standardized_coefficient_abs
CFO_qoq_growth_lag1,3618.486482908753,standardized_coefficient_abs
CFF,3592.1629491275676,standardized_coefficient_abs
Sector_Energy,3533.537480558694,standardized_coefficient_abs
CFF_lag4,3512.5289999398597,standardized_coefficient_abs
Sales_qoq_growth,3339.8176609042685,standardized_coefficient_abs
Net Profit_lag1,3045.7937310485163,standardized_coefficient_abs
Operating Profit_qoq_growth_lag1,2883.577738780873,standardized_coefficient_abs
Operating Profit_lag2,2832.824401625207,standardized_coefficient_abs
CFO_yoy_growth,2617.275733625693,standardized_coefficient_abs
CFO_lag1,2391.2117582045607,standardized_coefficient_abs
Total Assets_yoy_growth,2383.8599250603606,standardized_coefficient_abs
Borrowings_qoq_growth_lag1,2318.16630582703,standardized_coefficient_abs
Operating Profit_roll4_std,2267.7726435734908,standardized_coefficient_abs
Sector_Tech,2112.7763870704457,standardized_coefficient_abs
Total Assets_roll4_growth,2074.279279428971,standardized_coefficient_abs
Sector_Auto,1991.5041902244225,standardized_coefficient_abs
Borrowings_roll4_std,1931.6929654233363,standardized_coefficient_abs
Borrowings_roll4_mean,1918.9799013820502,standardized_coefficient_abs
Expenses_lag2,1864.0352961725316,standardized_coefficient_abs
CFO_roll4_median,1769.0130097272793,standardized_coefficient_abs
Sales_roll4_growth,1651.8629916015268,standardized_coefficient_abs
Net Profit_qoq_growth,1607.0106022130908,standardized_coefficient_abs
CFO_roll4_growth,1464.5359751294693,standardized_coefficient_abs
Expenses_lag4,1423.6984147848304,standardized_coefficient_abs
Borrowings_qoq_growth,1394.7474310073328,standardized_coefficient_abs
Sales_lag2,1370.6176486935294,standardized_coefficient_abs
