feature,importance,kind
Total Assets,895030.2044871245,standardized_coefficient_abs
Sales,372467.12535567454,standardized_coefficient_abs
repo_x_borrowings,290945.39601771097,standardized_coefficient_abs
Sales_roll4_mean,286616.0407119183,standardized_coefficient_abs
fx_x_sales,276058.01227079093,standardized_coefficient_abs
Borrowings,252956.50449284393,standardized_coefficient_abs
Sales_roll4_median,226284.03644640767,standardized_coefficient_abs
Total Assets_roll4_mean,178301.16223648697,standardized_coefficient_abs
Net Profit_roll4_median,143961.77270821133,standardized_coefficient_abs
Total Assets_roll4_median,115639.52616842435,standardized_coefficient_abs
repo_x_total_assets,114734.31319817691,standardized_coefficient_abs
cpi_infl_x_sales,113741.63636310266,standardized_coefficient_abs
Operating Profit_roll4_mean,93909.61497495911,standardized_coefficient_abs
Borrowings_lag1,77175.56867716015,standardized_coefficient_abs
Total Liabilities_lag1,74998.54786211907,standardized_coefficient_abs
Total Liabilities,72714.39222189074,standardized_coefficient_abs
Total Assets_lag2,70396.62197116633,standardized_coefficient_abs
Operating Profit_lag2,69556.31737302484,standardized_coefficient_abs
Borrowings_roll4_median,63813.89015608761,standardized_coefficient_abs
Equity_lag1,58784.45527348979,standardized_coefficient_abs
Total Assets_lag1,54148.32997623534,standardized_coefficient_abs
Borrowings_roll4_mean,49962.65618685078,standardized_coefficient_abs
Sales_lag1,45596.55371807861,standardized_coefficient_abs
Net Profit_roll4_mean,44166.4593309303,standardized_coefficient_abs
Net Profit_lag2,44094.17096219197,standardized_coefficient_abs
Borrowings_lag2,41819.64100918064,standardized_coefficient_abs
Equity,39832.70054022338,standardized_coefficient_abs
Total Liabilities_lag4,39190.60663216806,standardized_coefficient_abs
Borrowings_lag4,32079.128452934186,standardized_coefficient_abs
Operating Profit_roll4_median,30355.44102397156,standardized_coefficient_abs
Equity_lag2,30117.60678585754,standardized_coefficient_abs
Operating Profit_lag1,26231.125219055128,standardized_coefficient_abs
Net Profit_lag4,25294.877561161833,standardized_coefficient_abs
Operating Profit_lag4,24621.848475757106,standardized_coefficient_abs
Sales_lag2,24486.710636869433,standardized_coefficient_abs
Total Liabilities_lag2,24077.890019307408,standardized_coefficient_abs
Expenses_lag1,24036.461945985367,standardized_coefficient_abs
Net Profit_lag1,20491.644222641014,standardized_coefficient_abs
CPI_Combined_Index_lag1,17512.9017263857,standardized_coefficient_abs
Net Profit,17162.120707464666,standardized_coefficient_abs
Net Cash Flow,16380.606459215762,standardized_coefficient_abs
Net Cash Flow_lag1,15907.120137508926,standardized_coefficient_abs
CPI_Combined_Index,14978.024813216758,standardized_coefficient_abs
oil_x_sales,14860.283349967362,standardized_coefficient_abs
