feature,importance,kind
Sales_lag4,65204584977.5731,standardized_coefficient_abs
Expenses_lag4,59170159756.51386,standardized_coefficient_abs
Sales_lag2,41124404499.63956,standardized_coefficient_abs
Expenses_lag2,37034544102.67487,standardized_coefficient_abs
Sales,20634233460.28113,standardized_coefficient_abs
Expenses,18446155157.141357,standardized_coefficient_abs
Operating Profit_lag4,8250159461.534773,standardized_coefficient_abs
CFO_lag2,8247759621.278151,standardized_coefficient_abs
Operating Profit_lag2,5352686090.761477,standardized_coefficient_abs
CFI_lag2,4698562566.004274,standardized_coefficient_abs
CFO_lag4,4069460362.070793,standardized_coefficient_abs
Sales_lag1,2779389815.7585473,standardized_coefficient_abs
Operating Profit,2761439826.6594524,standardized_coefficient_abs
CFO_lag1,2670389644.7790165,standardized_coefficient_abs
Expenses_lag1,2494005565.641231,standardized_coefficient_abs
Net Cash Flow_lag2,2366372340.516968,standardized_coefficient_abs
CFI_lag4,2316354461.7110844,standardized_coefficient_abs
CFO,2234874907.7840257,standardized_coefficient_abs
CFF_lag2,1869977783.5506115,standardized_coefficient_abs
CFI_lag1,1531862664.144104,standardized_coefficient_abs
CFI,1285179155.8411708,standardized_coefficient_abs
Net Cash Flow_lag4,1139508242.9327812,standardized_coefficient_abs
CFF_lag4,916998543.2680473,standardized_coefficient_abs
Net Cash Flow_lag1,763845429.173502,standardized_coefficient_abs
Net Cash Flow,640423388.8277323,standardized_coefficient_abs
CFF_lag1,604229288.3793259,standardized_coefficient_abs
CFF,505101192.1839714,standardized_coefficient_abs
oil_price_lag1,462264447.30472183,standardized_coefficient_abs
Operating Profit_lag1,366971968.6973779,standardized_coefficient_abs
Quarter_Q4,328012870.3915124,standardized_coefficient_abs
Quarter_Q1,233338063.3882897,standardized_coefficient_abs
CPI_Combined_Index_lag1,206316713.54467905,standardized_coefficient_abs
CPI_Inflation_Rate_lag1,202458058.0078969,standardized_coefficient_abs
Quarter_Q2,201098842.74044776,standardized_coefficient_abs
exchange_rate,194632066.15983486,standardized_coefficient_abs
WPI_lag1,190895683.9339962,standardized_coefficient_abs
Quarter_Q3,180359209.33963776,standardized_coefficient_abs
CPI_Inflation_Rate,177322708.53634286,standardized_coefficient_abs
exchange_rate_lag4,164800685.0782194,standardized_coefficient_abs
