feature,importance,kind
Total Assets,450273.16370453156,standardized_coefficient_abs
repo_x_total_assets,411163.0425966451,standardized_coefficient_abs
Net Profit_roll4_median,122036.59744187299,standardized_coefficient_abs
oil_x_sales,84912.3706699175,standardized_coefficient_abs
Sales_roll4_mean,80153.24104936236,standardized_coefficient_abs
Borrowings_lag1,74367.9444439683,standardized_coefficient_abs
Total Assets_roll4_mean,70859.85448384902,standardized_coefficient_abs
Operating Profit_roll4_mean,65975.76386321873,standardized_coefficient_abs
Total Assets_lag1,58194.428897332094,standardized_coefficient_abs
Operating Profit_lag2,44818.63596351439,standardized_coefficient_abs
Total Liabilities_lag4,43365.569808334614,standardized_coefficient_abs
Total Assets_lag2,40202.41504344853,standardized_coefficient_abs
Equity_lag2,38171.86169896513,standardized_coefficient_abs
Sales_roll4_median,37117.62847113594,standardized_coefficient_abs
Net Profit_roll4_mean,37057.90917752345,standardized_coefficient_abs
Net Profit_lag2,35322.46841204139,standardized_coefficient_abs
Borrowings_roll4_median,30975.23536121325,standardized_coefficient_abs
Total Liabilities_lag2,30488.53376245812,standardized_coefficient_abs
repo_x_borrowings,29667.711312843356,standardized_coefficient_abs
cpi_infl_x_sales,29252.024665855195,standardized_coefficient_abs
Operating Profit_lag1,28667.500165485322,standardized_coefficient_abs
Borrowings_lag4,28520.464357879184,standardized_coefficient_abs
Borrowings_lag2,28271.871873367872,standardized_coefficient_abs
Total Assets_roll4_median,27698.352237336992,standardized_coefficient_abs
Operating Profit_roll4_median,27589.960662120626,standardized_coefficient_abs
Equity,26077.927336711153,standardized_coefficient_abs
Expenses,24162.948837032156,standardized_coefficient_abs
Sales,22504.653858061316,standardized_coefficient_abs
Net Profit_lag4,21986.322086727232,standardized_coefficient_abs
Operating Profit_lag4,21583.55166645653,standardized_coefficient_abs
Net Profit_lag1,18609.93410557479,standardized_coefficient_abs
Net Profit,15015.086821699271,standardized_coefficient_abs
Total Liabilities,14974.169115011373,standardized_coefficient_abs
CFI_lag2,14638.287810608032,standardized_coefficient_abs
CFO_roll4_mean,13607.487379419383,standardized_coefficient_abs
Net Cash Flow,12984.611562735146,standardized_coefficient_abs
Net Cash Flow_lag1,12741.659904030616,standardized_coefficient_abs
Sales_lag2,12288.815126705344,standardized_coefficient_abs
CFI,11678.156813920306,standardized_coefficient_abs
Net Cash Flow_lag4,11142.186866117241,standardized_coefficient_abs
Equity_lag1,10672.853412286564,standardized_coefficient_abs
Sales_lag1,10013.79754474911,standardized_coefficient_abs
CFO_roll4_median,8842.079795131742,standardized_coefficient_abs
Net Cash Flow_lag2,8740.10476163164,standardized_coefficient_abs
Total Assets_qoq_growth_lag1,8437.66061866819,standardized_coefficient_abs
Operating Profit_roll4_growth,7927.067385696026,standardized_coefficient_abs
Expenses_lag2,7194.35878921708,standardized_coefficient_abs
Total Liabilities_lag1,7067.484386490005,standardized_coefficient_abs
Expenses_lag1,6967.44993184168,standardized_coefficient_abs
Operating Profit,6717.196864266408,standardized_coefficient_abs
Sector_Energy,6279.424253866525,standardized_coefficient_abs
Total Assets_qoq_growth,6231.148975510175,standardized_coefficient_abs
Net Profit_roll4_std,6024.876801820821,standardized_coefficient_abs
Total Assets_roll4_std,6018.261995755171,standardized_coefficient_abs
CFO_roll4_std,5987.6390349999,standardized_coefficient_abs
Operating Profit_qoq_growth,5785.6971795475865,standardized_coefficient_abs
fx_x_sales,5638.712690303039,standardized_coefficient_abs
CFO_lag2,5617.339523542419,standardized_coefficient_abs
Borrowings_roll4_growth,5435.457462247323,standardized_coefficient_abs
Total Assets_lag4,4779.29251257269,standardized_coefficient_abs
Operating Profit_yoy_growth,4565.166107626766,standardized_coefficient_abs
Sales_yoy_growth,4263.105783013185,standardized_coefficient_abs
CFF_lag4,4230.738073042378,standardized_coefficient_abs
Borrowings,3917.36937378848,standardized_coefficient_abs
Sales_roll4_std,3894.166883822541,standardized_coefficient_abs
Borrowings_qoq_growth_lag1,3881.9045387940632,standardized_coefficient_abs
CFI_lag1,3839.573038557963,standardized_coefficient_abs
Borrowings_roll4_std,3810.378116676783,standardized_coefficient_abs
Expenses_lag4,3796.7090227621115,standardized_coefficient_abs
CFO_qoq_growth_lag1,3777.778838326457,standardized_coefficient_abs
Sales_qoq_growth,3213.4870375119403,standardized_coefficient_abs
CFI_lag4,2999.6147054436537,standardized_coefficient_abs
CFO,2827.980696488746,standardized_coefficient_abs
Equity_lag4,2798.536134449253,standardized_coefficient_abs
Sector_Tech,2723.355209283479,standardized_coefficient_abs
CFO_qoq_growth,2556.2145310082333,standardized_coefficient_abs
CFO_yoy_growth,2499.2128823918247,standardized_coefficient_abs
Net Profit_roll4_growth,2320.0997479932075,standardized_coefficient_abs
