feature,importance,kind
repo_x_total_assets,0.7305140495300293,native_importance
Total Assets,0.24389323592185974,native_importance
Equity,0.003991349134594202,native_importance
repo_x_borrowings,0.003789676120504737,native_importance
Total Assets_lag2,0.0016045839292928576,native_importance
Borrowings_roll4_mean,0.0014932064805179834,native_importance
Total Liabilities,0.0009675787296146154,native_importance
Total Assets_roll4_median,0.0006282337126322091,native_importance
Total Liabilities_lag4,0.0005296870367601514,native_importance
Total Assets_roll4_mean,0.0005189233925193548,native_importance
CFO_roll4_mean,0.0004360108869150281,native_importance
Operating Profit_yoy_growth,0.0004007627721875906,native_importance
Expenses_lag1,0.00039643532363697886,native_importance
CFF_lag2,0.0003679156943690032,native_importance
Borrowings_lag4,0.000344355299603194,native_importance
Equity_lag2,0.0003325288707856089,native_importance
Total Assets_roll4_growth,0.00029519788222387433,native_importance
Net Profit_roll4_mean,0.00028895511059090495,native_importance
Sales_lag2,0.00027081079315394163,native_importance
Total Assets_yoy_growth,0.00025307960459031165,native_importance
CFO_lag2,0.00023681207676418126,native_importance
CFO_roll4_median,0.00022969424026086926,native_importance
Net Profit_lag2,0.00022947452089283615,native_importance
CFO_lag1,0.0002212454128311947,native_importance
fx_x_sales,0.00021452648798003793,native_importance
Expenses_lag4,0.00021120149176567793,native_importance
oil_price,0.00020889192819595337,native_importance
Net Profit_roll4_median,0.00019303800945635885,native_importance
Borrowings_lag2,0.00019076612079516053,native_importance
Net Profit_roll4_std,0.00018898214329965413,native_importance
CFI_lag4,0.00018896478286478668,native_importance
Equity_lag1,0.00018583182827569544,native_importance
cpi_infl_x_sales,0.00018532088142819703,native_importance
CFF_lag4,0.00017716606089379638,native_importance
Expenses,0.00017672698595561087,native_importance
Borrowings_roll4_growth,0.0001751761301420629,native_importance
oil_price_lag1,0.00016267650062218308,native_importance
Total Assets_lag1,0.00014758117322344333,native_importance
Net Profit_lag1,0.0001449704432161525,native_importance
CFO_roll4_growth,0.00014178849232848734,native_importance
Borrowings_lag1,0.00013923548976890743,native_importance
CFO_roll4_std,0.00013708267943002284,native_importance
CFF_lag1,0.00013199495151638985,native_importance
Equity_lag4,0.00013037129247095436,native_importance
Total Liabilities_lag1,0.00012957931903656572,native_importance
