target,model,group,rmse,mae,r2,adjusted_r2,mape,smape,explained_variance,median_abs_error,max_error,mean_bias_error,stability_mean_rmse,stability_std_rmse,stability_mean_r2,stability_std_r2,beats_naive,rank_rmse,rank_r2,rank_mae,rank_stability,avg_rank,leaderboard_position
target_Borrowings,extra_trees,tree,61158.37401268294,25036.75061709403,0.9775466230069344,0.9758236812487188,10.904719583164143,10.66645818511745,0.9775548942550168,5950.383049999975,638650.6887500007,1173.8176079202149,61038.531080672146,3826.804853795311,0.9774706356659544,0.003417483805532404,False,3.0,3.0,1.0,6.0,3.25,1
target_Borrowings,random_forest,tree,61337.64939635561,25273.41935136754,0.9774147935514531,0.9756817359663896,10.978264513958633,10.769921083313568,0.9774201151765366,5948.26854999995,562583.9396000009,941.5366582051199,61269.50756312004,2890.4457170169685,0.9773713337798049,0.002497690520298878,False,4.0,4.0,2.0,3.0,3.25,2
target_Borrowings,elastic_net,linear,56054.931892315275,27278.80583163213,0.9811375776191641,0.9796901848643425,19.04358319161317,19.980874382125094,0.9811917097421362,11360.01780515747,572993.7746716663,-3002.9121440577615,55803.74894065204,5300.6597344840275,0.981076175351315,0.0038075584044701244,False,1.0,1.0,5.0,8.0,3.75,3
target_Borrowings,ridge,linear,58405.72757513357,28564.96718160715,0.97952232320912,0.9779509852110476,20.218689079821285,21.085865403685805,0.9795540304964133,12210.753366484249,565890.3713392285,-2298.2360900204258,58167.519024936075,5269.605683959427,0.9794728038410194,0.003824402409765757,False,2.0,2.0,8.0,7.0,4.75,4
target_Borrowings,xgboost,boosting,64854.98010547725,26793.53174739583,0.9747502857207216,0.9728127692781742,12.226669366591002,12.023363123458523,0.9747777083714101,6872.893125000002,652943.085,-2137.3212919560187,64770.06066869645,3317.783214019516,0.9747823091844987,0.0021882402384566435,False,6.0,6.0,3.0,4.0,4.75,5
target_Borrowings,hist_gradient_boosting,tree,68092.47467419898,27024.330857993747,0.9721664857850922,0.9700307035402405,11.627580409869736,11.35693350962517,0.9721664862950973,6299.281259279131,776066.5707900566,9.21726982894465,68007.89462949547,3392.841776427298,0.9720889101805236,0.0034891286852583494,False,7.0,7.0,4.0,5.0,5.75,6
target_Borrowings,lightgbm,boosting,68250.0306076156,27321.17071168261,0.9720375314816208,0.9698918540323896,11.834745617740868,11.623265962543613,0.9720454786014447,6703.229220146364,848883.6838565916,-1150.5883622918996,68216.63885767416,2134.6805152360535,0.9720037172439033,0.0021233869816163066,False,8.0,8.0,6.0,1.0,5.75,7
target_Borrowings,multioutput_random_forest,benchmark,63508.073495808625,27418.568595413122,0.9757881661701495,0.9740100633185081,12.869922374887837,12.278055740098768,0.9757954765199358,7148.034200000067,572843.880650002,1103.5300788888671,63508.073495808625,,0.9757881661701495,,False,5.0,5.0,7.0,11.0,7.0,8
target_Borrowings,catboost,boosting,70777.05206990145,31114.310828935962,0.9699285238691133,0.9676210134232196,20.632144565544337,17.911703762003345,0.9699443083926101,12722.88343392429,832477.2600607567,-1621.5518288704525,70743.29133135123,2185.8250874913147,0.9699116677361873,0.001975253376996785,False,10.0,10.0,9.0,2.0,7.75,9
target_Borrowings,lasso,linear,69407.41917492718,45305.62518222709,0.9710811113369199,0.9688620437599493,63.27460173854609,52.22450611222884,0.9728582247684826,31871.25961380852,569964.2188075297,17205.71286875565,68930.09580465576,8125.990947879998,0.9709218237326409,0.007625660623507301,False,9.0,9.0,11.0,9.0,9.5,10
