model,avg_rank,avg_rmse,avg_r2,avg_mae,group,n_targets,overall_position
elastic_net,2.5833333333333335,27439.359426541803,0.9780000274095162,14083.21274372102,linear,6,1
extra_trees,2.9583333333333335,28407.57058112044,0.9760878636730731,12841.132208423553,tree,6,2
ridge,3.4166666666666665,28150.88825022537,0.9772596961586965,14515.014467611481,linear,6,3
random_forest,3.625,28660.8913099542,0.9756393905248374,13004.322532625825,tree,6,4
hist_gradient_boosting,5.0,30520.00171037622,0.9724360430124709,13540.604982644007,tree,6,5
lightgbm,6.166666666666667,30949.758423126517,0.9718357935436938,13996.854782082077,boosting,6,6
xgboost,6.833333333333333,31561.261089922133,0.9709140558769298,14423.307976411334,boosting,6,7
lasso,8.208333333333334,30880.239408622594,0.9678712099914605,18991.628011625184,linear,6,8
catboost,8.708333333333334,34718.280272268974,0.9689678572610263,17134.673360341036,boosting,6,9
decision_tree,9.0,37417.53802040955,0.9518400298282467,17447.85500474834,tree,6,10
multioutput_random_forest,9.5,32117.729760447084,0.920213726203265,14875.939387136752,benchmark,6,11
linear_regression,11.75,332522377.7779502,-816455.4807788067,250688805.91822934,linear,6,12
